4FGL-DR3,source_type,glat,glon,significance,r95,Ep,Fp,d,p_pulsar,diffuse
4FGL J0001.6+3503,unid-pulsar,-26.710,111.538,6.093,0.102,1.452,0.059,1.459,0.816,-0.248
4FGL J0002.1+6721,unk-pulsar,4.939,118.203,7.747,0.155,0.421,1.846,0.519,0.670,0.881
4FGL J0002.8+6217,psr,-0.051,117.320,32.332,0.034,0.829,23.324,0.792,0.995,0.710
4FGL J0003.3+2511,unid-pulsar,-36.411,109.382,7.740,0.102,0.879,0.097,0.684,0.388,-0.422
4FGL J0003.6+3059,unid-pulsar,-30.772,111.004,13.172,0.081,1.660,0.308,1.329,0.994,-0.334
4FGL J0005.6+6746,unid-pulsar,5.282,118.608,4.877,0.189,0.434,1.255,0.829,0.823,0.824
4FGL J0007.0+7303,psr,10.462,119.663,370.992,0.007,1.922,23578.996,0.557,0.967,0.304
4FGL J0009.2+6847,unid-pulsar,6.235,119.110,11.461,0.119,0.471,4.764,0.853,0.786,0.761
4FGL J0023.4+0920,msp,-52.897,111.420,28.030,0.043,1.130,3.395,0.827,0.998,-0.218
4FGL J0024.0-7204,glc,-44.891,305.902,98.593,0.015,1.409,56.664,0.715,0.991,-0.426
4FGL J0030.4+0451,msp,-57.613,113.134,133.861,0.013,1.200,417.254,0.854,0.992,-0.595
4FGL J0034.3-0534,msp,-68.073,111.504,62.485,0.022,0.816,21.887,0.518,0.997,-0.532
4FGL J0034.6+6438,unid-pulsar,1.826,121.134,9.814,0.069,0.584,0.999,0.325,0.558,0.877
4FGL J0039.1+6257,unid-pulsar,0.122,121.535,27.064,0.034,1.652,9.699,0.975,0.994,0.886
4FGL J0041.3+6052,bcu-pulsar,-1.970,121.707,12.330,0.140,0.418,6.987,1.292,0.870,0.550
4FGL J0043.2+4114,other-pulsar,-21.604,121.285,8.844,0.156,0.752,0.238,1.020,0.965,-0.218
4FGL J0048.6-6347,unid-pulsar,-53.334,303.443,17.550,0.054,1.887,0.245,0.810,0.961,-0.657
4FGL J0052.1+6444,unid-pulsar,1.870,123.010,8.542,0.093,0.837,1.006,0.654,1.000,0.855
4FGL J0101.1-6422,msp,-52.727,301.189,61.014,0.021,1.144,11.291,0.824,0.995,-0.631
4FGL J0102.8+4839,msp,-14.170,124.876,43.543,0.021,1.402,10.765,0.587,0.991,-0.041
4FGL J0102.9-7051,glc,-46.235,301.568,5.304,0.097,1.962,0.022,0.904,0.017,-0.467
4FGL J0106.4+4855,psr,-13.871,125.469,60.473,0.018,2.038,30.886,0.947,0.967,-0.024
4FGL J0110.0-5246,unid-pulsar,-64.113,296.481,5.548,0.131,1.553,0.029,1.955,0.100,-0.681
4FGL J0116.8+6914,unid-pulsar,6.481,125.190,7.733,0.148,0.506,1.824,1.931,0.692,0.517
4FGL J0135.0+5338,bcu-pulsar,-8.684,129.447,7.138,0.122,1.066,0.192,1.448,0.575,0.203
4FGL J0139.5-2228,unid-pulsar,-78.132,192.494,12.564,0.073,2.243,0.175,1.808,0.927,-0.806
4FGL J0140.4+5114,unid-pulsar,-10.881,130.709,4.728,0.152,1.211,0.079,1.615,0.708,0.222
4FGL J0142.5+6650,unid-pulsar,4.460,127.935,6.165,0.209,0.591,1.377,1.580,0.967,0.803
4FGL J0204.7+6656,unid-pulsar,5.083,130.039,10.972,0.075,0.540,1.816,0.597,0.967,0.691
4FGL J0205.7+6449,psr,3.082,130.728,66.037,0.018,0.211,353.991,0.281,0.965,0.612
4FGL J0212.1+5321,other-pulsar,-7.630,134.926,52.271,0.020,1.197,18.099,0.795,0.993,0.099
4FGL J0218.1+4232,msp,-17.518,139.511,88.065,0.015,0.423,156.078,0.374,0.963,-0.187
4FGL J0235.3+5650,unid-pulsar,-3.195,136.819,14.528,0.075,0.547,3.903,0.963,0.946,0.606
4FGL J0237.8+5238,unid-pulsar,-6.920,138.827,25.856,0.030,1.760,3.510,1.065,0.996,0.290
4FGL J0239.1+6634,unid-pulsar,5.913,133.357,5.759,0.125,0.380,0.463,0.428,0.508,0.681
4FGL J0248.4+6021,psr,0.709,136.911,38.873,0.033,0.805,87.010,1.128,0.991,0.818
4FGL J0248.6+4230,msp,-15.319,144.897,12.754,0.062,1.631,0.261,1.543,0.981,-0.191
4FGL J0251.0+2605,msp,-29.494,153.884,20.995,0.044,1.369,1.451,1.049,1.000,-0.099
4FGL J0251.4+4646,unid-pulsar,-11.278,143.374,4.853,0.137,1.139,0.088,1.624,0.347,0.093
4FGL J0303.6+6711,unid-pulsar,7.543,135.245,4.937,0.188,1.221,0.251,1.732,0.675,0.690
4FGL J0304.6+6554,unid-pulsar,6.465,135.968,7.708,0.094,2.892,0.204,1.691,0.970,0.581
4FGL J0305.4+5945,unid-pulsar,1.153,139.081,5.079,0.141,0.473,2.500,1.981,0.669,0.880
4FGL J0307.8+7443,msp,14.219,131.704,55.067,0.019,1.439,27.364,1.168,0.988,0.368
4FGL J0309.9-6941,unid-pulsar,-42.983,287.297,5.805,0.153,1.335,0.032,1.975,0.127,-0.447
4FGL J0312.1-0921,msp,-52.370,191.496,24.226,0.049,1.361,2.513,1.291,1.000,-0.185
4FGL J0314.1+5033,unid-pulsar,-6.148,144.819,6.639,0.184,0.502,0.570,0.714,0.892,0.537
4FGL J0318.2+0254,msp,-43.587,178.436,26.142,0.040,1.651,2.780,1.095,1.000,-0.145
4FGL J0318.8+2848,unid-pulsar,-23.841,158.011,5.009,0.400,1.309,0.199,2.000,0.864,0.351
4FGL J0328.0+6046,unid-pulsar,3.494,140.926,6.129,0.194,0.482,1.617,1.332,0.929,0.738
4FGL J0328.6+5330,unk-pulsar,-2.460,145.087,8.436,0.150,0.504,1.760,0.739,0.977,0.767
4FGL J0330.1+5038,unid-pulsar,-4.696,146.912,11.853,0.087,0.780,1.162,0.724,1.000,0.494
4FGL J0330.7+5845,unid-pulsar,2.022,142.349,8.587,0.245,0.408,6.013,1.068,0.841,0.881
4FGL J0336.0+7502,other-pulsar,15.528,133.083,35.293,0.025,1.708,3.392,0.700,0.995,0.153
4FGL J0336.7-2445,unid-pulsar,-52.926,218.804,4.510,0.113,1.540,0.027,1.977,0.106,-0.705
4FGL J0340.3+4130,msp,-11.024,153.787,57.748,0.017,2.397,27.874,0.832,0.975,0.205
4FGL J0340.4+5302,unid-pulsar,-1.822,146.792,31.023,0.064,0.226,661.578,1.497,0.845,0.830
4FGL J0341.9+3153,unid-pulsar,-18.364,160.219,6.962,0.123,1.424,0.836,1.105,1.000,0.955
4FGL J0343.4+3621,fsrq-pulsar,-14.701,157.541,11.444,0.053,0.875,0.503,0.415,0.886,0.314
4FGL J0344.2+3203,bcu-pulsar,-17.923,160.515,7.919,0.230,0.431,4.326,0.802,0.837,1.023
4FGL J0347.0-6400,unid-pulsar,-43.704,278.070,7.309,0.088,1.962,0.050,1.976,0.310,-0.362
4FGL J0348.8+4610,bcu-pulsar,-6.415,152.091,6.506,0.154,0.423,1.058,1.131,0.550,0.416
4FGL J0349.6+4026,unid-pulsar,-10.776,155.854,7.078,0.082,1.035,0.247,0.786,0.980,0.406
4FGL J0357.8+3204,psr,-16.016,162.760,77.159,0.015,0.820,627.167,1.385,0.959,0.098
4FGL J0359.3+3626,unid-pulsar,-12.574,159.985,6.600,0.174,0.573,0.520,1.290,0.967,0.217
4FGL J0359.4+5414,psr,0.885,148.234,33.134,0.032,1.180,32.029,0.945,0.967,0.922
4FGL J0409.7+4006,unid-pulsar,-8.489,158.995,7.267,0.186,0.524,2.031,1.375,0.982,0.768
4FGL J0411.7+3041,bcu-pulsar,-14.976,165.997,4.884,0.091,0.946,0.176,1.439,0.916,0.200
4FGL J0412.5+6519,unid-pulsar,10.194,141.966,5.455,0.147,0.424,1.629,1.902,0.709,0.663
4FGL J0412.6+2253,unid-pulsar,-20.267,172.002,4.958,0.135,0.362,0.659,1.325,0.887,0.313
4FGL J0414.7-4300,unid-pulsar,-46.221,247.902,17.621,0.073,1.010,0.625,1.954,0.875,-0.694
4FGL J0418.0+6302,unid-pulsar,8.978,144.031,4.717,0.105,0.416,0.592,1.078,0.949,0.578
4FGL J0418.9+6636,psr,11.550,141.525,32.805,0.024,1.544,4.771,0.651,0.992,0.433
4FGL J0426.5+5434,unid-pulsar,3.820,150.880,28.199,0.046,0.461,68.104,1.044,0.983,0.696
4FGL J0426.5+2007,bcu-pulsar,-19.682,176.491,4.964,0.467,0.790,0.406,1.891,0.720,0.366
4FGL J0427.9+3632,unid-pulsar,-8.491,164.100,6.639,0.234,0.408,3.156,1.324,0.960,0.837
4FGL J0431.0+3529,unid-pulsar,-8.733,165.306,4.531,0.126,0.650,0.723,1.569,0.864,0.656
4FGL J0432.0+1732,bcu-pulsar,-20.336,179.492,7.511,0.127,0.942,0.278,0.604,0.579,0.269
4FGL J0433.0+1327,unid-pulsar,-22.663,183.109,5.503,0.082,2.812,0.141,2.000,0.751,0.343
4FGL J0435.5+3232,unid-pulsar,-10.021,168.149,9.759,0.047,2.313,0.270,0.702,0.560,0.431
4FGL J0436.9+2915,unid-pulsar,-11.946,170.889,13.454,0.046,0.870,1.001,0.374,0.923,0.369
4FGL J0437.2-4715,msp,-41.965,253.397,70.961,0.026,0.625,30.250,0.995,0.988,-0.747
4FGL J0439.2+2151,bcu-pulsar,-16.294,177.090,6.251,0.090,1.163,0.251,1.304,0.317,0.272
4FGL J0440.4+1440,bcu-pulsar,-20.493,183.228,9.926,0.054,0.870,0.664,0.462,0.902,0.430
4FGL J0441.8+2600,unid-pulsar,-13.202,174.148,6.104,0.113,0.663,1.815,1.831,0.861,0.603
4FGL J0443.9+2921,unid-pulsar,-10.720,171.803,4.703,0.222,0.396,0.568,0.779,0.651,0.407
4FGL J0447.2+2446,unid-pulsar,-13.053,175.915,8.437,0.106,1.441,0.977,1.794,0.981,0.707
4FGL J0449.3-2621,unid-pulsar,-37.407,226.587,4.521,0.204,0.877,0.047,1.947,0.154,-0.554
4FGL J0452.9+5117,spp-pulsar,4.630,155.992,6.794,0.127,0.496,1.615,1.144,0.991,0.647
4FGL J0458.4+5140,spp-pulsar,5.539,156.223,5.674,0.135,0.659,0.837,1.552,0.941,0.718
4FGL J0506.1+5028,msp,5.768,157.917,11.049,0.058,3.889,0.380,1.402,0.947,0.417
4FGL J0508.2-1937,fsrq-pulsar,-31.199,220.446,7.568,0.089,1.407,0.080,1.492,0.663,-0.454
4FGL J0513.9-4005,glc,-35.067,244.568,6.852,0.141,0.657,0.054,0.568,0.051,-0.439
4FGL J0514.6-4408,psr,-35.409,249.500,26.317,0.062,0.563,3.149,1.512,0.983,-0.591
4FGL J0521.3-1734,fsrq-pulsar,-27.557,219.554,13.244,0.073,0.498,0.448,0.459,0.707,-0.344
