4FGL-DR3,source_type,glat,glon,significance,r95,Ep,Fp,d,p_pulsar,diffuse
4FGL J0521.8+0843,unid-pulsar,-15.426,194.380,5.075,0.316,0.355,1.251,0.932,0.862,0.508
4FGL J0523.3-2527,other-pulsar,-29.829,228.185,51.601,0.024,1.767,10.087,0.830,0.944,-0.597
4FGL J0524.4-2413,glc,-29.203,226.919,5.865,0.502,0.100,2.077,-0.064,0.009,-0.475
4FGL J0524.7-8304,unid-pulsar,-29.492,295.533,10.546,0.085,1.208,0.231,0.701,0.748,0.077
4FGL J0526.7+4254,other-pulsar,4.309,166.159,12.234,0.132,0.414,2.510,0.537,0.707,0.509
4FGL J0529.1-0101,bcu-pulsar,-18.722,204.170,5.975,0.112,0.751,0.264,0.964,0.970,0.126
4FGL J0529.9-0224,unid-pulsar,-19.198,205.551,7.031,0.076,0.380,1.756,1.625,0.844,0.209
4FGL J0531.7+1241,unid-pulsar,-11.279,192.209,6.734,0.153,0.452,1.654,0.898,0.982,0.724
4FGL J0533.2+3024,unid-pulsar,-1.491,177.314,6.730,0.101,0.100,29.073,0.035,0.594,0.750
4FGL J0533.6+5945,unid-pulsar,14.168,152.258,16.765,0.057,0.897,1.644,1.181,0.998,0.304
4FGL J0533.8+6800,msp,18.187,144.766,40.361,0.021,1.901,4.543,0.737,0.989,0.109
4FGL J0534.0+3746,unid-pulsar,2.651,171.231,4.898,0.209,0.530,0.747,0.767,0.403,0.875
4FGL J0534.5+2200,psr,-5.781,184.559,219.139,0.007,0.415,318667.239,0.279,0.963,0.402
4FGL J0535.3+0934,unid-pulsar,-12.127,195.390,6.341,0.137,0.705,0.584,1.315,0.446,0.215
4FGL J0536.1-1205,unid-pulsar,-22.109,215.566,6.149,0.094,3.500,0.070,1.803,0.555,-0.064
4FGL J0538.9+3549,unid-pulsar,2.434,173.398,6.534,0.163,0.909,1.631,1.027,1.000,0.944
4FGL J0539.7-0521,bcu-pulsar,-18.372,209.512,5.062,0.389,0.430,1.966,1.083,0.966,0.652
4FGL J0540.3-6920,psr,-31.500,279.723,26.892,0.029,0.266,47.149,0.337,0.988,-0.237
4FGL J0540.7+3611,unid-pulsar,2.937,173.275,5.779,0.131,0.604,1.546,0.712,0.962,0.929
4FGL J0541.4-0754,unid-pulsar,-19.132,212.130,5.591,0.086,1.014,1.284,1.349,1.000,1.223
4FGL J0545.0+0613,bcu-pulsar,-11.723,199.589,7.503,0.337,0.405,2.088,1.078,0.907,0.668
4FGL J0545.7+6016,unid-pulsar,15.737,152.550,29.111,0.025,2.462,1.792,0.571,0.971,0.120
4FGL J0546.5-1100,unid-pulsar,-19.335,215.666,6.183,0.302,0.553,0.942,1.589,0.933,0.372
4FGL J0550.9+2552,bcu-pulsar,-0.563,183.240,5.036,0.161,1.448,0.406,1.136,0.998,0.914
4FGL J0551.0-1622,bcu-pulsar,-20.559,221.343,6.873,0.086,1.480,0.099,1.999,0.057,-0.177
4FGL J0551.7+0446,unid-pulsar,-10.966,201.710,9.448,0.206,0.360,6.044,1.347,0.881,0.572
4FGL J0553.6+0100,unid-pulsar,-12.360,205.311,4.548,0.174,0.572,0.639,1.223,0.979,0.500
4FGL J0554.1+3107,psr,2.712,179.079,42.142,0.032,1.072,37.304,1.193,0.990,0.416
4FGL J0554.3-1009,bcu-pulsar,-17.236,215.707,6.421,0.763,0.416,1.022,0.700,0.952,0.634
4FGL J0555.1+0150,unid-pulsar,-11.639,204.739,7.624,0.116,0.455,2.464,0.801,0.942,0.646
4FGL J0558.2+0132,unid-pulsar,-11.093,205.387,4.900,0.306,0.591,0.618,0.955,0.994,0.520
4FGL J0559.3+0352,unid-pulsar,-9.759,203.434,5.389,0.437,0.334,2.650,1.975,0.566,0.375
4FGL J0601.0-1016,unid-pulsar,-15.809,216.561,7.453,0.274,0.573,1.148,1.084,0.952,0.499
4FGL J0604.8+1653,unid-pulsar,-2.273,192.630,5.070,0.176,0.601,2.075,1.437,0.992,0.903
4FGL J0605.1+3757,msp,8.027,174.197,25.144,0.034,1.741,4.394,1.506,0.995,0.278
4FGL J0608.8+2034,unk-pulsar,0.353,189.867,7.186,0.126,0.659,1.704,0.377,0.762,1.075
4FGL J0609.0+2136,unid-pulsar,0.893,188.987,9.126,0.163,0.579,3.704,0.668,0.555,1.007
4FGL J0609.0+2006,unid-pulsar,0.167,190.306,6.062,0.208,0.413,8.748,1.096,0.853,0.930
4FGL J0609.5+1402,bcu-pulsar,-2.644,195.683,6.489,0.345,0.345,2.553,0.599,0.481,0.743
4FGL J0610.2-2100,msp,-18.180,227.740,29.333,0.040,1.169,3.541,1.003,0.971,-0.209
4FGL J0610.7+1656,bcu-pulsar,-1.009,193.264,7.913,0.236,0.366,12.324,1.158,0.737,0.947
4FGL J0610.9+2040,unid-pulsar,0.835,190.028,5.244,0.316,0.863,2.124,1.900,0.903,0.836
4FGL J0612.6+1520,unid-pulsar,-1.374,194.893,5.409,0.295,0.444,2.562,1.143,0.974,0.870
4FGL J0613.7-0201,msp,-9.305,210.423,69.924,0.017,0.968,105.270,0.620,0.990,0.312
4FGL J0614.1-3329,msp,-21.828,240.500,213.703,0.009,2.168,1231.720,0.577,0.966,-0.423
4FGL J0614.9+2426,bcu-pulsar,3.457,187.152,6.390,0.073,2.326,0.167,0.827,0.644,0.609
4FGL J0615.9+1416,unid-pulsar,-1.182,196.206,5.781,0.189,0.444,1.654,0.699,0.937,0.701
4FGL J0618.7+1211,unid-pulsar,-1.564,198.383,6.362,0.267,0.349,3.770,1.185,0.835,0.593
4FGL J0618.9+2240,unid-pulsar,3.424,189.149,7.938,0.066,0.758,32.217,0.675,0.993,0.777
4FGL J0621.2+2512,msp,5.075,187.151,15.161,0.056,2.449,2.083,1.986,0.967,0.491
4FGL J0622.2+3749,psr,10.974,175.875,38.867,0.030,0.706,44.369,1.576,0.966,0.132
4FGL J0622.5+3120,unid-pulsar,8.148,181.802,8.282,0.166,0.537,0.922,0.766,0.871,0.269
4FGL J0622.7-4141,bcu-pulsar,-22.719,249.496,11.568,0.068,1.679,0.151,0.881,0.813,-0.315
4FGL J0631.5+1036,psr,0.454,201.236,44.728,0.025,1.679,66.999,0.733,0.975,0.936
4FGL J0631.8+0645,psr,-1.245,204.683,28.593,0.032,2.322,23.936,1.097,0.977,0.622
4FGL J0632.0-1032,bcu-pulsar,-9.041,220.198,9.756,0.070,0.632,0.675,0.343,0.795,0.435
4FGL J0633.7+0632,psr,-0.928,205.093,90.933,0.015,1.231,959.123,0.747,0.991,0.628
4FGL J0633.9+1746,psr,4.273,195.135,884.643,0.008,1.254,6488605.864,0.740,0.364,0.448
4FGL J0636.2-1057,unid-pulsar,-8.303,221.043,4.580,0.104,0.528,0.332,0.714,0.934,0.533
4FGL J0646.4-5455,msp,-22.595,264.449,17.271,0.050,1.936,0.656,1.956,0.973,-0.158
4FGL J0652.5+1932,bcu-pulsar,9.018,195.513,6.579,0.143,0.623,0.197,0.861,0.532,-0.075
4FGL J0652.9+4707,msp,19.764,169.231,11.747,0.101,1.143,0.369,1.908,0.554,-0.144
4FGL J0657.4-4658,unid-pulsar,-18.511,256.941,14.235,0.066,2.010,0.339,0.993,0.990,-0.226
4FGL J0659.7+1416,psr,8.268,201.068,41.107,0.052,0.187,161.921,1.020,0.965,-0.108
4FGL J0700.6+3558,unid-pulsar,17.265,180.796,10.935,0.069,1.178,0.207,0.814,0.406,-0.169
4FGL J0701.3-0403,unid-pulsar,0.341,217.669,7.719,0.186,0.346,4.675,0.772,0.548,0.736
4FGL J0704.0-1153,unid-pulsar,-2.633,224.944,4.711,0.136,1.046,0.332,0.824,0.974,0.622
4FGL J0704.6-1055,unid-pulsar,-2.073,224.149,4.628,0.155,0.489,1.758,0.707,0.971,1.005
4FGL J0705.7-4848,bcu-pulsar,-17.845,259.260,19.131,0.041,0.534,1.367,0.348,0.530,-0.206
4FGL J0705.8-0004,unid-pulsar,3.170,214.635,7.159,0.162,0.845,0.546,0.917,1.000,0.448
4FGL J0709.1-1034,unid-pulsar,-0.915,224.348,8.938,0.120,0.478,2.822,0.489,0.554,0.960
4FGL J0711.3-0942,unk-pulsar,-0.049,223.836,5.704,0.194,0.481,2.635,1.741,0.942,0.657
4FGL J0712.0-6431,unid-pulsar,-22.167,275.379,10.986,0.077,1.954,0.184,1.278,0.985,-0.086
4FGL J0715.7-1128,unid-pulsar,0.082,225.897,7.529,0.278,0.362,4.319,0.925,0.593,0.741
4FGL J0716.0-0826,unid-pulsar,1.577,223.260,5.021,0.112,0.796,0.330,1.003,0.989,0.500
4FGL J0716.9-2219,unid-pulsar,-4.685,235.662,4.875,0.136,0.513,0.755,1.237,0.493,0.552
4FGL J0718.8-5004,unid-pulsar,-16.353,261.323,11.501,0.064,1.011,0.269,0.720,0.978,-0.060
4FGL J0722.4-2650,unid-pulsar,-5.668,240.256,10.741,0.068,1.312,0.519,0.760,1.000,0.388
4FGL J0725.3-2550,unid-pulsar,-4.631,239.671,6.118,0.311,0.291,4.488,1.259,0.697,0.750
4FGL J0729.3-1445,psr,1.467,230.359,7.603,0.142,0.387,1.730,0.543,0.422,0.635
4FGL J0731.5-1910,unid-pulsar,-0.189,234.481,6.423,0.230,0.399,4.940,1.131,0.850,0.976
4FGL J0734.7-1559,psr,2.013,232.064,61.707,0.023,0.620,155.647,0.547,0.995,0.529
4FGL J0739.6-4530,unid-pulsar,-11.247,258.598,5.130,0.079,1.126,0.096,0.968,0.722,0.219
4FGL J0741.0+6618,psr,29.624,149.765,19.503,0.052,1.644,0.324,0.842,0.727,-0.469
4FGL J0742.8-2822,psr,-2.442,243.778,26.470,0.046,0.898,12.725,0.667,0.996,0.653
4FGL J0744.0-2525,psr,-0.739,241.353,32.817,0.035,1.318,21.991,0.916,0.992,0.551
4FGL J0744.4-1403,unid-pulsar,5.007,231.519,5.200,0.173,0.292,0.913,1.198,0.839,0.093
4FGL J0744.9-4028,unid-pulsar,-7.999,254.569,11.952,0.062,1.871,0.653,0.993,1.000,0.487
4FGL J0745.4-2447,bcu-pulsar,-0.150,240.963,4.200,0.457,0.338,3.215,1.950,0.617,0.556
4FGL J0749.6+1324,bcu-pulsar,18.866,207.178,12.746,0.083,1.033,0.320,0.749,0.986,-0.470
4FGL J0749.8-4420,unid-pulsar,-9.101,258.437,6.705,0.094,1.483,0.151,1.583,0.975,0.161
4FGL J0751.2+1808,msp,21.104,202.722,37.301,0.024,2.056,10.033,1.289,0.989,-0.326
4FGL J0752.0-2931,unid-pulsar,-1.277,245.783,11.177,0.119,0.968,2.521,1.578,0.989,0.558
4FGL J0753.1-2624,unid-pulsar,0.535,243.225,5.841,0.231,0.665,1.046,1.952,0.666,0.651
4FGL J0754.9-3953,unid-pulsar,-6.062,255.023,12.367,0.053,2.504,0.979,1.980,0.965,0.460
4FGL J0758.8-1450,unid-pulsar,7.613,233.956,23.507,0.037,1.724,3.036,1.119,0.998,-0.092
4FGL J0800.4-2257,bcu-pulsar,3.738,241.139,9.831,0.152,0.788,0.758,0.985,0.484,0.242
4FGL J0802.1-5612,psr,-13.210,269.949,23.784,0.052,1.162,4.031,1.433,0.986,0.162
4FGL J0803.5-5145,unid-pulsar,-10.816,266.116,4.684,0.241,0.525,0.418,1.158,0.892,0.485
4FGL J0811.0-5636,unid-pulsar,-12.352,270.944,4.261,0.105,2.410,0.056,1.961,0.424,0.335
4FGL J0813.1-5049,unid-pulsar,-9.048,266.102,5.683,0.135,0.529,0.330,0.627,0.518,0.439
4FGL J0819.5-3439,unk-pulsar,0.874,253.236,5.718,0.208,0.356,1.529,0.874,0.911,0.678
4FGL J0821.5-1436,unid-pulsar,12.421,236.699,6.826,0.132,0.959,0.143,1.880,0.674,-0.288
4FGL J0825.6-5216,unid-pulsar,-8.218,268.410,6.595,0.395,0.259,2.145,0.833,0.549,0.489
4FGL J0826.1-5053,unid-pulsar,-7.386,267.307,13.457,0.054,1.539,1.068,0.762,1.000,0.568
4FGL J0828.4-4444,unid-pulsar,-3.516,262.472,11.180,0.075,2.032,3.557,1.017,0.996,0.999
4FGL J0830.1-5454,unid-pulsar,-9.179,270.982,5.244,0.259,0.797,0.301,1.955,0.575,0.384
4FGL J0830.5-4451,spp-pulsar,-3.280,262.800,14.101,0.056,0.872,12.557,0.299,0.967,0.831
4FGL J0835.3-4510,psr,-2.788,263.554,665.559,0.008,1.057,30518038.388,0.604,0.868,0.788
4FGL J0837.8-4048,unid-pulsar,0.215,260.348,4.665,0.170,1.390,0.675,1.209,1.000,1.149
4FGL J0838.4-3952,unid-pulsar,0.867,259.669,5.671,0.200,0.305,8.561,1.079,0.585,0.975
4FGL J0838.7-2827,other-pulsar,7.810,250.572,27.703,0.031,1.771,3.184,0.819,0.997,0.095
4FGL J0838.9-2502,unid-pulsar,9.873,247.809,5.779,0.167,0.529,0.183,0.906,0.795,-0.109
4FGL J0840.5-4122,unid-pulsar,0.272,261.106,5.268,0.212,0.265,24.933,1.190,0.784,1.161
4FGL J0840.6-3130,unid-pulsar,6.301,253.276,4.899,0.137,1.446,0.104,1.997,0.670,0.114
4FGL J0843.3+6712,msp,35.602,147.803,22.684,0.031,2.857,0.761,0.892,0.986,-0.479
4FGL J0843.9-4224,unid-pulsar,0.126,262.299,6.783,0.177,0.413,10.665,1.147,0.874,1.087
4FGL J0844.1-4330,unid-pulsar,-0.529,263.192,7.793,0.164,0.479,6.567,0.727,0.905,1.073
4FGL J0844.9-4117,unid-pulsar,0.973,261.551,7.263,0.207,1.127,1.604,1.077,1.000,0.886
4FGL J0846.5-2609,bcu-pulsar,10.579,249.775,7.740,0.125,0.640,0.284,0.991,0.539,-0.167
4FGL J0847.8-4138,unid-pulsar,1.171,262.150,6.047,0.135,0.333,7.150,0.961,0.630,0.931
4FGL J0848.8-4328,unid-pulsar,0.164,263.694,13.091,0.104,0.117,64.115,0.324,0.855,1.015
4FGL J0850.8-4239,unid-pulsar,0.961,263.302,6.089,0.230,0.381,17.483,1.589,0.837,0.913
4FGL J0853.1-4407,unid-pulsar,0.352,264.698,5.685,0.262,0.656,2.875,1.046,0.984,1.046
4FGL J0853.2-4218,unid-pulsar,1.526,263.307,6.152,0.105,0.839,1.606,1.151,0.998,0.920
4FGL J0853.6-4306,unid-pulsar,1.072,263.976,10.215,0.167,0.535,15.349,1.242,0.851,1.020
4FGL J0854.8-4504,unid-pulsar,-0.034,265.607,36.176,0.028,1.703,41.549,0.823,0.989,0.888
4FGL J0855.4-0714,bcu-pulsar,23.410,235.031,10.006,0.131,0.867,0.223,0.997,0.478,-0.433
4FGL J0857.0-4353,unid-pulsar,1.032,264.966,4.284,0.160,0.478,2.900,0.866,0.613,1.018
4FGL J0857.7-4256,unid-pulsar,1.752,264.334,11.449,0.084,0.206,10.913,0.297,0.582,0.968
4FGL J0858.4-4615,unid-pulsar,-0.324,266.923,4.811,0.105,0.492,2.462,0.732,0.887,1.012
4FGL J0859.2-4729,unid-pulsar,-1.027,267.937,16.404,0.079,0.279,23.840,0.327,0.988,0.899
4FGL J0859.3-4342,unid-pulsar,1.460,265.096,13.765,0.128,0.776,12.822,0.871,0.989,1.030
4FGL J0900.5-4434,unid-pulsar,1.058,265.900,9.514,0.099,0.392,23.800,0.775,0.980,1.119
4FGL J0901.1-4456,unid-pulsar,0.892,266.242,9.745,0.079,1.111,2.971,0.610,0.995,1.085
4FGL J0902.5-4801,bcu-pulsar,-0.953,268.713,7.194,0.224,0.369,12.556,0.910,0.852,1.101
4FGL J0902.8-4633,unid-pulsar,0.049,267.646,4.882,0.117,0.772,0.725,0.672,0.930,0.988
4FGL J0904.7-4908,unk-pulsar,-1.436,269.784,7.581,0.294,0.327,32.357,1.167,0.905,1.183
4FGL J0906.8-2122,unid-pulsar,17.183,248.879,16.655,0.099,0.547,4.288,1.987,0.789,-0.019
4FGL J0908.7-4911,psr,-0.987,270.261,17.457,0.123,0.551,53.783,0.991,0.990,1.268
4FGL J0910.3-4816,unid-pulsar,-0.160,269.766,4.551,0.130,0.616,4.235,1.869,0.943,1.191
4FGL J0912.1-6449,glc,-11.215,282.174,13.148,0.055,0.572,0.485,0.395,0.591,0.168
4FGL J0912.2-2751,bcu-pulsar,13.920,254.836,10.403,0.318,0.331,0.839,0.543,0.502,-0.041
4FGL J0917.9-4755,unid-pulsar,0.987,270.392,9.528,0.186,0.377,13.264,0.779,0.886,1.086
4FGL J0918.9-4904,unid-pulsar,0.311,271.325,5.232,0.146,0.389,9.545,1.803,0.356,1.105
4FGL J0919.5-6203,unid-pulsar,-8.727,280.696,9.098,0.072,2.151,0.153,1.134,0.957,0.144
4FGL J0921.7-6317,other-pulsar,-9.401,281.769,9.016,0.140,1.471,0.189,0.904,0.967,0.206
4FGL J0922.3+0644,psr,36.466,225.336,5.212,0.151,0.100,0.405,0.179,0.009,-0.405
4FGL J0926.1-5336,unid-pulsar,-2.127,275.327,9.100,0.095,2.635,0.971,1.679,0.986,0.962
4FGL J0931.2-1906,msp,23.005,251.049,10.959,0.070,1.760,0.244,2.000,0.926,-0.371
