4FGL-DR3,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J0000.3-7355,-42.730,307.709,7.460,0.052,14.602,1.648,0.015,0.184,unid,bll,0.888,0.108,0.005
4FGL J0000.5+0743,-53.029,101.656,5.272,0.153,25.400,1.208,0.049,0.909,unid,bll,0.509,0.489,0.002
4FGL J0000.7+2530,-35.959,108.775,4.177,0.083,13.651,10.111,0.009,0.753,unid,bll,0.894,0.098,0.008
4FGL J0001.6+3503,-26.710,111.538,6.093,0.102,7.702,1.452,0.059,1.459,unid,pulsar,0.622,0.152,0.226
4FGL J0003.3+2511,-36.411,109.382,7.740,0.102,7.732,0.879,0.097,0.684,unid,pulsar,0.377,0.430,0.193
4FGL J0003.6+3059,-30.772,111.004,13.172,0.081,5.093,1.660,0.308,1.329,unid,pulsar,0.002,0.008,0.990
4FGL J0004.0+5715,-5.023,116.526,8.704,0.085,12.611,0.415,0.358,0.306,unid,bll,0.507,0.345,0.148
4FGL J0004.4-4001,-73.845,336.991,10.599,0.136,35.728,0.721,0.061,0.186,unid,bll,0.755,0.243,0.002
4FGL J0005.6+6746,5.282,118.608,4.877,0.189,14.458,0.434,1.255,0.829,unid,pulsar,0.005,0.096,0.899
4FGL J0006.3-1813,-76.319,71.150,4.067,0.082,14.361,0.493,0.006,0.090,unid,bll,0.899,0.091,0.009
4FGL J0006.6+4618,-15.870,114.920,6.035,0.065,10.761,7.071,0.031,1.394,unid,bll,0.925,0.073,0.002
4FGL J0007.4-0322,-64.025,97.161,5.635,0.089,11.185,8.413,0.032,1.986,unid,bll,0.930,0.066,0.003
4FGL J0008.4+6926,6.886,119.148,6.839,0.082,11.068,0.122,0.336,0.115,unid,bll,0.851,0.143,0.007
4FGL J0009.1-5012,-65.545,319.395,8.920,0.156,13.703,0.410,0.093,0.328,unid,bll,0.520,0.473,0.007
4FGL J0009.2+6847,6.235,119.110,11.461,0.119,14.669,0.471,4.764,0.853,unid,pulsar,0.021,0.199,0.780
4FGL J0009.2+1745,-43.965,108.909,6.829,0.148,13.497,0.768,0.093,0.809,unid,fsrq,0.249,0.723,0.028
4FGL J0009.7-1418,-73.912,83.706,9.193,0.093,13.866,0.100,0.377,0.171,unid,bll,0.702,0.289,0.009
4FGL J0009.9+2810,-33.807,111.931,4.917,0.106,14.490,0.667,0.009,0.073,unid,bll,0.892,0.100,0.008
4FGL J0010.1+1631,-45.218,108.813,4.242,0.077,10.851,3.982,0.005,0.180,unid,bll,0.895,0.096,0.008
4FGL J0010.2-2431,-80.374,46.330,4.660,0.094,10.560,2.196,0.007,0.302,unid,bll,0.888,0.106,0.006
4FGL J0017.1-4605,-69.865,320.389,7.119,0.138,8.144,0.100,1.768,0.064,unid,fsrq,0.419,0.576,0.005
4FGL J0017.4+6506,2.474,119.367,4.844,0.051,19.302,4.061,0.045,0.228,unid,bll,0.916,0.082,0.002
4FGL J0018.8+5112,-11.335,117.740,4.152,0.454,9.995,0.100,0.106,0.063,unid,bll,0.866,0.129,0.005
4FGL J0022.0-5921,-57.381,309.870,11.023,0.112,17.482,0.100,1.404,0.023,unid,fsrq,0.501,0.491,0.007
4FGL J0023.2+8412,21.382,122.171,4.492,0.132,10.682,0.892,0.024,0.720,unid,bll,0.826,0.169,0.005
4FGL J0023.6-4209,-73.933,321.850,5.099,0.145,22.332,0.100,0.026,-0.070,unid,bll,0.922,0.071,0.007
4FGL J0024.1+2402,-38.413,114.975,8.414,0.060,22.491,0.100,0.078,0.001,unid,bll,0.919,0.075,0.006
4FGL J0024.1+7909,16.355,121.600,6.771,0.035,12.865,3.336,0.012,0.138,unid,bll,0.896,0.099,0.006
4FGL J0025.0-2320,-82.937,63.933,4.088,0.115,16.921,0.100,0.066,-0.044,unid,bll,0.922,0.072,0.006
4FGL J0025.4-4838,-67.908,314.391,7.989,0.079,23.421,0.100,1.547,-0.100,unid,fsrq,0.500,0.490,0.009
4FGL J0025.5-5936,-57.218,308.988,5.923,0.302,16.225,0.100,0.326,0.096,unid,bll,0.812,0.180,0.008
4FGL J0026.1-0732,-69.518,104.762,8.005,0.049,12.711,10.160,0.028,0.177,unid,bll,0.905,0.090,0.005
4FGL J0026.2+3926,-23.171,117.647,4.553,0.235,17.122,0.100,0.339,0.096,unid,bll,0.806,0.186,0.008
4FGL J0030.6+0539,-56.827,113.453,4.236,0.283,8.281,0.100,5.101,0.061,unid,fsrq,0.109,0.884,0.007
4FGL J0030.9-3618,-79.838,327.037,6.612,0.088,17.837,1000.000,0.112,-0.066,unid,bll,0.898,0.095,0.007
4FGL J0031.0-2327,-84.106,70.318,8.832,0.111,7.715,2.030,0.061,1.318,unid,bll,0.749,0.171,0.080
4FGL J0031.5-4025,-76.087,318.849,4.510,0.122,16.902,1.427,0.012,0.999,unid,bll,0.884,0.112,0.005
4FGL J0031.5-5648,-60.111,308.383,7.160,0.112,17.131,8.585,0.024,0.327,unid,bll,0.910,0.086,0.004
4FGL J0032.3-5539,-61.257,308.520,5.289,0.042,10.247,173.101,0.048,0.392,unid,bll,0.872,0.116,0.011
4FGL J0034.6+6438,1.826,121.134,9.814,0.069,9.317,0.584,0.999,0.325,unid,pulsar,0.247,0.034,0.718
4FGL J0035.2-1739,-79.825,100.584,5.188,0.051,5.929,29.467,0.010,0.242,unid,bll,0.897,0.096,0.007
4FGL J0037.2-2653,-86.833,36.390,4.199,0.119,4.077,0.100,0.069,0.103,unid,bll,0.912,0.080,0.008
4FGL J0039.1+6257,0.122,121.535,27.064,0.034,11.066,1.652,9.699,0.975,unid,pulsar,0.001,0.005,0.995
4FGL J0039.7+4203,-20.754,120.615,5.719,0.089,13.948,0.100,0.177,0.031,unid,bll,0.878,0.116,0.006
4FGL J0040.2-2725,-87.495,25.414,4.492,0.088,2.800,4.366,0.006,0.689,unid,bll,0.776,0.198,0.027
4FGL J0040.7-7157,-45.138,304.102,7.986,0.065,11.619,4.833,0.027,0.523,unid,bll,0.911,0.087,0.002
4FGL J0042.3+3509,-27.682,120.836,4.399,0.067,15.778,16.819,0.041,1.998,unid,bll,0.924,0.073,0.003
4FGL J0045.8-1324,-76.213,117.258,6.080,0.068,9.922,86.609,0.008,0.037,unid,bll,0.894,0.098,0.008
4FGL J0045.9-2021,-83.121,112.118,7.182,0.050,12.141,3.467,0.013,0.182,unid,bll,0.899,0.096,0.005
4FGL J0046.9+0705,-55.762,120.958,4.523,0.114,22.594,1.315,0.022,0.736,unid,bll,0.817,0.180,0.002
