4FGL-DR3,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J0048.6-6347,-53.334,303.443,17.550,0.054,9.080,1.887,0.245,0.810,unid,pulsar,0.013,0.014,0.974
4FGL J0052.1+6444,1.870,123.010,8.542,0.093,9.483,0.837,1.006,0.654,unid,pulsar,0.000,0.000,1.000
4FGL J0054.4-1503,-77.908,126.445,5.062,0.090,10.179,10.248,0.024,1.894,unid,bll,0.944,0.053,0.003
4FGL J0055.7+4507,-17.741,123.732,4.900,0.051,10.321,9.819,0.015,1.305,unid,bll,0.902,0.089,0.009
4FGL J0057.5+6814,5.371,123.498,4.135,0.073,7.294,0.100,1.581,0.049,unid,fsrq,0.501,0.493,0.005
4FGL J0057.9+6326,0.576,123.663,10.182,0.042,15.431,64.366,0.429,0.370,unid,bll,0.893,0.093,0.014
4FGL J0058.1+6915,6.397,123.533,5.061,0.081,13.152,0.181,0.751,0.398,unid,fsrq,0.267,0.697,0.036
4FGL J0058.3-4603,-71.023,299.236,5.678,0.075,16.295,0.100,0.008,-0.001,unid,bll,0.885,0.105,0.010
4FGL J0059.4-5654,-60.185,300.730,21.907,0.066,53.278,0.261,3.156,0.462,unid,fsrq,0.150,0.847,0.003
4FGL J0102.0-6240,-54.403,300.843,7.655,0.084,25.706,4.572,0.014,0.198,unid,bll,0.891,0.102,0.008
4FGL J0102.1+4458,-17.862,124.928,5.422,0.092,14.397,5.960,0.027,1.663,unid,bll,0.933,0.064,0.003
4FGL J0102.3+1000,-52.765,127.393,11.199,0.059,13.805,5.833,0.164,0.896,unid,bll,0.842,0.131,0.027
4FGL J0104.8-2215,-84.258,155.555,5.430,0.085,66.641,2.984,0.018,1.257,unid,bll,0.618,0.371,0.011
4FGL J0106.1+1131,-51.179,128.697,5.558,0.076,16.908,5.612,0.015,0.409,unid,bll,0.910,0.086,0.004
4FGL J0107.4+0459,-57.654,130.416,4.197,0.090,10.110,5.217,0.004,0.236,unid,bll,0.896,0.094,0.010
4FGL J0110.0-5246,-64.113,296.481,5.548,0.131,12.686,1.553,0.029,1.955,unid,pulsar,0.221,0.074,0.705
4FGL J0112.0+3442,-27.977,127.728,4.787,0.106,14.951,1.298,0.018,0.632,unid,bll,0.877,0.120,0.003
4FGL J0112.5-0651,-69.119,137.755,4.494,0.273,16.214,0.293,0.352,1.409,unid,fsrq,0.075,0.892,0.032
4FGL J0115.4-2917,-84.288,236.604,6.473,0.057,12.154,11.908,0.013,0.377,unid,bll,0.911,0.084,0.005
4FGL J0116.8+6914,6.481,125.190,7.733,0.148,4.538,0.506,1.824,1.931,unid,pulsar,0.159,0.245,0.595
4FGL J0117.9+1430,-47.878,132.518,6.125,0.151,21.095,0.100,1.891,0.042,unid,fsrq,0.247,0.745,0.008
4FGL J0118.3-6008,-56.666,296.838,11.999,0.120,66.706,1.080,0.060,0.234,unid,bll,0.463,0.532,0.004
4FGL J0120.1+0505,-57.040,136.171,4.175,0.096,13.622,0.100,0.642,-0.096,unid,bll,0.928,0.065,0.007
4FGL J0120.2-7944,-37.297,301.325,5.975,0.061,19.286,0.100,0.595,-0.100,unid,bll,0.939,0.053,0.008
4FGL J0122.4+1034,-51.556,135.238,6.313,0.047,15.229,13.974,0.023,0.667,unid,bll,0.901,0.094,0.005
4FGL J0124.0+3035,-31.758,131.185,5.989,0.153,12.223,0.100,0.671,0.372,unid,fsrq,0.319,0.668,0.013
4FGL J0125.3+6820,5.676,126.063,6.478,0.107,21.097,0.219,1.533,0.525,unid,fsrq,0.090,0.883,0.027
4FGL J0125.8-6348,-52.900,296.650,5.304,0.088,7.681,0.100,0.029,0.091,unid,bll,0.879,0.114,0.007
4FGL J0125.9-6303,-53.628,296.341,4.467,0.073,11.268,5.484,0.006,0.338,unid,bll,0.902,0.091,0.007
4FGL J0126.3-6746,-49.010,297.911,5.106,0.068,11.973,14.221,0.011,0.765,unid,bll,0.892,0.099,0.009
4FGL J0126.8+2412,-37.957,133.176,6.733,0.090,48.646,0.158,0.269,0.302,unid,fsrq,0.057,0.941,0.002
4FGL J0127.9+1737,-44.382,135.135,4.200,0.059,12.432,0.100,0.239,0.003,unid,bll,0.897,0.096,0.007
4FGL J0128.1+7542,12.999,125.248,5.569,0.135,14.393,0.585,0.184,0.856,unid,fsrq,0.038,0.856,0.106
4FGL J0128.4+2614,-35.897,133.182,6.082,0.189,7.821,0.452,0.442,1.496,unid,fsrq,0.051,0.379,0.570
4FGL J0128.8-4626,-69.326,284.443,4.168,0.164,8.896,0.880,0.007,0.402,unid,bll,0.860,0.131,0.008
4FGL J0131.7-5346,-62.335,290.057,10.115,0.048,7.069,1.531,0.064,0.843,unid,bll,0.780,0.183,0.037
4FGL J0132.1-0956,-70.314,154.020,11.398,0.186,29.701,0.100,2.583,0.426,unid,fsrq,0.042,0.955,0.004
4FGL J0132.9-4259,-72.046,277.622,5.703,0.146,43.148,0.100,0.461,0.044,unid,bll,0.679,0.315,0.006
4FGL J0133.0+5931,-2.914,128.191,5.367,0.049,9.596,0.100,0.812,-0.089,unid,bll,0.880,0.114,0.006
4FGL J0133.7-3409,-78.514,253.265,4.938,0.082,8.982,1000.000,0.177,-0.087,unid,bll,0.894,0.099,0.007
4FGL J0136.2-4708,-68.139,282.145,4.622,0.067,10.027,9.658,0.005,0.595,unid,bll,0.888,0.101,0.011
4FGL J0137.3-3239,-78.621,244.720,5.180,0.125,11.490,0.452,0.022,0.279,unid,bll,0.780,0.213,0.006
4FGL J0138.5+0300,-57.797,145.414,4.327,0.098,10.124,1.827,0.009,0.273,unid,bll,0.888,0.106,0.005
4FGL J0139.2-1705,-75.070,173.162,5.382,0.063,14.083,0.100,0.654,-0.100,unid,bll,0.928,0.065,0.007
4FGL J0139.5-2228,-78.132,192.494,12.564,0.073,11.864,2.243,0.175,1.808,unid,pulsar,0.009,0.023,0.968
4FGL J0140.3+7054,8.415,126.947,7.764,0.035,8.435,14.305,0.059,0.485,unid,bll,0.900,0.096,0.003
4FGL J0140.4+5114,-10.881,130.709,4.728,0.152,9.525,1.211,0.079,1.615,unid,pulsar,0.146,0.122,0.732
4FGL J0140.5-4730,-67.470,280.916,4.551,0.105,22.666,0.759,0.025,0.838,unid,bll,0.611,0.386,0.003
4FGL J0142.5+6650,4.460,127.935,6.165,0.209,10.708,0.591,1.377,1.580,unid,pulsar,0.009,0.063,0.928
4FGL J0143.8+4947,-12.199,131.540,4.237,0.056,3.671,3.681,0.008,0.383,unid,bll,0.851,0.136,0.013
4FGL J0144.3+5959,-2.197,129.506,5.739,0.128,11.579,0.242,1.183,0.597,unid,fsrq,0.083,0.600,0.317
4FGL J0150.4+4848,-12.919,132.840,7.512,0.091,5.602,5.425,0.086,1.998,unid,bll,0.670,0.197,0.133
4FGL J0152.9-1109,-68.461,168.054,5.303,0.048,16.396,15.983,0.013,0.563,unid,bll,0.904,0.089,0.007
4FGL J0153.3+5416,-7.509,131.968,6.965,0.050,13.262,463.765,0.024,0.014,unid,bll,0.890,0.099,0.010
4FGL J0153.3-1845,-73.502,185.725,4.354,0.121,14.942,0.100,0.022,0.054,unid,bll,0.896,0.098,0.006
4FGL J0155.7+6642,4.628,129.239,4.666,0.126,16.860,0.441,0.397,0.508,unid,fsrq,0.071,0.727,0.202
4FGL J0156.3-2420,-75.137,205.719,12.624,0.042,40.614,5.043,0.078,0.267,unid,bll,0.909,0.089,0.002
4FGL J0158.4+1230,-47.161,147.387,4.730,0.864,21.892,0.164,1.527,1.589,unid,fsrq,0.098,0.817,0.085
4FGL J0158.5+0549,-53.265,151.641,4.308,0.067,22.069,9.902,0.005,0.124,unid,bll,0.889,0.098,0.012
4FGL J0159.0-4255,-69.081,266.324,4.580,0.238,12.380,1.785,0.018,2.000,unid,bll,0.559,0.131,0.310
4FGL J0159.0+3313,-27.554,138.860,8.836,0.071,25.025,9.941,0.027,0.041,unid,bll,0.897,0.094,0.009
4FGL J0159.8-2234,-73.854,200.309,5.421,0.124,11.819,7.895,0.015,0.937,unid,bll,0.894,0.100,0.005
4FGL J0202.4+2943,-30.656,140.866,7.470,0.051,14.407,2.148,0.018,0.079,unid,bll,0.895,0.100,0.005
4FGL J0202.7+3133,-28.899,140.274,4.277,0.062,13.488,14.884,0.021,0.868,unid,bll,0.899,0.095,0.006
4FGL J0203.3-2507,-73.750,209.922,5.063,0.087,6.658,536.934,0.008,0.031,unid,bll,0.812,0.155,0.033
4FGL J0203.9+8120,18.866,125.772,5.417,0.091,16.345,0.100,0.104,-0.086,unid,bll,0.929,0.064,0.006
4FGL J0204.7+6656,5.083,130.039,10.972,0.075,8.172,0.540,1.816,0.597,unid,pulsar,0.002,0.009,0.989
4FGL J0207.2-1832,-70.576,190.696,4.691,0.125,2.422,0.100,0.180,0.026,unid,bll,0.897,0.092,0.011
4FGL J0209.8+2626,-33.213,143.978,6.229,0.131,8.017,0.100,0.114,0.148,unid,bll,0.835,0.159,0.006
4FGL J0211.5+6219,0.886,132.092,6.623,0.115,5.892,0.100,11.877,0.005,unid,fsrq,0.258,0.716,0.026
4FGL J0215.0-5330,-59.440,278.264,4.868,0.068,9.901,7.651,0.012,1.841,unid,bll,0.927,0.061,0.012
4FGL J0220.1+1155,-45.413,154.683,4.517,0.116,9.494,70.505,0.033,0.409,unid,bll,0.899,0.094,0.007
4FGL J0222.7+5016,-9.998,137.514,6.790,0.059,16.828,1.258,0.019,0.037,unid,bll,0.886,0.108,0.006
4FGL J0222.8-0133,-56.324,167.371,4.127,0.320,5.766,0.100,0.434,0.082,unid,bll,0.859,0.134,0.008
4FGL J0223.7+3158,-26.940,144.828,4.353,0.097,10.868,0.100,0.414,-0.100,unid,bll,0.932,0.061,0.007
4FGL J0224.8+2937,-28.999,146.134,4.332,0.169,16.734,0.100,0.745,0.090,unid,bll,0.753,0.240,0.007
4FGL J0225.5-5530,-56.925,278.464,8.426,0.066,18.011,0.100,2.829,-0.100,unid,fsrq,0.178,0.813,0.010
4FGL J0226.9+7744,15.830,128.059,5.021,0.047,9.866,8.846,0.010,0.185,unid,bll,0.904,0.088,0.007
4FGL J0230.3+1713,-39.573,154.167,5.643,0.098,13.834,0.331,0.226,0.350,unid,fsrq,0.307,0.665,0.028
4FGL J0230.4-1140,-62.094,184.123,4.878,0.065,13.720,21.056,0.021,1.018,unid,bll,0.895,0.096,0.009
4FGL J0231.0+3505,-23.465,145.002,4.542,0.175,10.123,15.155,0.026,1.101,unid,bll,0.904,0.091,0.006
4FGL J0235.3+5650,-3.195,136.819,14.528,0.075,13.602,0.547,3.903,0.963,unid,pulsar,0.005,0.048,0.947
4FGL J0237.8+5238,-6.920,138.827,25.856,0.030,7.159,1.760,3.510,1.065,unid,pulsar,0.001,0.004,0.995
4FGL J0238.1-2621,-66.197,217.218,5.703,0.128,36.456,0.100,0.371,-0.030,unid,bll,0.902,0.091,0.007
4FGL J0239.1+6634,5.913,133.357,5.759,0.125,2.904,0.380,0.463,0.428,unid,pulsar,0.222,0.156,0.622
4FGL J0240.2-0248,-54.391,174.555,6.618,0.106,20.380,0.100,0.431,-0.046,unid,bll,0.935,0.058,0.008
4FGL J0243.1-4218,-62.689,253.934,6.079,0.061,11.372,4.321,0.021,1.963,unid,bll,0.902,0.075,0.022
4FGL J0245.0+4755,-10.731,141.867,4.124,0.082,18.540,0.113,0.041,0.117,unid,bll,0.878,0.117,0.005
4FGL J0246.0-4838,-59.122,264.794,5.245,0.125,12.326,0.100,1.719,-0.100,unid,fsrq,0.483,0.510,0.007
4FGL J0249.2+1652,-37.533,159.314,4.269,0.067,5.522,26.983,0.017,0.421,unid,bll,0.901,0.092,0.007
4FGL J0251.1-1830,-61.187,201.901,10.997,0.034,9.638,14.797,0.132,0.766,unid,bll,0.889,0.105,0.006
4FGL J0251.4+4646,-11.278,143.374,4.853,0.137,12.684,1.139,0.088,1.624,unid,pulsar,0.113,0.224,0.663
4FGL J0251.6+0628,-45.572,168.216,5.927,0.115,11.159,0.100,0.747,0.034,unid,bll,0.859,0.135,0.006
4FGL J0252.0-3657,-62.755,241.669,4.420,0.105,22.739,7.444,0.011,0.905,unid,bll,0.887,0.104,0.009
4FGL J0252.3-2707,-63.167,219.958,5.395,0.374,21.522,0.100,1.253,-0.002,unid,bll,0.568,0.424,0.008
4FGL J0256.2-0408,-52.391,180.767,5.361,0.074,16.430,9.999,0.005,-0.087,unid,bll,0.872,0.112,0.016
4FGL J0257.8+7044,10.397,133.052,5.027,0.076,12.943,0.100,0.447,0.194,unid,bll,0.678,0.313,0.009
4FGL J0259.0+0552,-44.827,170.749,23.219,0.036,28.894,4.061,0.873,0.262,unid,bll,0.909,0.086,0.004
4FGL J0300.0-5908,-51.070,277.174,5.743,0.075,12.235,11.520,0.012,0.562,unid,bll,0.906,0.088,0.006
4FGL J0300.4+3450,-20.926,150.899,6.371,0.142,7.630,0.310,0.122,0.251,unid,bll,0.707,0.276,0.017
4FGL J0301.6-5617,-52.710,273.407,9.353,0.066,21.477,4.769,0.029,0.453,unid,bll,0.906,0.092,0.002
4FGL J0302.5+3354,-21.520,151.805,6.900,0.041,13.855,167.558,0.026,0.050,unid,bll,0.889,0.102,0.009
4FGL J0302.7+5717,-1.173,139.973,4.830,0.210,8.578,0.238,2.005,0.624,unid,fsrq,0.091,0.559,0.350
4FGL J0303.2+5336,-4.355,141.821,4.840,0.252,12.213,0.220,0.637,0.430,unid,fsrq,0.222,0.684,0.094
4FGL J0303.6+6711,7.543,135.245,4.937,0.188,13.275,1.221,0.251,1.732,unid,pulsar,0.009,0.053,0.938
4FGL J0304.6+6554,6.465,135.968,7.708,0.094,8.320,2.892,0.204,1.691,unid,pulsar,0.015,0.030,0.954
4FGL J0305.4+5945,1.153,139.081,5.079,0.141,16.596,0.473,2.500,1.981,unid,pulsar,0.072,0.428,0.500
4FGL J0308.9-4702,-56.539,258.671,4.355,0.044,13.882,35.818,0.016,2.000,unid,bll,0.851,0.126,0.023
4FGL J0309.9-6941,-42.983,287.297,5.805,0.153,13.138,1.335,0.032,1.975,unid,pulsar,0.091,0.057,0.851
4FGL J0311.3+2940,-24.072,155.984,5.476,0.236,17.200,0.367,0.492,1.050,unid,fsrq,0.018,0.829,0.153
4FGL J0312.7+2012,-31.580,162.512,6.062,0.041,20.541,12.731,0.036,0.427,unid,bll,0.901,0.094,0.004
4FGL J0314.1+2827,-24.728,157.312,4.260,0.103,11.120,0.163,0.189,0.261,unid,bll,0.571,0.421,0.008
4FGL J0314.1+5033,-6.148,144.819,6.639,0.184,11.504,0.502,0.570,0.714,unid,pulsar,0.002,0.034,0.964
4FGL J0314.2+2419,-28.081,159.999,5.622,0.065,21.817,0.100,0.136,0.028,unid,bll,0.894,0.100,0.006
4FGL J0314.4-4805,-55.261,259.687,6.010,0.165,7.236,2.250,0.010,0.261,unid,bll,0.892,0.102,0.006
4FGL J0318.8+2848,-23.841,158.011,5.009,0.400,9.089,1.309,0.199,2.000,unid,pulsar,0.006,0.029,0.965
4FGL J0323.6+6142,3.980,139.959,4.295,0.118,7.982,0.100,1.383,0.228,unid,fsrq,0.491,0.502,0.007
4FGL J0327.3+2355,-26.575,162.952,4.408,0.132,13.203,0.509,0.063,0.391,unid,bll,0.555,0.438,0.006
4FGL J0327.6+2620,-24.651,161.346,5.530,0.049,9.655,14.728,0.015,0.174,unid,bll,0.902,0.092,0.006
4FGL J0328.0+6046,3.494,140.926,6.129,0.194,16.705,0.482,1.617,1.332,unid,pulsar,0.009,0.115,0.876
4FGL J0328.4-4736,-53.269,257.450,14.716,0.067,33.954,0.100,0.364,0.106,unid,bll,0.602,0.392,0.006
4FGL J0328.6-1129,-49.974,197.751,8.591,0.066,10.015,0.100,0.397,-0.064,unid,bll,0.921,0.071,0.007
4FGL J0330.1+5038,-4.696,146.912,11.853,0.087,9.109,0.780,1.162,0.724,unid,pulsar,0.000,0.000,1.000
4FGL J0330.7+5845,2.022,142.349,8.587,0.245,5.613,0.408,6.013,1.068,unid,pulsar,0.011,0.070,0.920
4FGL J0331.2-0919,-48.339,195.360,4.470,0.125,17.681,0.495,0.016,0.185,unid,bll,0.836,0.158,0.006
4FGL J0333.0-3044,-54.644,228.628,5.184,0.063,26.882,1.898,0.007,0.103,unid,bll,0.838,0.152,0.010
4FGL J0333.4-2705,-54.099,222.413,7.603,0.120,14.120,4.459,0.011,0.076,unid,bll,0.893,0.099,0.008
4FGL J0334.3+4820,-6.178,148.799,4.796,0.101,7.790,0.100,0.776,0.045,unid,bll,0.841,0.153,0.006
4FGL J0335.6-0727,-46.436,193.836,4.764,0.056,7.958,28.756,0.011,0.138,unid,bll,0.895,0.099,0.006
4FGL J0336.7-2445,-52.926,218.804,4.510,0.113,11.982,1.540,0.027,1.977,unid,pulsar,0.229,0.069,0.703
4FGL J0337.5+2423,-24.742,164.612,7.057,0.081,13.334,0.100,0.420,0.121,unid,bll,0.804,0.188,0.008
4FGL J0337.9+4058,-11.721,153.741,4.877,0.086,8.773,3.242,0.024,0.390,unid,bll,0.916,0.082,0.002
4FGL J0340.4+5302,-1.822,146.792,31.023,0.064,12.845,0.226,661.578,1.497,unid,pulsar,0.241,0.177,0.582
4FGL J0341.9+3153,-18.364,160.219,6.962,0.123,9.628,1.424,0.836,1.105,unid,pulsar,0.000,0.000,1.000
4FGL J0342.4+3125,-18.663,160.617,5.547,0.061,6.233,0.175,1.675,0.336,unid,fsrq,0.435,0.541,0.025
4FGL J0343.2+1400,-31.440,173.729,4.658,0.133,9.790,1.999,0.015,0.011,unid,bll,0.895,0.099,0.007
4FGL J0343.3-6303,-44.547,277.240,13.017,0.050,14.598,0.100,0.118,0.042,unid,bll,0.876,0.118,0.005
4FGL J0346.1+0342,-37.801,183.633,4.483,0.053,6.710,7.499,0.015,0.257,unid,bll,0.899,0.094,0.006
4FGL J0346.2+3235,-17.247,160.496,6.487,0.078,13.548,0.184,2.986,0.488,unid,fsrq,0.144,0.830,0.026
4FGL J0347.0-6400,-43.704,278.070,7.309,0.088,12.466,1.962,0.050,1.976,unid,pulsar,0.084,0.045,0.871
4FGL J0347.5+0722,-35.163,180.416,5.937,0.051,9.135,6.124,0.034,0.716,unid,bll,0.899,0.100,0.002
4FGL J0349.6+4026,-10.776,155.854,7.078,0.082,7.738,1.035,0.247,0.786,unid,pulsar,0.003,0.012,0.986
4FGL J0356.9+3013,-17.523,163.915,4.853,0.115,2.375,0.170,0.302,0.296,unid,bll,0.788,0.179,0.034
4FGL J0357.7-6808,-40.618,282.054,5.557,0.048,15.549,15.764,0.013,0.429,unid,bll,0.909,0.086,0.006
4FGL J0358.1+2850,-18.357,165.098,5.453,0.220,5.535,0.659,0.284,1.948,unid,fsrq,0.077,0.386,0.537
4FGL J0358.7-7403,-37.277,288.347,6.152,0.079,12.610,0.100,0.207,0.048,unid,bll,0.867,0.127,0.006
4FGL J0359.3+3626,-12.574,159.985,6.600,0.174,5.795,0.573,0.520,1.290,unid,pulsar,0.005,0.025,0.970
4FGL J0402.8-2747,-47.801,225.329,5.835,0.148,35.946,0.100,0.592,0.110,unid,fsrq,0.461,0.532,0.006
4FGL J0405.4-6929,-39.322,283.099,8.154,0.073,32.583,0.100,0.401,0.081,unid,bll,0.692,0.302,0.007
4FGL J0406.2+0639,-32.053,184.612,4.217,0.059,17.603,0.100,0.093,0.017,unid,bll,0.902,0.093,0.006
4FGL J0407.7-5702,-44.412,267.797,6.196,0.072,11.443,0.100,0.547,-0.100,unid,bll,0.931,0.062,0.007
4FGL J0408.8+0508,-32.447,186.510,4.129,0.168,6.854,0.103,0.481,0.294,unid,bll,0.706,0.282,0.013
4FGL J0409.2+2542,-18.877,169.287,7.392,0.056,9.042,3.770,0.045,0.172,unid,bll,0.911,0.087,0.002
4FGL J0409.4-3822,-47.413,241.173,7.810,0.053,10.145,8.288,0.036,0.808,unid,bll,0.896,0.102,0.002
4FGL J0409.7+4006,-8.489,158.995,7.267,0.186,13.232,0.524,2.031,1.375,unid,pulsar,0.004,0.032,0.964
4FGL J0412.5+6519,10.194,141.966,5.455,0.147,7.568,0.424,1.629,1.902,unid,pulsar,0.088,0.362,0.550
4FGL J0412.6+2253,-20.267,172.002,4.958,0.135,5.165,0.362,0.659,1.325,unid,pulsar,0.033,0.088,0.879
4FGL J0413.1-0304,-36.192,195.465,8.639,0.115,17.022,0.100,0.975,0.144,unid,fsrq,0.540,0.452,0.008
4FGL J0413.4-8609,-29.533,299.521,7.889,0.123,9.079,1.261,0.080,0.730,unid,bll,0.686,0.259,0.055
4FGL J0414.3+4522,-4.084,155.980,4.703,0.098,10.019,0.100,0.059,-0.038,unid,bll,0.902,0.092,0.006
4FGL J0414.6+5711,4.502,147.848,8.641,0.048,12.097,6.249,0.077,0.129,unid,bll,0.899,0.099,0.002
4FGL J0414.7-4300,-46.221,247.902,17.621,0.073,5.895,1.010,0.625,1.954,unid,pulsar,0.031,0.109,0.860
4FGL J0418.0+6302,8.978,144.031,4.717,0.105,6.968,0.416,0.592,1.078,unid,pulsar,0.003,0.027,0.970
4FGL J0418.4-4342,-45.499,248.840,4.386,0.046,17.495,47.851,0.009,0.339,unid,bll,0.887,0.106,0.008
