4FGL-DR4,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J0159.0-4255,-69.081,266.324,4.279,0.238,14.176,1.083,0.010,0.490,unid,bll,0.931,0.064,0.005
4FGL J0159.0+3313,-27.554,138.860,8.994,0.071,24.856,4.208,0.024,0.059,unid,bll,0.924,0.073,0.003
4FGL J0159.8-2234,-73.854,200.309,5.809,0.124,11.493,8.367,0.010,0.436,unid,bll,0.928,0.069,0.003
4FGL J0202.3-3531,-72.719,246.368,4.059,0.057,10.721,1000.000,0.009,-0.067,unid,bll,0.884,0.102,0.014
4FGL J0202.4+2943,-30.656,140.866,6.801,0.051,15.987,0.100,0.032,-0.011,unid,bll,0.928,0.064,0.008
4FGL J0202.7+3133,-28.899,140.274,4.112,0.062,13.842,17.422,0.010,0.465,unid,bll,0.921,0.074,0.005
4FGL J0203.3-2507,-73.750,209.922,5.167,0.087,7.442,75.993,0.005,0.040,unid,bll,0.879,0.103,0.018
4FGL J0203.9+8120,18.866,125.772,6.077,0.091,21.326,3.759,0.010,0.106,unid,bll,0.913,0.083,0.004
4FGL J0204.7+6656,5.083,130.039,11.412,0.075,8.840,0.475,1.892,0.555,unid,pulsar,0.023,0.212,0.765
4FGL J0207.2-1832,-70.576,190.696,6.048,0.125,6.632,0.100,0.644,-0.028,unid,bll,0.831,0.162,0.007
4FGL J0207.4+5214,-8.894,134.577,4.334,0.141,8.574,0.100,1.133,-0.022,unid,bll,0.889,0.105,0.006
4FGL J0209.8+2626,-33.213,143.978,6.540,0.131,8.495,0.100,0.247,-0.009,unid,bll,0.836,0.160,0.004
4FGL J0211.5+6219,0.886,132.092,6.835,0.115,8.005,0.100,7.021,0.313,unid,fsrq,0.553,0.414,0.033
4FGL J0213.2-8333,-33.140,300.246,5.333,0.058,17.173,13.249,0.017,0.753,unid,bll,0.920,0.076,0.004
4FGL J0215.0-5330,-59.440,278.264,5.486,0.068,13.019,7.761,0.009,0.707,unid,bll,0.929,0.065,0.006
4FGL J0220.0-3001,-70.354,226.625,4.950,0.149,16.208,1000.000,0.007,-0.035,unid,bll,0.873,0.110,0.017
4FGL J0220.1+1155,-45.413,154.683,4.435,0.116,8.318,67.648,0.023,0.341,unid,bll,0.917,0.073,0.010
4FGL J0222.7+5016,-9.998,137.514,8.477,0.059,18.590,0.100,0.067,0.031,unid,bll,0.930,0.066,0.005
4FGL J0222.8-0133,-56.324,167.371,4.048,0.320,7.575,0.100,0.105,0.244,unid,bll,0.585,0.407,0.008
4FGL J0224.8+2937,-28.999,146.134,6.116,0.169,18.177,0.100,2.549,0.046,unid,fsrq,0.330,0.663,0.008
4FGL J0225.5-5530,-56.925,278.464,10.140,0.066,20.123,2.593,0.057,0.371,unid,bll,0.950,0.049,0.001
4FGL J0226.9+7744,15.830,128.059,5.280,0.047,15.549,6.079,0.008,0.119,unid,bll,0.908,0.087,0.005
4FGL J0230.3+1713,-39.573,154.167,5.305,0.098,17.055,0.362,0.202,0.429,unid,fsrq,0.144,0.827,0.029
4FGL J0230.4-1140,-62.094,184.123,4.324,0.065,16.604,25.434,0.014,0.723,unid,bll,0.907,0.085,0.008
4FGL J0231.0+3505,-23.465,145.002,4.179,0.175,13.185,13.341,0.008,0.359,unid,bll,0.920,0.075,0.005
4FGL J0233.7-2423,-66.832,211.920,4.202,0.093,20.903,13.122,0.008,0.573,unid,bll,0.911,0.082,0.007
4FGL J0235.3+5650,-3.195,136.819,16.608,0.075,17.772,0.443,4.471,0.673,unid,pulsar,0.025,0.114,0.861
4FGL J0237.8+5238,-6.920,138.827,26.935,0.030,8.956,1.612,3.265,0.968,unid,pulsar,0.001,0.005,0.994
4FGL J0238.1-2621,-66.197,217.218,5.106,0.128,38.858,0.100,0.061,0.110,unid,bll,0.759,0.234,0.007
4FGL J0239.1+6634,5.913,133.357,5.035,0.125,3.527,0.436,0.320,0.499,unid,pulsar,0.062,0.669,0.268
4FGL J0240.2-0248,-54.391,174.555,6.128,0.106,25.445,0.100,0.350,-0.052,unid,bll,0.928,0.070,0.002
4FGL J0241.1-3035,-65.794,227.698,4.946,0.087,7.127,1000.000,0.234,-0.100,unid,bll,0.895,0.091,0.015
4FGL J0241.3+2229,-33.726,153.756,4.396,0.107,15.357,2.292,0.013,0.409,unid,bll,0.946,0.052,0.002
4FGL J0243.1-4218,-62.689,253.934,5.522,0.061,13.545,3.443,0.008,0.644,unid,bll,0.919,0.071,0.010
4FGL J0243.3+6319,3.130,135.108,5.112,0.157,13.559,15.195,0.043,0.698,unid,bll,0.908,0.088,0.004
4FGL J0244.3+1719,-37.783,157.784,4.058,0.062,10.468,37.100,0.010,0.291,unid,bll,0.920,0.073,0.007
4FGL J0245.0+4755,-10.731,141.867,4.825,0.082,18.705,0.507,0.028,0.218,unid,bll,0.887,0.105,0.008
4FGL J0246.0-4838,-59.122,264.794,4.724,0.125,18.984,0.688,0.013,0.488,unid,bll,0.895,0.098,0.007
