name,glon,glat,d,Fp,Ep,diffuse,pdf_young,pdf_MSP
4FGL J1628.0-4920,334.859,-0.377,0.956,3.961,1.954,1.791,0.067,0.001
4FGL J1631.7-4826,335.867,-0.156,0.299,5.370,0.552,1.835,0.053,0.002
4FGL J1633.1-3924,342.687,5.777,0.781,0.462,0.695,0.817,0.088,0.129
4FGL J1633.4-5845,328.464,-7.389,0.924,0.677,0.426,0.423,0.088,0.011
4FGL J1635.3-4159,340.936,3.746,0.617,3.111,0.311,0.884,0.055,0.072
4FGL J1635.4-3453,346.360,8.456,0.540,0.421,0.503,0.482,0.082,0.238
4FGL J1639.3-5146,334.250,-3.331,0.607,30.264,2.103,0.806,0.061,0.055
4FGL J1639.8-4642,338.096,-0.042,0.291,139.642,0.317,1.953,0.095,0.000
4FGL J1640.3-4917,336.224,-1.811,0.488,3.685,0.885,1.188,0.253,0.120
4FGL J1641.3-2908,351.604,11.313,0.560,4.806,0.268,0.432,0.042,0.055
4FGL J1644.1-5009,335.958,-2.805,0.637,3.403,0.316,1.064,0.068,0.046
4FGL J1644.9-4921,336.628,-2.412,0.525,2.754,0.283,1.021,0.040,0.047
4FGL J1645.1-4123,342.707,2.745,0.673,0.437,2.463,0.961,0.009,0.052
4FGL J1645.4-5514,332.168,-6.187,0.694,0.393,0.497,0.490,0.063,0.135
4FGL J1646.5-4406,340.820,0.821,0.581,1.354,2.324,1.554,0.032,0.002
4FGL J1646.7-2154,358.148,14.916,0.639,1.440,0.538,0.520,0.144,0.231
4FGL J1647.5-5319,333.853,-5.247,0.736,0.692,0.399,0.610,0.044,0.052
4FGL J1649.1-1359,5.155,19.191,0.791,1.032,0.277,0.713,0.047,0.023
4FGL J1651.1-5848,329.953,-9.196,0.675,0.622,0.493,0.254,0.094,0.249
4FGL J1651.4-4442,340.912,-0.265,0.569,3.103,1.836,1.868,0.021,0.000
4FGL J1655.9-3940,345.341,2.281,0.642,1.114,1.541,1.125,0.113,0.159
4FGL J1656.1-4706,339.614,-2.384,0.357,0.554,1.673,1.266,0.025,0.005
4FGL J1657.4-3917,345.860,2.306,0.303,0.954,1.013,1.124,0.030,0.065
4FGL J1700.0-0122,18.165,23.837,0.913,0.377,0.778,0.275,0.073,0.130
4FGL J1700.2-4237,343.680,-0.138,0.809,45.504,0.428,1.821,0.055,0.000
4FGL J1700.3-4557,340.996,-2.230,0.532,1.965,0.852,1.123,0.234,0.137
4FGL J1701.3-4924,338.294,-4.525,0.381,0.905,0.498,0.825,0.077,0.081
4FGL J1701.9-4625,340.666,-2.954,0.694,3.433,0.613,1.176,0.214,0.158
4FGL J1702.0-3721,347.904,2.779,0.456,0.566,0.652,0.964,0.107,0.128
4FGL J1703.6-2850,354.928,7.678,0.423,1.346,0.744,0.486,0.088,0.283
4FGL J1704.0-4226,344.099,-0.630,0.477,2.339,1.218,1.688,0.047,0.003
4FGL J1704.9-4303,343.713,-1.122,0.953,0.487,3.001,1.414,0.044,0.006
4FGL J1705.1-4748,340.007,-4.055,0.584,2.952,0.347,0.896,0.060,0.069
4FGL J1705.2-3850,347.122,1.391,0.710,1.902,1.774,1.269,0.133,0.075
4FGL J1705.4-4850,339.207,-4.666,0.761,1.928,0.428,0.745,0.084,0.069
4FGL J1706.2-4950,338.420,-5.403,0.857,0.822,0.653,0.690,0.113,0.135
4FGL J1706.5-4023,346.013,0.185,0.312,20.597,0.295,1.824,0.099,0.001
4FGL J1709.4-4339,343.719,-2.271,0.287,0.900,0.674,1.220,0.047,0.073
4FGL J1709.4-0328,17.432,20.724,0.402,1.805,0.518,0.350,0.066,0.241
4FGL J1709.9-0900,12.530,17.764,0.835,1.069,0.813,0.520,0.187,0.203
4FGL J1711.0-3002,354.919,5.634,1.037,3.135,1.105,0.748,0.342,0.083
4FGL J1713.0-4236,345.007,-2.072,0.347,0.953,0.588,1.174,0.081,0.078
4FGL J1713.6-4902,339.797,-5.898,0.694,1.692,0.252,0.667,0.044,0.054
4FGL J1716.1-4342,344.451,-3.181,0.487,1.173,0.563,0.985,0.138,0.086
4FGL J1716.9-4152,346.094,-2.221,0.387,0.445,1.238,1.120,0.023,0.047
4FGL J1717.0-3218,353.804,3.133,0.521,1.249,0.624,0.946,0.170,0.109
4FGL J1717.5-4022,347.281,-1.481,1.029,0.450,3.094,1.201,0.039,0.021
4FGL J1717.6-4404,344.243,-3.628,0.490,1.421,0.674,0.932,0.180,0.123
4FGL J1717.8-3906,348.352,-0.766,0.559,2.024,1.060,1.391,0.163,0.043
4FGL J1718.5-4122,346.568,-2.186,0.410,0.550,0.865,1.159,0.065,0.129
4FGL J1719.0-4221,345.807,-2.790,0.671,0.767,0.894,0.944,0.187,0.168
4FGL J1719.3-3424,352.366,1.674,1.133,0.799,2.112,1.274,0.073,0.074
4FGL J1719.4-2916,356.557,4.564,0.503,1.209,0.480,0.797,0.103,0.134
4FGL J1719.4-4242,345.574,-3.120,0.652,0.778,1.022,0.936,0.179,0.224
4FGL J1719.6-4320,345.075,-3.480,0.891,0.889,0.806,0.886,0.151,0.138
4FGL J1721.3-5257,337.258,-9.137,1.008,1.118,0.964,0.383,0.152,0.161
4FGL J1721.7-3917,348.633,-1.499,0.489,4.828,0.751,1.343,0.260,0.066
4FGL J1722.1-4007,348.066,-2.112,0.459,0.730,0.795,1.030,0.116,0.178
4FGL J1722.1-3205,354.590,2.567,0.614,1.682,1.545,1.052,0.115,0.204
4FGL J1722.6-3135,355.128,2.697,0.932,0.616,1.842,1.127,0.125,0.111
4FGL J1723.0+2625,49.228,30.200,0.909,0.037,0.627,-0.318,0.002,0.023
4FGL J1723.1-2859,357.192,4.092,0.677,1.900,0.511,0.924,0.115,0.136
4FGL J1723.5-3342,353.457,1.373,0.241,0.758,0.983,1.452,0.016,0.006
4FGL J1724.5-3008,356.518,3.365,0.904,2.353,0.678,0.912,0.197,0.123
4FGL J1725.1-1924,5.571,9.036,0.302,1.973,0.454,0.648,0.043,0.074
4FGL J1726.2-2903,357.511,3.520,0.799,0.909,1.116,0.913,0.217,0.211
4FGL J1726.2-3207,355.087,1.800,0.765,1.111,1.961,1.244,0.102,0.082
4FGL J1726.7-3930,349.111,-2.239,0.633,1.081,0.548,0.938,0.110,0.120
4FGL J1729.4-2831,358.583,3.190,0.812,2.638,0.604,0.974,0.180,0.147
4FGL J1729.4-2646,359.867,4.203,0.865,1.597,1.093,1.030,0.311,0.107
4FGL J1729.7-4242,346.649,-4.628,0.582,0.664,0.601,0.688,0.128,0.164
4FGL J1729.9-2952,357.392,2.368,0.914,0.203,3.372,0.998,0.006,0.011
4FGL J1730.1-4343,345.794,-5.343,1.002,1.906,0.487,0.583,0.131,0.050
4FGL J1730.3-2913,357.994,2.706,0.995,0.247,2.224,1.035,0.061,0.060
4FGL J1730.4-0359,19.746,15.985,1.002,4.091,1.642,0.502,0.151,0.384
4FGL J1730.5-3543,352.560,-0.949,0.435,3.406,0.523,1.593,0.081,0.014
4FGL J1730.8-3806,350.610,-2.427,0.627,1.978,1.407,1.045,0.167,0.233
4FGL J1731.9-2800,359.178,3.033,0.436,0.633,0.759,1.000,0.099,0.175
4FGL J1732.0-2659,0.101,3.516,0.415,0.505,1.274,1.060,0.026,0.074
4FGL J1733.2-2915,358.300,2.159,0.711,1.284,1.532,1.088,0.158,0.189
4FGL J1733.6-2431,2.313,4.676,0.686,2.541,0.758,0.986,0.321,0.173
4FGL J1733.9-2220,4.251,5.661,0.854,1.692,0.435,0.716,0.097,0.054
4FGL J1734.0-2933,358.152,1.824,0.280,0.949,1.182,1.158,0.027,0.030
4FGL J1734.5-2818,359.241,2.339,0.728,4.291,0.716,1.099,0.354,0.176
4FGL J1735.1-3708,351.886,-2.494,0.570,0.750,0.732,0.976,0.159,0.129
4FGL J1735.4-2944,358.114,1.401,0.786,0.911,3.186,1.219,0.018,0.013
4FGL J1736.3-2929,358.492,1.433,0.637,4.633,0.715,1.226,0.337,0.142
4FGL J1737.1-2901,359.013,1.524,0.420,1.637,0.693,1.241,0.137,0.084
4FGL J1737.6-2350,3.317,4.242,0.377,3.088,0.449,0.836,0.100,0.070
4FGL J1738.1-2453,2.591,3.552,1.190,11.818,0.548,0.928,0.065,0.040
4FGL J1738.2-2510,2.313,3.350,0.748,0.989,1.568,1.124,0.153,0.157
4FGL J1738.6-3627,352.837,-2.740,0.580,1.224,0.486,1.015,0.087,0.094
4FGL J1738.8-3241,356.007,-0.729,0.652,10.275,0.744,1.503,0.325,0.069
4FGL J1739.1-1059,14.653,10.586,0.561,0.676,0.485,0.624,0.084,0.195
4FGL J1739.2-2717,0.641,2.091,0.466,2.263,0.732,1.105,0.207,0.113
4FGL J1739.3-2531,2.149,2.996,0.463,6.311,0.714,1.036,0.291,0.122
4FGL J1739.7-2836,359.583,1.301,0.809,4.121,1.564,1.297,0.343,0.041
4FGL J1740.1-1928,7.359,5.980,0.584,2.216,0.409,0.813,0.077,0.107
4FGL J1740.5-2554,1.942,2.490,0.792,0.945,1.105,1.058,0.219,0.129
4FGL J1740.6-3430,354.802,-2.009,0.600,1.028,1.383,0.995,0.107,0.236
4FGL J1740.7-2640,1.367,2.147,0.856,5.030,1.458,1.116,0.491,0.074
4FGL J1741.1-3328,355.646,-1.625,0.847,2.136,1.525,1.091,0.283,0.128
4FGL J1741.3-3357,355.278,-1.889,0.652,1.369,0.797,1.046,0.233,0.132
4FGL J1741.5-2344,3.844,3.644,0.619,2.700,0.474,0.812,0.122,0.128
4FGL J1741.6-2730,0.736,1.526,0.588,6.154,0.538,1.228,0.219,0.137
4FGL J1742.8-2246,4.998,3.706,0.711,2.817,0.725,0.831,0.321,0.199
4FGL J1743.0-3201,357.200,-1.009,0.330,5.015,0.401,1.478,0.088,0.010
4FGL J1743.4-3123,357.654,-0.874,0.591,2.111,2.001,1.471,0.062,0.010
4FGL J1743.4-3406,355.401,-2.264,0.667,0.925,1.158,0.992,0.183,0.232
4FGL J1743.4-2406,3.836,2.926,0.381,1.251,0.461,0.913,0.085,0.062
4FGL J1743.7-4321,347.434,-7.244,0.954,2.312,1.069,0.477,0.236,0.250
4FGL J1743.9-3539,353.886,-3.279,0.816,0.772,0.454,0.878,0.046,0.054
4FGL J1744.0-2504,3.081,2.344,0.367,1.681,0.417,1.043,0.077,0.037
4FGL J1744.7-1557,11.046,6.894,0.481,2.264,0.719,0.613,0.168,0.253
4FGL J1745.3-3502,354.786,-3.126,0.424,0.742,0.529,0.807,0.088,0.099
4FGL J1745.6-3626,353.626,-3.883,0.489,1.280,0.777,0.852,0.167,0.176
4FGL J1745.6-3145,357.560,-1.479,0.529,3.715,0.916,1.360,0.250,0.057
4FGL J1746.1-2541,2.870,1.526,0.433,2.690,0.532,1.115,0.154,0.062
4FGL J1746.4-3541,354.283,-3.723,0.859,1.689,0.551,0.790,0.120,0.106
4FGL J1746.5-2019,7.469,4.326,0.422,2.557,0.427,0.844,0.101,0.090
4FGL J1747.0-3505,354.876,-3.429,0.592,3.409,0.721,0.770,0.304,0.218
4FGL J1747.8-3006,359.290,-1.012,0.449,3.892,1.152,1.569,0.094,0.013
4FGL J1747.8-1827,9.194,4.919,0.953,0.971,0.539,0.755,0.080,0.056
4FGL J1747.9-3224,357.270,-2.228,0.718,1.358,1.566,1.227,0.156,0.105
4FGL J1748.5-1648,10.755,5.671,0.982,4.343,0.266,0.738,0.029,0.014
4FGL J1748.8-3915,351.483,-5.867,1.065,4.026,1.266,0.539,0.273,0.204
4FGL J1749.0-2119,6.981,3.290,0.830,5.259,0.295,0.850,0.079,0.083
4FGL J1749.6-3143,358.074,-2.195,0.924,2.741,1.691,1.310,0.267,0.054
4FGL J1749.8-0303,23.046,12.214,0.427,9.740,0.314,0.578,0.075,0.064
4FGL J1750.0-3347,356.290,-3.566,0.521,1.003,0.895,0.884,0.156,0.223
4FGL J1750.2-3846,352.039,-5.891,0.748,0.388,0.770,0.574,0.115,0.193
4FGL J1750.4-1721,10.475,5.038,0.651,0.448,1.126,0.702,0.098,0.280
4FGL J1750.6-1906,9.031,4.090,0.376,1.911,0.358,0.830,0.074,0.084
4FGL J1751.6-3002,359.724,-1.693,0.679,1.813,0.712,1.141,0.211,0.129
4FGL J1752.3-2914,0.488,-1.566,0.379,8.821,0.336,1.134,0.092,0.021
4FGL J1752.3-3139,358.559,-2.651,0.377,1.061,0.506,1.018,0.091,0.056
4FGL J1752.7-3040,359.331,-2.291,0.734,2.610,0.786,1.051,0.330,0.160
4FGL J1754.3-4443,347.208,-9.495,0.525,1.300,0.510,0.343,0.114,0.363
4FGL J1754.3-2915,0.723,-1.841,1.034,1.699,1.316,1.008,0.247,0.059
4FGL J1754.3-3236,357.875,-3.318,0.886,1.078,0.716,0.873,0.142,0.142
4FGL J1754.8-3200,358.380,-3.224,1.066,0.932,1.889,0.892,0.090,0.158
4FGL J1755.3-3937,351.857,-7.184,0.580,0.251,0.663,0.462,0.094,0.205
4FGL J1757.1-3554,355.233,-5.638,0.596,1.212,0.567,0.635,0.149,0.213
4FGL J1757.4-3125,359.169,-3.465,0.574,2.369,0.943,0.900,0.269,0.240
4FGL J1758.0-2953,0.573,-2.824,1.040,1.028,1.829,0.923,0.112,0.160
4FGL J1758.0-0725,20.132,8.322,0.756,9.003,0.148,0.735,0.006,0.005
4FGL J1758.5-3219,358.421,-4.036,1.144,1.091,0.924,0.819,0.097,0.029
4FGL J1758.8-1654,11.900,3.502,0.750,0.372,1.188,0.864,0.123,0.212
4FGL J1759.0-3922,352.368,-7.675,0.773,0.631,0.452,0.442,0.059,0.066
4FGL J1759.2-0243,24.491,10.267,1.011,1.138,0.493,0.646,0.094,0.038
4FGL J1759.8-1250,15.645,5.320,0.387,1.135,0.455,0.860,0.080,0.076
4FGL J1800.2-2952,0.793,-3.181,0.961,1.453,1.066,0.819,0.255,0.131
4FGL J1800.5-2910,1.452,-2.966,0.491,0.933,0.752,0.869,0.149,0.168
4FGL J1800.9-2407,5.867,-0.519,0.201,17.805,0.969,1.730,0.027,0.006
4FGL J1801.0-2802,2.541,-2.504,0.669,2.425,0.732,0.886,0.302,0.184
4FGL J1801.1-2626,3.885,-1.711,1.553,1.982,3.392,1.202,0.002,0.004
4FGL J1801.8-2358,6.079,-0.584,0.007,103.608,0.100,1.717,0.008,0.000
4FGL J1802.1-2652,3.662,-2.122,0.787,3.075,0.866,1.043,0.408,0.142
4FGL J1802.4-3041,0.318,-4.033,0.942,2.643,3.754,0.840,0.005,0.048
4FGL J1803.1-2724,3.289,-2.459,0.488,1.601,0.788,1.002,0.193,0.156
4FGL J1803.5-1639,12.669,2.568,0.837,1.893,0.503,0.994,0.095,0.085
4FGL J1803.7-3207,359.201,-4.947,0.797,0.925,0.747,0.746,0.168,0.181
4FGL J1803.8-2908,1.944,-3.542,1.133,6.372,0.503,0.737,0.087,0.075
4FGL J1804.4-0852,19.616,6.226,0.270,4.071,0.316,0.874,0.069,0.025
4FGL J1804.9-1745,11.839,1.835,0.449,2.540,0.504,1.144,0.135,0.062
4FGL J1804.9-3001,1.305,-4.189,0.883,0.674,0.950,0.688,0.146,0.222
4FGL J1805.1-3618,355.667,-7.246,1.093,1.949,1.592,0.446,0.094,0.335
4FGL J1805.3-2734,3.322,-3.053,0.481,0.740,0.407,0.783,0.061,0.127
4FGL J1808.1-1234,16.763,3.722,0.486,8.671,0.261,0.921,0.060,0.084
4FGL J1808.2-1055,18.285,4.441,0.923,10.430,0.287,0.908,0.049,0.039
4FGL J1808.2-3005,1.502,-4.838,0.598,0.458,0.824,0.657,0.130,0.214
4FGL J1808.4-3358,358.034,-6.734,1.102,8.579,0.848,0.517,0.338,0.087
4FGL J1808.6-0110,26.950,8.974,0.763,1.476,0.331,0.777,0.058,0.042
4FGL J1808.9-2607,5.031,-3.065,0.648,0.709,0.558,0.875,0.092,0.108
4FGL J1809.0-2853,2.627,-4.487,0.944,0.730,0.953,0.654,0.138,0.187
4FGL J1809.2-2726,4.016,-3.639,0.342,1.907,0.566,0.783,0.077,0.074
4FGL J1809.8-2408,6.878,-2.266,0.408,13.939,0.259,1.207,0.088,0.018
4FGL J1810.2-3054,0.980,-5.686,0.784,0.663,0.985,0.592,0.151,0.317
4FGL J1810.6-0945,19.573,4.480,0.607,3.885,0.290,0.942,0.059,0.079
4FGL J1811.7-1442,15.298,1.869,0.566,1.728,0.886,1.175,0.228,0.118
4FGL J1811.9-2336,7.525,-2.462,0.521,12.865,0.331,1.011,0.118,0.056
4FGL J1812.2-0856,20.538,4.475,1.033,9.171,0.367,0.900,0.057,0.047
4FGL J1813.2-1128,18.373,3.094,0.517,6.921,0.481,1.100,0.196,0.103
4FGL J1813.7-1152,18.069,2.811,0.571,8.025,0.718,1.320,0.381,0.115
4FGL J1814.2-3000,2.132,-5.935,0.498,0.309,0.834,0.521,0.066,0.250
4FGL J1814.6-2537,6.039,-3.978,0.637,0.805,0.877,0.784,0.187,0.218
4FGL J1814.7-3420,358.335,-8.045,0.626,1.822,0.551,0.400,0.162,0.302
4FGL J1815.3-1336,16.813,1.569,0.729,4.033,0.736,1.237,0.308,0.129
4FGL J1816.3-2903,3.273,-5.807,1.322,0.946,0.920,0.520,0.096,0.018
4FGL J1816.5-1208,18.171,2.054,0.430,2.342,0.663,1.235,0.166,0.073
4FGL J1817.6-3251,0.148,-7.937,1.052,0.356,0.762,0.411,0.075,0.071
4FGL J1817.7-2517,6.707,-4.418,0.821,0.851,1.159,0.691,0.162,0.345
4FGL J1817.9-3334,359.353,-8.269,0.957,1.480,1.196,0.385,0.122,0.378
4FGL J1817.9-1135,18.686,1.968,0.662,4.474,0.644,1.170,0.285,0.171
4FGL J1818.1-2000,11.395,-2.043,1.132,1.772,2.919,1.247,0.086,0.062
4FGL J1818.5-2036,10.890,-2.559,0.097,45.329,0.100,1.215,0.016,0.001
