name,glon,glat,d,Fp,Ep,diffuse,pdf_young,pdf_MSP
4FGL J2027.0+2811,68.833,-5.882,1.209,6.356,0.773,0.531,0.219,0.042
4FGL J2049.3+4440,84.731,0.456,0.371,9.249,0.202,1.295,0.048,0.017
4FGL J2050.0+4114,82.065,-1.701,0.370,0.580,0.745,1.024,0.064,0.153
4FGL J2051.7+5051,89.723,4.128,0.928,6.258,1.505,0.976,0.504,0.083
4FGL J2052.3+4437,85.036,-0.114,0.796,6.286,0.516,1.236,0.203,0.056
4FGL J2052.6+4135,82.786,-1.904,0.433,1.940,0.337,1.115,0.047,0.033
4FGL J2101.8+5044,90.622,2.712,0.679,4.031,0.334,1.158,0.089,0.034
4FGL J2110.7+5129,92.003,2.260,0.710,7.035,0.284,1.149,0.091,0.055
4FGL J2112.5-3043,14.893,-42.434,0.905,30.128,2.167,-0.052,0.081,0.251
4FGL J2114.3+5023,91.743,1.147,0.401,3.887,0.738,1.048,0.180,0.106
4FGL J2115.2+5219,93.263,2.352,0.620,3.966,0.327,1.272,0.082,0.020
4FGL J2120.0+5257,94.174,2.304,0.331,0.737,0.423,1.099,0.049,0.026
4FGL J2144.2+7709,113.120,18.000,1.376,0.140,2.526,0.342,0.001,0.040
4FGL J2210.2+5919,103.654,2.663,0.638,4.969,0.300,0.861,0.074,0.097
4FGL J2220.8+6319,106.961,5.233,0.674,11.883,0.396,1.082,0.205,0.054
4FGL J2221.1+6605,108.498,7.528,0.862,2.046,0.234,0.684,0.039,0.018
4FGL J2221.6+6349,107.294,5.626,0.739,1.777,0.406,1.032,0.063,0.054
4FGL J2227.1+6455,108.491,6.106,0.701,1.315,0.310,0.789,0.041,0.043
4FGL J2233.3+6530,109.231,6.370,0.760,1.735,0.548,0.959,0.117,0.142
4FGL J2241.2+4303,99.090,-13.688,1.158,0.210,0.748,0.145,0.059,0.057
4FGL J2250.5+3305,95.610,-23.295,1.080,1.250,0.878,-0.098,0.070,0.209
4FGL J2256.5+6212,109.944,2.189,0.429,0.604,0.362,1.024,0.037,0.038
4FGL J2301.8+6235,110.705,2.312,1.072,6.297,0.379,1.129,0.026,0.018
4FGL J2317.8+6140,112.023,0.844,0.408,1.175,0.469,1.145,0.080,0.040
4FGL J2350.7+6738,117.203,5.445,0.675,0.753,0.364,0.753,0.032,0.054
4FGL J2357.7+6802,117.927,5.698,0.749,0.640,0.446,0.700,0.045,0.065
4FGL J2358.7+5646,115.717,-5.371,0.903,0.071,2.000,0.376,0.002,0.047
4FGL J0116.8+6914,125.175,6.479,1.172,1.654,0.374,0.517,0.041,0.005
4FGL J0349.6+4026,155.848,-10.796,0.632,0.267,0.802,0.406,0.103,0.287
4FGL J0552.0+2656,182.485,0.334,0.696,3.902,0.333,0.787,0.081,0.080
4FGL J0609.1+1544,194.142,-1.925,0.882,3.093,0.304,0.709,0.083,0.048
4FGL J0612.2+1909,191.495,0.383,1.077,7.508,0.282,0.950,0.007,0.005
4FGL J0709.1-1034,224.348,-0.925,0.439,2.313,0.499,0.960,0.136,0.074
4FGL J0910.3-4816,269.663,-0.073,1.173,9.932,0.356,1.154,0.006,0.003
4FGL J1209.2-6009,297.701,2.289,0.629,0.689,0.610,0.700,0.129,0.156
4FGL J1408.1-6010,312.408,1.315,0.301,0.372,1.328,1.233,0.018,0.007
4FGL J1430.9-6024,315.017,0.111,0.472,2.478,0.551,1.602,0.066,0.012
4FGL J1702.7-5655,332.397,-9.236,0.600,70.200,0.513,0.323,0.176,0.132
4FGL J1704.4-4540,341.598,-2.703,0.587,0.921,0.751,1.127,0.163,0.102
4FGL J1706.4-4609,341.406,-3.245,0.321,1.323,0.390,1.099,0.054,0.022
4FGL J1722.8-0418,18.481,17.483,0.271,1.676,0.557,0.607,0.028,0.065
4FGL J1727.7-3621,351.733,-0.929,0.487,8.207,0.454,1.504,0.153,0.041
4FGL J1757.1-1926,9.467,2.517,0.545,0.914,0.636,0.981,0.152,0.103
4FGL J1757.6-2731,2.690,-1.565,0.595,2.383,0.772,1.176,0.270,0.109
4FGL J1819.9-1530,15.538,-0.185,1.409,42.344,1.528,1.740,0.090,0.000
4FGL J1819.0-1203,18.480,1.587,0.269,0.577,0.470,1.095,0.037,0.035
4FGL J1811.0-2725,4.103,-4.090,0.308,0.594,0.541,0.674,0.032,0.078
4FGL J1904.7+0615,39.977,-0.132,0.883,44.368,0.360,1.629,0.029,0.000
4FGL J1912.7+0957,44.246,-0.091,0.653,34.833,0.645,1.569,0.379,0.075
4FGL J2104.0+4623,87.802,-0.196,0.813,0.537,1.088,0.958,0.156,0.149
4FGL J2147.7+4735,93.853,-4.678,0.558,0.183,0.787,0.699,0.061,0.145
