4FGL-DR4,ts,r95,glat,glon,Fp,Ep,curvature,sgu,uw_name
4FGL J1206.8-5836,51.269,0.160,3.748,296.949,0.604,0.634,1.191,True,J1205.3-5835
4FGL J1207.9-6443,147.343,0.072,-2.231,298.309,1.975,1.303,1.169,,J1207.9-6442
4FGL J1209.9-5923,41.733,0.142,3.271,297.559,0.307,1.334,2.000,True,J1209.4-5909
4FGL J1210.4-6250,422.967,0.050,-0.319,298.250,39.574,0.805,1.188,True,J1210.2-6248
4FGL J1213.6-5954,120.805,0.112,2.598,298.194,1.905,0.615,0.852,True,J1213.5-5955
4FGL J1215.5-5457,41.460,0.183,7.553,297.743,0.239,0.700,1.838,False,J1215.5-5457
4FGL J1216.7-5911,182.779,0.092,3.320,298.535,3.962,0.386,0.723,True,J1216.9-5915
4FGL J1218.1-6028,39.577,0.151,2.127,298.835,0.353,0.978,1.215,True,J1218.1-6028
4FGL J1234.5-7055,67.526,0.173,-8.017,301.682,0.419,0.480,0.740,,J1236.3-7051
4FGL J1243.1-6754,26.280,0.171,-5.044,302.152,0.192,0.877,2.000,,J1243.1-6754
4FGL J1303.1-4714,80.037,0.062,15.585,304.949,0.160,2.550,2.000,False,J1302.8-4714
4FGL J1308.7+0347,112.077,0.054,66.297,313.814,0.105,2.506,1.490,False,J1308.8+0347
4FGL J1309.1-6223,445.704,0.055,0.445,304.968,36.894,0.866,1.135,True,J1309.0-6221
4FGL J1320.5-6256,44.685,0.092,-0.216,306.295,1.005,3.438,1.913,,J1321.0-6253
4FGL J1321.1-6239,108.029,0.118,0.141,306.528,9.221,0.526,0.836,True,J1322.6-6230
4FGL J1325.4-4706,57.563,0.117,15.361,308.921,0.228,0.749,0.953,False,J1325.4-4706
4FGL J1338.4-5923,48.195,0.161,2.964,308.890,0.716,1.120,1.963,True,J1338.3-5921
4FGL J1356.0-6747,55.128,0.207,-5.698,308.966,0.679,0.553,1.706,False,J1355.7-6748
4FGL J1357.3-6123,114.415,0.110,0.610,310.771,11.025,0.830,1.220,True,J1357.3-6115
4FGL J1357.8-5724,50.781,0.115,4.313,311.816,0.290,1.365,1.415,False,J1357.8-5724
4FGL J1400.4-6050,73.410,0.079,0.963,311.213,3.131,1.277,1.035,True,J1400.1-6048
4FGL J1401.2-6116,72.267,0.084,0.601,311.216,3.179,2.368,1.879,True,J1400.9-6108
4FGL J1403.5-6236,215.960,0.042,-0.881,311.113,8.742,2.452,1.471,True,J1403.4-6236
4FGL J1404.8-5237,128.651,0.043,8.661,314.075,0.554,2.016,1.269,False,J1404.8-5236
4FGL J1407.7-3017,161.289,0.143,29.850,321.816,0.769,0.444,0.959,False,J1407.2-3013
4FGL J1424.2-6111,26.489,0.247,-0.291,314.023,1.542,1.598,1.365,,J1425.3-6107
4FGL J1424.8-6536,84.772,0.144,-4.523,312.280,1.184,0.492,0.949,True,J1424.1-6541
4FGL J1424.8-8012,58.900,0.099,-18.060,306.973,0.091,2.334,2.000,False,J1424.1-8011
4FGL J1428.0-6026,163.318,0.082,0.207,314.618,18.335,0.900,1.073,,J1428.4-6026
4FGL J1429.8-0739,88.288,0.075,47.884,340.886,0.113,1.626,1.270,False,J1429.7-0736
4FGL J1433.8-6357,54.078,0.114,-3.303,313.858,0.404,1.916,2.000,True,J1433.6-6359
4FGL J1445.9-5907,36.441,0.182,0.548,317.163,1.838,1.225,1.863,True,J1445.9-5907
4FGL J1450.8-1424,122.535,0.060,39.358,341.517,0.237,1.387,1.071,False,J1450.8-1424
4FGL J1454.3-5551,86.493,0.288,2.934,319.560,20.605,0.164,0.753,True,J1454.1-5555
4FGL J1500.2+2640,94.485,0.120,61.264,39.597,0.229,0.671,2.000,False,J1500.6+2642
4FGL J1502.2-5933,52.853,0.078,-0.773,318.813,1.547,2.554,1.961,True,J1502.1-5933
4FGL J1505.1-5145,79.708,0.104,5.886,323.050,0.663,1.101,1.535,False,J1505.3-5140
4FGL J1506.5-5708,42.655,0.069,1.054,320.476,0.498,2.785,1.324,True,J1506.4-5708
4FGL J1507.7-5403,42.131,0.196,3.623,322.139,0.853,0.494,0.843,False,J1507.6-5405
4FGL J1516.4-2640,43.428,0.093,25.895,338.859,0.097,2.067,2.000,False,J1516.2-2641
4FGL J1517.9-5233,716.872,0.032,4.140,324.262,7.001,1.855,1.243,False,J1517.9-5233
4FGL J1524.6-6245,26.733,0.120,-4.914,319.476,0.076,3.343,1.724,True,J1524.6-6245
4FGL J1526.6-3810,153.903,0.051,15.274,333.646,0.435,1.819,1.344,False,J1526.6-3810
4FGL J1527.8+1013,138.172,0.075,49.532,15.960,0.276,1.380,2.000,False,J1527.8+1016
4FGL J1529.4-6027,93.460,0.166,-3.386,321.187,5.485,0.150,0.392,True,J1529.3-6032
4FGL J1530.0-1522,126.708,0.064,32.672,349.881,0.372,1.027,1.099,False,J1530.0-1522
4FGL J1532.9-0313,37.682,0.083,40.649,1.422,0.084,1.929,1.888,False,J1532.9-0312
4FGL J1534.3-3312,82.728,0.050,18.363,338.027,0.161,3.492,1.430,False,J1534.2-3311
4FGL J1534.7-5842,119.424,0.062,-2.285,322.763,1.157,2.799,1.947,False,J1534.5-5843
4FGL J1537.3-6110,54.996,0.151,-4.477,321.625,0.365,1.543,1.664,True,J1537.4-6110
4FGL J1538.0-4638,236.055,0.060,7.156,330.333,3.743,0.531,0.936,False,J1538.2-4639
4FGL J1539.4-3323,1540.156,0.018,17.536,338.786,15.629,2.650,1.390,False,J1539.3-3323
4FGL J1542.1-5901,156.979,0.083,-3.083,323.448,20.569,0.100,0.240,True,J1542.4-5857
4FGL J1543.4-5925,64.693,0.120,-3.434,323.291,0.465,1.747,1.423,True,J1543.1-5920
4FGL J1548.1-4416,164.147,0.064,7.975,333.197,1.512,0.727,1.028,False,J1548.1-4415
4FGL J1602.2+2305,314.119,0.036,46.876,38.551,0.494,2.480,1.450,False,J1602.2+2306
4FGL J1603.0-4808,110.034,0.137,3.365,332.685,75.623,0.100,0.531,True,J1603.0-4807
4FGL J1604.4-4927,112.531,0.075,2.175,331.957,3.845,1.476,1.489,True,J1604.5-4929
4FGL J1604.7-4518,43.113,0.226,5.275,334.867,4.924,0.100,0.806,True,J1605.1-4514
4FGL J1609.6-4837,57.271,0.143,2.256,333.174,10.645,0.200,0.450,True,J1609.7-4837
4FGL J1611.6-6013,91.846,0.054,-6.371,325.457,0.278,1.735,1.359,True,J1611.3-6010
4FGL J1616.0-4501,40.894,0.163,4.133,336.430,0.706,1.190,1.542,True,J1616.0-4501
4FGL J1616.6-5341,690.644,0.036,-2.165,330.485,18.632,1.577,1.658,False,J1616.6-5340
4FGL J1616.6-5009,83.972,0.142,0.388,332.965,18.368,0.794,1.030,True,J1616.6-5007
4FGL J1617.8-4418,48.590,0.353,4.432,337.003,1.736,0.620,1.216,True,J1617.1-4424
4FGL J1618.3-4537,67.177,0.163,3.422,336.419,2.141,0.764,1.231,True,J1618.8-4532
4FGL J1619.3-5047,131.981,0.103,-0.158,332.870,31.424,1.218,1.550,True,J1618.6-5034
4FGL J1620.5-5729,55.149,0.064,-5.249,328.210,0.188,1.933,1.249,True,J1620.4-5728
4FGL J1621.4-4511,54.248,0.113,3.328,336.982,0.674,1.943,1.752,True,J1621.4-4512
4FGL J1622.2-1930,56.621,0.100,20.860,356.283,0.365,1.048,1.023,,J1622.2-1930
4FGL J1628.0-4920,32.764,0.091,-0.377,334.859,2.002,2.215,1.259,True,J1628.3-4919
4FGL J1629.3-4822,83.211,0.127,0.077,335.603,19.886,0.663,0.910,,J1629.4-4827
4FGL J1630.1-1049,232.920,0.043,24.826,4.942,1.215,1.459,1.218,False,J1630.1-1048
4FGL J1633.1-3924,44.620,0.114,5.777,342.687,0.522,0.946,1.046,,J1633.1-3924
4FGL J1633.4-5845,114.211,0.208,-7.389,328.464,57.479,0.100,0.320,True,J1633.5-5845
4FGL J1634.0-4742,225.683,0.062,-0.008,336.630,40.258,1.881,1.224,,J1634.0-4746
4FGL J1634.1-4011,26.637,0.120,5.036,342.019,0.264,1.357,1.141,True,J1633.6-4023
4FGL J1635.0-3039,26.855,0.153,11.333,349.612,0.105,1.674,2.000,False,J1635.3-3036
4FGL J1635.3-4159,29.955,0.155,3.746,340.936,0.498,0.878,0.962,True,J1634.8-4203
4FGL J1638.1-4641,76.049,0.089,0.246,337.917,9.339,1.927,1.493,,J1638.0-4639
4FGL J1641.3-2908,188.643,0.074,11.313,351.604,3.707,0.332,0.697,False,J1641.2-2908
4FGL J1641.4-4803,60.941,0.180,-1.073,337.257,12.873,0.336,0.927,,J1641.2-4801
4FGL J1645.4-5514,47.224,0.212,-6.187,332.168,0.575,0.569,1.130,True,J1644.7-5512
4FGL J1646.7-2154,82.913,0.082,14.916,358.148,0.815,0.928,1.214,False,J1646.6-2154
4FGL J1647.5-5319,75.728,0.144,-5.247,333.853,9.484,0.100,0.447,True,J1647.2-5319
4FGL J1649.1-1359,68.529,0.178,19.191,5.155,2.334,0.346,1.320,,J1649.2-1359
4FGL J1649.2-4513,91.760,0.131,-0.196,340.260,28.810,0.933,1.868,,J1648.7-4510
4FGL J1651.1-5848,62.176,0.108,-9.196,329.953,0.306,0.684,0.968,True,J1651.5-5849
4FGL J1651.7-4359,308.563,0.047,0.165,341.511,50.995,1.264,1.084,True,J1651.7-4358
4FGL J1654.7-3639,40.402,0.136,4.342,347.556,0.460,0.991,0.999,False,J1654.7-3639
4FGL J1656.5-2733,220.634,0.050,9.684,354.979,1.520,1.284,1.338,False,J1656.5-2734
4FGL J1659.2-1443,64.341,0.063,16.767,5.996,0.314,2.930,2.000,False,J1659.3-1444
4FGL J1700.0-0122,58.305,0.113,23.837,18.165,0.340,0.975,1.334,False,J1700.3-0119
4FGL J1700.8-5218,43.059,0.079,-6.283,335.955,0.198,2.141,1.944,True,J1701.2-5220
4FGL J1701.9-4625,39.854,0.219,-2.954,340.666,1.001,1.179,1.012,True,J1702.5-4635
4FGL J1704.0-4226,73.487,0.075,-0.630,344.099,4.729,2.328,1.987,,J1703.9-4227
4FGL J1704.9-4303,47.758,0.070,-1.122,343.713,1.525,2.635,1.842,False,J1704.8-4303
4FGL J1705.1-4748,99.307,0.118,-4.055,340.007,17.870,0.100,0.300,True,J1705.3-4746
4FGL J1705.2-3850,124.187,0.079,1.391,347.122,3.953,1.814,1.173,True,J1705.1-3849
4FGL J1705.4-4850,91.162,0.131,-4.666,339.207,1.446,0.790,0.898,True,J1705.4-4846
4FGL J1706.2-4950,101.545,0.094,-5.403,338.420,1.220,0.857,0.960,True,J1706.1-4951
4FGL J1709.9-0900,86.178,0.089,17.764,12.530,0.744,0.990,1.195,False,J1710.0-0859
4FGL J1711.0-3002,238.863,0.051,5.634,354.919,3.688,1.351,1.421,False,J1711.1-3002
4FGL J1711.4-2526,95.365,0.082,8.280,358.765,1.099,0.817,0.905,False,J1711.4-2524
4FGL J1714.9-3324,156.991,0.062,3.019,352.684,2.449,2.440,1.358,True,J1715.0-3322
4FGL J1717.5-5804,261.601,0.039,-11.510,332.601,1.095,2.485,1.977,False,J1717.5-5804
4FGL J1717.5-4022,43.701,0.087,-1.481,347.281,0.801,3.280,2.000,False,J1717.6-4023
4FGL J1719.0-4221,94.032,0.099,-2.790,345.807,1.608,1.306,1.060,True,J1718.8-4220
4FGL J1719.3-3424,45.514,0.112,1.674,352.366,1.251,2.498,1.905,True,J1719.4-3425
4FGL J1722.1-4007,63.509,0.161,-2.112,348.066,1.051,2.062,1.584,True,J1722.7-4006
4FGL J1722.6-3135,95.543,0.103,2.697,355.128,2.435,1.975,1.886,True,J1722.8-3133
4FGL J1722.7-3258,52.812,0.203,1.928,353.944,2.467,0.924,1.172,,J1722.7-3258
4FGL J1724.5-3008,63.768,0.150,3.365,356.518,1.520,1.343,1.954,True,J1723.9-3002
4FGL J1726.7-3930,64.688,0.191,-2.239,349.111,0.835,1.423,1.428,True,J1726.3-3918
4FGL J1728.0-3550,51.977,0.136,-0.575,352.138,4.377,1.455,1.276,True,J1727.8-3552
4FGL J1729.4-2831,166.166,0.099,3.190,358.583,5.341,1.031,1.210,True,J1729.8-2825
4FGL J1729.4-2646,102.296,0.084,4.203,359.867,1.906,1.946,1.465,True,J1729.2-2647
4FGL J1729.9-2952,49.345,0.094,2.368,357.392,0.779,3.727,1.935,False,J1730.0-2952
4FGL J1730.3-2913,61.714,0.114,2.706,357.994,1.015,1.850,1.184,False,J1730.2-2910
4FGL J1730.5-3543,82.109,0.113,-0.949,352.560,6.868,1.042,1.028,,J1730.5-3543
4FGL J1731.9-2800,90.441,0.110,3.033,359.178,1.792,2.232,1.757,True,J1731.9-2800
4FGL J1733.4+2235,83.679,0.060,26.732,45.889,0.105,2.110,2.000,False,J1733.2+2232
4FGL J1733.6-2431,67.457,0.099,4.676,2.313,1.171,1.596,1.425,True,J1733.3-2429
4FGL J1735.1-3708,52.214,0.093,-2.494,351.886,0.654,1.871,1.250,True,J1735.1-3708
4FGL J1738.1-2453,196.783,0.086,3.552,2.591,142.469,0.100,0.268,True,J1738.1-2451
4FGL J1738.2-2510,82.826,0.078,3.350,2.313,1.603,2.881,1.901,True,J1738.3-2512
4FGL J1738.6-3627,48.414,0.140,-2.740,352.837,0.704,1.692,1.402,True,J1738.7-3627
4FGL J1738.8-3241,101.135,0.090,-0.729,356.007,9.546,1.176,1.497,True,J1738.6-3242
4FGL J1739.1-1059,89.199,0.073,10.586,14.653,1.207,0.884,1.331,False,J1739.2-1059
4FGL J1740.5-2554,132.404,0.108,2.490,1.942,5.167,0.902,0.951,True,J1740.6-2558
4FGL J1741.1-3328,70.310,0.066,-1.625,355.646,1.506,2.520,1.336,True,J1741.4-3329
4FGL J1741.5-2344,42.126,0.159,3.644,3.844,0.977,1.127,2.001,True,J1740.7-2345
4FGL J1742.5-2833,194.562,0.071,0.733,359.972,25.802,1.678,1.859,True,J1742.7-2834
4FGL J1743.0-3201,101.473,0.086,-1.009,357.200,44.529,0.118,0.293,True,J1742.8-3151
4FGL J1743.4-3406,45.831,0.116,-2.264,355.401,1.034,1.233,1.120,True,J1743.4-3402
4FGL J1746.4-3541,162.942,0.109,-3.723,354.283,6.161,0.591,1.078,True,J1746.6-3545
4FGL J1747.8-1827,60.621,0.226,4.919,9.194,12.966,0.100,0.645,True,J1747.9-1831
4FGL J1748.3-2906,141.677,0.042,-0.596,0.177,15.039,2.511,1.330,True,J1748.3-2905
4FGL J1748.5-1648,78.419,0.186,5.671,10.755,13.813,0.147,0.699,True,J1748.5-1648
4FGL J1749.0-2119,53.486,0.248,3.290,6.981,1.504,0.674,0.862,True,J1749.1-2115
4FGL J1750.0-3347,47.593,0.140,-3.566,356.290,0.565,1.654,1.507,True,J1750.9-3357
4FGL J1751.6-3002,60.809,0.152,-1.693,359.724,22.302,0.100,0.293,True,J1751.6-3002
4FGL J1752.3-2914,195.497,0.066,-1.566,0.488,47.597,0.136,0.303,True,J1752.9-2919
4FGL J1754.3-4443,159.443,0.053,-9.495,347.208,1.022,1.031,1.002,False,J1754.3-4443
4FGL J1754.3-2915,50.716,0.089,-1.841,0.723,1.031,2.046,1.421,True,J1754.5-2915
4FGL J1754.6-2933,241.268,0.054,-1.985,0.470,9.900,1.211,1.191,True,J1754.5-2933
4FGL J1757.1-3554,114.769,0.067,-5.638,355.233,1.026,1.567,1.623,True,J1757.1-3554
4FGL J1758.0-2953,78.729,0.087,-2.824,0.573,1.243,1.887,1.558,True,J1758.1-2952
4FGL J1758.8-1654,60.685,0.107,3.502,11.900,0.780,1.555,1.176,True,J1758.8-1654
4FGL J1759.2-0243,76.600,0.144,10.267,24.491,4.798,0.332,1.316,False,J1759.4-0242
4FGL J1759.8-1250,70.515,0.075,5.320,15.645,0.856,2.117,1.946,True,J1759.9-1246
4FGL J1801.1-2626,127.877,0.044,-1.711,3.885,2.654,3.528,1.957,False,J1801.1-2627
4FGL J1802.1-2652,104.051,0.087,-2.122,3.662,4.225,0.909,1.134,True,J1802.2-2651
4FGL J1803.8-2908,135.690,0.106,-3.542,1.944,4.722,0.798,1.843,True,J1804.0-2902
4FGL J1804.9-3001,85.018,0.162,-4.189,1.305,1.296,0.862,0.901,True,J1805.2-2955
4FGL J1805.1-3618,387.271,0.034,-7.246,355.667,2.815,1.387,1.158,False,J1805.1-3618
4FGL J1808.2-1055,110.637,0.136,4.441,18.285,8.363,0.558,1.833,False,J1808.2-1053
4FGL J1808.4-3358,540.628,0.035,-6.734,358.034,7.978,0.914,1.178,True,J1808.4-3359
4FGL J1808.4-4521,56.044,0.075,-11.966,347.823,0.158,2.493,1.911,False,J1808.3-4520
4FGL J1808.6-0110,31.391,0.153,8.974,26.950,0.529,0.452,0.868,,J1808.6-0110
4FGL J1808.9-2607,74.707,0.107,-3.065,5.031,1.201,1.421,1.346,True,J1808.9-2607
4FGL J1809.0-2853,56.168,0.130,-4.487,2.627,0.437,2.033,1.375,True,J1809.3-2854
4FGL J1810.6-0945,113.127,0.097,4.480,19.573,13.052,0.182,0.470,False,J1810.6-0945
4FGL J1812.2-0856,61.140,0.181,4.475,20.538,2.892,0.607,1.169,False,J1812.5-0854
4FGL J1812.4-4417,35.364,0.132,-12.129,349.109,0.100,1.203,1.104,False,J1812.2-4417
4FGL J1813.2-1128,75.182,0.080,3.094,18.373,1.360,2.284,1.268,True,J1813.2-1127
4FGL J1814.6-2537,133.119,0.095,-3.978,6.039,2.396,1.394,1.952,True,J1814.6-2540
4FGL J1815.1+5917,134.331,0.092,27.579,88.251,0.356,0.658,2.000,False,J1815.5+5917
4FGL J1815.3-1336,56.055,0.129,1.569,16.813,2.109,1.313,1.061,True,J1815.7-1333
4FGL J1815.8-1416,94.032,0.081,1.191,16.227,3.921,1.701,1.275,True,J1815.9-1415
4FGL J1816.3-2903,114.970,0.105,-5.807,3.273,1.557,0.550,0.911,True,J1816.0-2857
4FGL J1818.6-3206,212.826,0.067,-7.698,0.758,2.721,0.597,0.798,True,J1818.4-3203
4FGL J1820.6-0326,31.594,0.070,5.234,26.332,0.339,2.715,1.943,False,J1820.7-0327
