4FGL-DR4,ts,r95,glat,glon,Fp,Ep,curvature,sgu,uw_name
4FGL J1719.3-3424,45.514,0.112,1.674,-7.634,1.251,2.498,1.905,True,J1719.4-3425
4FGL J1717.5-4022,43.701,0.087,-1.481,-12.719,0.801,3.280,2.000,False,J1717.6-4023
4FGL J1829.6-4310,43.544,0.091,-14.458,-8.428,0.086,1.602,1.354,False,J1829.5-4306
4FGL J1700.8-5218,43.059,0.079,-6.283,-24.045,0.198,2.141,1.944,True,J1701.2-5220
4FGL J1741.5-2344,42.126,0.159,3.644,3.844,0.977,1.127,2.001,True,J1740.7-2345
4FGL J1831.8-2514,41.985,0.156,-7.204,8.214,0.370,1.240,1.997,True,J1831.7-2514
4FGL J1616.0-4501,40.894,0.163,4.133,-23.570,0.706,1.190,1.542,True,J1616.0-4501
4FGL J1936.8-0553,36.748,0.078,-12.784,32.826,0.095,2.568,1.624,False,J1936.9-0552
4FGL J1445.9-5907,36.441,0.182,0.548,-42.837,1.838,1.225,1.863,True,J1445.9-5907
4FGL J1831.2-0013,35.851,0.144,4.437,30.413,0.723,1.778,2.000,False,J1831.0-0012
4FGL J1820.6-0326,31.594,0.070,5.234,26.332,0.339,2.715,1.943,False,J1820.7-0327
4FGL J1635.0-3039,26.855,0.153,11.333,-10.388,0.105,1.674,2.000,False,J1635.3-3036
4FGL J1848.2-1309,26.579,0.133,-5.253,20.807,0.181,1.869,1.548,False,J1848.1-1310
