name,log_nbb,pindex,curvature,log_e0,abs_sin_b,log_eflux,category,ts,r95,glat,uw_name,ra,dec
4FGL J0649.6-4017,0.000000,2.747683,-0.100039,2.925860,0.300081,-11.694224,fsrq,31.366354,0.075336,-17.462480,J0649.6-4017,102.419258,-40.290054
4FGL J0659.9-2900,0.602060,1.866277,0.121820,3.874194,0.192237,-12.035746,bll,29.362593,0.075381,-11.083333,J0659.9-2900,104.982762,-29.001483
4FGL J0701.3-0327,0.301030,2.410302,0.429895,3.259513,0.011074,-11.594866,X,37.936784,0.173281,0.634486,J0701.3-0327,105.345535,-3.452598
4FGL J0709.1-1034,0.000000,2.568499,0.173473,3.162842,0.016150,-11.218088,fsrq,75.970043,0.091334,-0.925382,J0709.1-1034,107.286105,-10.573963
4FGL J0813.1-5049,0.000000,1.488188,0.418009,3.050307,0.160291,-11.558607,psr-like,51.876056,0.129624,-9.223807,J0812.2-5055,123.051258,-50.917968
4FGL J0833.3-4342,0.301030,2.220276,0.294508,3.712561,0.037303,-11.490537,bll,45.291081,0.088196,-2.137804,J0833.6-4341,128.422134,-43.691472
4FGL J0849.0-2702,0.000000,2.866055,0.064386,2.786778,0.182364,-11.492482,fsrq,58.750495,0.165641,10.507473,J0848.9-2657,132.237088,-26.965237
4FGL J0843.7-6933,0.477121,1.983977,0.043551,3.799163,0.281040,-12.027277,bll,36.933387,0.044526,-16.322293,J0843.6-6932,130.904490,-69.549244
4FGL J0910.3-4816,0.477121,3.000000,0.545000,2.868224,0.001266,-10.774978,fsrq,177.323040,0.159424,-0.072508,J0910.3-4808,137.579278,-48.133530
4FGL J0942.3-3530,0.301030,1.790635,0.310858,2.968479,0.227233,-11.695380,psr-like,40.192323,0.156643,13.134249,J0942.4-3528,145.606732,-35.482307
4FGL J0942.1-5215,0.000000,2.436581,0.416022,3.411034,0.008013,-11.644151,X,37.762439,0.091350,0.459109,J0942.0-5217,145.516895,-52.299562
4FGL J0957.7-3510,0.000000,2.433153,-0.080294,3.174663,0.267149,-11.586262,bll,57.258679,0.048643,15.494683,J0958.0-3507,149.519611,-35.117939
4FGL J1021.8-6308,0.000000,2.291282,-0.089580,3.541496,0.087321,-11.482289,bll,40.540900,0.060202,-5.009500,J1021.8-6308,155.468399,-63.140663
4FGL J1025.9+1244,0.778151,2.553925,-0.013744,2.919706,0.799400,-11.725080,fsrq,44.179759,0.072327,53.072863,J1025.9+1244,156.476949,12.735267
4FGL J1102.1+1318,0.954243,2.183551,0.085536,3.418835,0.874549,-12.091636,bll,26.666921,0.081551,60.991631,J1102.1+1318,165.549674,13.315526
4FGL J1205.1-5951,0.301030,1.000000,0.692804,3.362368,0.043849,-11.761427,psr-like,30.364338,0.154524,2.513193,J1206.3-5951,181.577007,-59.863216
4FGL J1209.2-6009,0.000000,2.636428,0.220954,3.396967,0.039933,-11.549164,bll,30.777734,0.165270,2.288584,J1209.2-6009,182.312312,-60.153990
4FGL J1214.5-2318,0.477121,2.255991,0.061588,3.338916,0.625977,-11.733618,bll,52.462906,0.069863,38.753951,J1214.6-2320,183.654915,-23.340471
4FGL J1219.8-2008,0.301030,2.196623,-0.032051,3.359600,0.670868,-11.783113,bll,46.681447,0.060719,42.134088,J1219.9-2007,184.975167,-20.124357
4FGL J1224.6+7011,1.477121,2.858169,0.071666,2.700478,0.727813,-11.571399,fsrq,119.180724,0.157840,46.703356,J1225.5+7015,186.389306,70.264731
4FGL J1353.5-6128,0.000000,2.509720,0.458244,3.492476,0.009348,-11.261978,X,61.269272,0.070902,0.535588,J1353.4-6126,208.364382,-61.449090
4FGL J1358.7+2355,0.301030,1.713269,0.020076,3.950245,0.963600,-12.219375,bll,26.066688,0.060854,74.493543,J1358.7+2355,209.685704,23.918401
4FGL J1430.9-6024,0.000000,1.635118,0.635804,3.087535,0.001939,-10.962104,X,88.195991,0.262610,0.111111,J1431.7-6023,217.926424,-60.386568
4FGL J1432.1+5020,0.477121,1.919044,0.499513,3.674205,0.865218,-12.226864,bll,52.022336,0.058283,59.907604,J1432.0+5019,218.019308,50.330617
4FGL J1452.0-4148,0.698970,1.744425,0.062240,3.944607,0.270266,-11.842749,bll,48.600290,0.054519,15.680123,J1451.8-4146,222.969003,-41.783055
