name,ts,glat,glon,curv,epeak,fpeak,curv_unc
4FGL J1216.8-5955,125.195,2.680,298.765,0.416,0.577,1.266,0.160
4FGL J1225.9+2951,1471.297,83.778,185.363,0.796,1.985,3.069,0.122
4FGL J1244.3-6233,204.294,0.327,302.133,0.180,1.901,5.067,0.086
4FGL J1257.0-6339,347.685,-0.780,303.556,0.483,1.764,8.342,0.195
4FGL J1303.1-4714,80.037,15.585,304.949,1.107,2.550,0.160,0.467
4FGL J1308.7+0347,112.077,66.297,313.814,0.438,2.506,0.105,0.256
4FGL J1309.1-6223,445.704,0.445,304.968,0.961,0.866,36.894,0.256
4FGL J1312.3-6257,150.916,-0.242,305.291,0.174,0.616,4.569,0.116
4FGL J1315.9-6243,72.414,-0.002,305.646,0.485,1.567,2.040,0.221
4FGL J1317.5-0153,74.873,60.201,316.145,1.454,1.767,0.065,0.628
4FGL J1317.5-6316,607.965,-0.547,305.842,1.188,1.135,27.465,0.257
4FGL J1321.1-6239,108.029,0.141,306.528,0.528,0.526,9.221,0.240
4FGL J1325.3-5413,251.910,8.355,307.930,0.599,0.382,2.394,0.222
4FGL J1328.4-6231,29.528,0.218,307.141,0.797,0.460,2.083,0.293
4FGL J1329.9-6108,761.178,1.382,307.569,0.746,1.778,12.788,0.147
4FGL J1338.4-5923,48.195,2.964,308.890,0.571,1.120,0.716,0.328
4FGL J1344.2-6517,54.901,-2.984,308.423,0.405,1.580,0.218,0.334
4FGL J1349.1-5829,73.813,3.556,310.410,0.295,0.100,10.599,0.208
4FGL J1351.6-6142,352.378,0.340,310.031,0.605,0.603,34.019,0.222
4FGL J1357.3-6123,114.415,0.610,310.771,0.998,0.830,11.025,0.446
4FGL J1357.8-5724,50.781,4.313,311.816,1.409,1.365,0.290,0.559
4FGL J1400.0-2415,448.324,35.996,322.359,1.236,2.186,0.863,0.299
4FGL J1400.4-6050,73.410,0.963,311.213,0.790,1.277,3.131,0.343
4FGL J1401.2-6116,72.267,0.601,311.216,1.950,2.368,3.179,0.474
4FGL J1401.3-5012,71.755,11.186,314.233,0.453,0.801,0.226,0.280
4FGL J1403.5-6236,215.960,-0.881,311.113,1.813,2.452,8.742,0.402
4FGL J1404.8-5237,128.651,8.661,314.075,0.506,2.016,0.554,0.194
4FGL J1408.7-3747,183.019,22.584,319.400,0.981,0.667,0.525,0.309
4FGL J1412.1-6631,316.324,-4.890,310.855,0.862,1.505,1.884,0.220
4FGL J1415.4-6458,105.891,-3.552,311.662,0.836,3.054,0.416,0.362
4FGL J1416.7-5023,237.989,10.216,316.555,0.613,1.628,0.943,0.181
4FGL J1418.7-6110,106.542,-0.045,313.259,0.646,0.935,15.488,0.203
4FGL J1420.7-6701,52.657,-5.597,311.487,0.328,1.044,0.228,0.226
4FGL J1420.9-2431,127.493,34.022,327.653,0.450,2.709,0.139,0.214
4FGL J1422.3-6059,51.122,-0.035,313.685,0.221,2.156,2.534,0.139
4FGL J1424.8-6536,84.772,-4.523,312.280,0.266,0.492,1.184,0.216
4FGL J1424.8-8012,58.900,-18.060,306.973,1.999,2.334,0.091,
4FGL J1427.8-6051,437.177,-0.149,314.394,0.201,0.100,144.655,0.078
4FGL J1429.8-0739,88.288,47.884,340.886,1.939,1.626,0.113,0.564
4FGL J1431.5-6627,88.375,-5.531,312.701,0.535,0.166,1.206,0.275
4FGL J1433.8-6357,54.078,-3.303,313.858,1.947,1.916,0.404,
4FGL J1444.9-5939,297.733,0.236,316.833,0.701,0.100,704.914,0.156
4FGL J1450.8-1424,122.535,39.358,341.517,0.917,1.387,0.237,0.376
4FGL J1454.3-5551,86.493,2.934,319.560,0.819,0.164,20.605,0.383
4FGL J1458.8-2120,294.394,32.584,338.592,0.738,1.645,0.622,0.227
4FGL J1500.1-5846,45.550,-0.161,318.935,0.021,1.471,1.504,0.110
4FGL J1502.2-5933,52.853,-0.773,318.813,1.660,2.554,1.547,0.537
4FGL J1505.1-5145,79.708,5.886,323.050,1.659,1.101,0.663,0.552
4FGL J1505.3-5852,81.775,-0.358,319.485,1.013,0.100,252.078,0.468
4FGL J1506.5-5708,42.655,1.054,320.476,0.638,2.785,0.498,0.350
4FGL J1507.7-5403,42.131,3.623,322.139,0.595,0.494,0.853,0.357
4FGL J1508.4-4817,131.667,8.626,325.171,1.959,0.100,12.764,0.327
4FGL J1510.1-5750,131.076,0.150,320.550,0.528,2.460,4.097,0.242
4FGL J1511.2-5803,253.448,-0.079,320.552,0.211,0.100,9247.222,0.217
4FGL J1511.4-0430,78.028,43.758,354.904,1.972,0.124,3.410,
4FGL J1516.4-2640,43.428,25.895,338.859,2.000,2.067,0.097,
4FGL J1517.9-5233,716.872,4.140,324.262,1.198,1.855,7.001,0.221
4FGL J1526.6-3810,153.903,15.274,333.646,1.196,1.819,0.435,0.392
4FGL J1527.8+1013,138.172,49.532,15.960,1.796,1.380,0.276,0.652
4FGL J1527.9-4943,74.522,5.465,326.994,0.565,0.100,1.996,0.317
4FGL J1528.2-2448,63.513,25.771,342.483,1.395,2.162,0.115,0.899
4FGL J1529.4-6027,93.460,-3.386,321.187,1.204,0.150,5.485,0.469
4FGL J1530.0-1522,126.708,32.672,349.881,1.244,1.027,0.372,0.428
4FGL J1532.9-0313,37.682,40.649,1.422,1.283,1.929,0.084,0.823
4FGL J1534.0-5232,237.610,2.801,326.300,0.397,1.407,1.828,0.158
4FGL J1534.3-3312,82.728,18.363,338.027,1.174,3.492,0.161,0.472
4FGL J1534.7-5842,119.424,-2.285,322.763,1.989,2.799,1.157,
4FGL J1537.3-6110,54.996,-4.477,321.625,1.401,1.543,0.365,0.632
4FGL J1538.0-4638,236.055,7.156,330.333,0.939,0.531,3.743,0.265
4FGL J1539.4-3323,1540.156,17.536,338.786,1.229,2.650,15.629,0.150
4FGL J1541.2-5201,79.029,2.586,327.508,2.000,1.586,0.975,
4FGL J1543.4-5925,64.693,-3.434,323.291,1.301,1.747,0.465,0.694
4FGL J1543.6-0244,274.571,38.862,4.067,0.894,0.858,1.097,0.223
4FGL J1544.2-2554,383.384,22.602,344.768,0.699,1.204,1.812,0.153
4FGL J1545.2-4553,136.804,7.050,331.763,0.803,0.513,1.706,0.393
4FGL J1547.4-4802,264.592,5.132,330.713,0.648,0.352,6.834,0.220
4FGL J1548.1-4416,164.147,7.975,333.197,0.925,0.727,1.512,0.350
4FGL J1548.3-2411,67.861,23.251,346.707,0.377,1.122,0.207,0.320
4FGL J1551.3-4920,71.032,3.655,330.463,0.386,0.738,1.132,0.316
4FGL J1551.7-4257,61.273,8.590,334.527,0.225,0.589,0.392,0.185
4FGL J1559.7-4518,33.493,5.867,334.107,0.515,1.619,0.152,0.309
4FGL J1602.2+2305,314.119,46.876,38.551,1.190,2.480,0.494,0.333
4FGL J1603.0-4808,110.034,3.365,332.685,0.533,0.100,75.623,0.255
4FGL J1603.3-6010,422.650,-5.707,324.720,0.636,2.565,1.385,0.164
4FGL J1604.4-4927,112.531,2.175,331.957,0.628,1.476,3.845,0.270
4FGL J1604.7-4518,43.113,5.275,334.867,1.114,0.100,4.924,0.594
4FGL J1609.6-4837,57.271,2.256,333.174,0.442,0.200,10.645,0.240
4FGL J1611.6-6013,91.846,-6.371,325.457,1.926,1.735,0.278,0.493
4FGL J1612.1+1407,420.442,41.627,27.861,1.291,1.779,0.719,0.302
4FGL J1613.0-5102,377.727,0.123,331.932,0.678,0.950,80.072,0.176
4FGL J1615.3-1512,49.672,24.887,358.701,0.797,2.472,0.087,0.428
4FGL J1615.5-5434,45.400,-2.679,329.691,0.290,2.224,0.245,0.231
4FGL J1616.6-5341,690.644,-2.165,330.485,1.835,1.577,18.632,0.311
4FGL J1616.6-5009,83.972,0.388,332.965,1.200,0.794,18.368,0.403
4FGL J1617.4-5812,65.925,-5.507,327.410,0.316,0.609,0.296,0.208
4FGL J1617.8-4418,48.590,4.432,337.003,1.789,0.620,1.736,0.610
4FGL J1618.0-5119,183.310,-0.616,332.277,0.278,0.100,830.730,0.156
4FGL J1618.3-4537,67.177,3.422,336.419,1.167,0.764,2.141,0.470
4FGL J1619.3-5047,131.981,-0.158,332.870,0.655,1.218,31.424,0.225
4FGL J1620.5-5729,55.149,-5.249,328.210,0.510,1.933,0.188,0.285
4FGL J1621.0-2625,94.243,16.460,350.520,1.095,0.530,1.186,0.316
4FGL J1621.4-4511,54.248,3.328,336.982,0.410,1.943,0.674,0.292
4FGL J1622.2-7202,249.140,-15.530,317.658,0.634,1.627,0.303,0.186
4FGL J1622.5-4726,34.391,1.603,335.528,0.308,2.273,0.496,0.207
4FGL J1622.8-4454,54.600,3.358,337.359,1.974,1.173,0.482,
4FGL J1623.0-4624,71.555,2.223,336.274,0.045,0.452,2.278,0.122
4FGL J1624.1-4417,113.118,3.642,337.980,0.413,1.006,1.422,0.204
4FGL J1624.9-4538,102.606,2.575,337.241,0.981,0.736,3.137,0.432
4FGL J1626.6-4251,77.433,4.313,339.399,0.544,1.055,1.150,0.244
4FGL J1627.7-5749,95.064,-6.210,328.645,0.870,0.823,0.443,0.303
4FGL J1628.0-4920,32.764,-0.377,334.859,1.525,2.215,2.002,0.647
4FGL J1630.1-1049,232.920,24.826,4.942,1.942,1.459,1.215,0.289
4FGL J1633.4-5845,114.211,-7.389,328.464,1.941,0.100,57.479,
4FGL J1634.1-4011,26.637,5.036,342.019,0.319,1.357,0.264,0.240
4FGL J1635.0-3039,26.855,11.333,349.612,0.784,1.674,0.105,0.461
4FGL J1635.3-4159,29.955,3.746,340.936,1.078,0.878,0.498,0.522
4FGL J1635.4-3249,86.077,9.851,347.917,0.611,1.290,0.349,0.259
4FGL J1635.4-3453,44.511,8.456,346.360,0.703,0.906,0.283,0.327
4FGL J1639.0-2727,55.450,12.818,352.611,0.309,2.258,0.192,0.170
4FGL J1639.3-5146,2324.288,-3.331,334.250,0.528,1.858,38.307,0.089
4FGL J1640.3-4917,141.917,-1.811,336.224,0.436,1.001,4.071,0.191
4FGL J1641.3-2908,188.643,11.313,351.604,0.611,0.332,3.707,0.212
4FGL J1643.3-3148,108.979,9.228,349.820,0.571,2.149,0.332,0.232
4FGL J1644.1-5009,85.267,-2.805,335.958,0.885,0.372,3.485,0.516
4FGL J1644.9-4921,87.787,-2.412,336.628,0.982,0.100,53.523,0.362
4FGL J1646.5-4406,57.787,0.821,340.820,0.406,0.766,2.329,0.267
4FGL J1646.7-2154,82.913,14.916,358.148,1.214,0.928,0.815,0.476
4FGL J1647.1-5418,62.331,-5.739,333.000,1.908,0.100,3.253,0.672
4FGL J1647.5-5319,75.728,-5.247,333.853,0.728,0.100,9.484,0.403
4FGL J1648.4-4824,51.527,-2.234,337.700,0.048,0.100,14.293,0.159
4FGL J1649.3-4441,167.884,0.027,340.674,0.731,2.265,16.288,0.297
4FGL J1651.1-5848,62.176,-9.196,329.953,1.148,0.684,0.306,0.308
4FGL J1651.7-4359,308.563,0.165,341.511,1.057,1.264,50.995,0.420
4FGL J1652.2-4516,171.164,-0.702,340.613,0.730,0.586,37.612,0.298
4FGL J1653.2-4349,583.563,0.039,341.827,0.601,0.507,208.846,0.122
4FGL J1655.7-2411,41.809,11.835,357.531,0.557,0.376,0.391,0.306
4FGL J1655.9-3940,122.660,2.281,345.341,0.913,1.692,2.039,0.413
4FGL J1655.9-3101,48.386,7.658,352.125,0.562,1.226,0.162,0.269
4FGL J1656.4-0410,146.167,23.174,14.960,1.189,1.600,0.554,0.446
4FGL J1656.5-2733,220.634,9.684,354.979,1.979,1.284,1.520,
4FGL J1657.7-4520,61.142,-1.484,341.089,0.319,1.164,1.447,0.076
4FGL J1658.5-5034,78.973,-4.878,337.100,-0.020,0.100,32.274,0.117
4FGL J1659.0-0140,337.365,23.926,17.673,0.832,1.841,1.230,0.302
4FGL J1659.2-1443,64.341,16.767,5.996,0.567,2.930,0.314,0.261
4FGL J1700.0-0122,58.305,23.837,18.165,1.343,0.975,0.340,0.578
4FGL J1700.3-4557,73.175,-2.230,340.996,0.777,0.760,2.525,0.476
4FGL J1700.4-2746,90.784,8.890,355.286,0.218,0.100,10.471,0.262
4FGL J1700.8-5218,43.059,-6.283,335.955,0.498,2.141,0.198,0.251
4FGL J1701.3-4924,123.702,-4.525,338.294,0.390,0.917,1.388,0.208
4FGL J1701.8-2226,62.453,11.776,359.890,0.659,0.473,0.481,0.333
4FGL J1701.9-4625,39.854,-2.954,340.666,0.768,1.179,1.001,0.334
4FGL J1702.0-3721,59.617,2.779,347.904,0.594,1.218,0.631,0.366
4FGL J1702.3-2525,151.487,9.975,357.506,0.590,0.726,0.595,0.303
4FGL J1703.6-2850,400.514,7.678,354.928,0.610,0.874,3.735,0.194
4FGL J1704.8-4030,403.958,0.413,345.741,0.558,1.193,37.986,0.184
4FGL J1704.9-4303,47.758,-1.122,343.713,1.944,2.635,1.525,0.547
4FGL J1705.1-4748,99.307,-4.055,340.007,0.875,0.100,17.870,0.477
4FGL J1705.2-3850,124.187,1.391,347.122,1.272,1.814,3.953,0.587
4FGL J1705.4-4850,91.162,-4.666,339.207,0.956,0.790,1.446,0.414
4FGL J1706.2-4950,101.545,-5.403,338.420,1.174,0.857,1.220,0.456
4FGL J1708.8-0923,51.627,17.829,11.981,0.662,0.910,0.303,0.294
4FGL J1709.4-0328,192.751,20.724,17.432,0.394,0.765,0.995,0.143
4FGL J1709.9-0900,86.178,17.764,12.530,1.180,0.990,0.744,0.414
4FGL J1710.3-3039,81.666,5.463,354.324,1.065,1.977,0.638,0.524
4FGL J1711.0-3002,238.863,5.634,354.919,1.257,1.351,3.688,0.335
4FGL J1711.4-2526,95.365,8.280,358.765,0.545,0.817,1.099,0.254
4FGL J1711.9-1922,236.543,11.656,3.860,0.923,1.588,0.854,0.282
4FGL J1714.8-3849,419.743,-0.134,348.261,0.422,0.472,84.028,0.140
4FGL J1714.9-3324,156.991,3.019,352.684,0.765,2.440,2.449,0.244
4FGL J1717.0-3218,46.067,3.133,353.804,0.106,1.396,0.400,0.158
4FGL J1717.5-5804,261.601,-11.510,332.601,1.591,2.485,1.095,0.470
4FGL J1717.5-4022,43.701,-1.481,347.281,1.981,3.280,0.801,
4FGL J1717.6-4404,110.119,-3.628,344.243,1.016,1.159,2.169,0.656
4FGL J1717.8-3906,66.669,-0.766,348.352,0.869,1.077,2.935,0.562
4FGL J1719.0-4221,94.032,-2.790,345.807,0.697,1.306,1.608,0.338
4FGL J1719.3-3424,45.514,1.674,352.366,1.994,2.498,1.251,
4FGL J1719.4-2916,94.235,4.564,356.557,0.828,0.921,1.589,0.396
4FGL J1719.4-4242,75.026,-3.120,345.574,1.707,0.742,0.958,0.964
4FGL J1720.1-4358,81.549,-3.906,344.553,0.268,0.640,1.014,0.190
4FGL J1720.6-2442,72.106,6.979,0.539,0.437,2.053,0.360,0.412
4FGL J1720.6+0708,399.234,23.418,28.975,0.807,0.915,1.617,0.196
4FGL J1721.3-5257,138.138,-9.137,337.258,1.195,1.046,0.911,0.335
4FGL J1721.7-3917,120.020,-1.499,348.633,0.460,1.181,3.558,0.181
4FGL J1722.1-4007,63.509,-2.112,348.066,0.432,2.062,1.051,0.277
4FGL J1722.1-3205,117.404,2.567,354.590,0.366,1.854,1.670,0.208
4FGL J1722.6-3135,95.543,2.697,355.128,1.980,1.975,2.435,
4FGL J1723.1-2859,80.143,4.092,357.192,0.854,0.310,3.108,0.363
4FGL J1724.5-3008,63.768,3.365,356.518,1.586,1.343,1.520,0.616
4FGL J1724.7-3737,54.864,-1.043,350.308,0.735,0.974,2.440,0.410
4FGL J1725.1-1924,150.759,9.036,5.571,0.502,0.282,1.708,0.213
4FGL J1726.2-2903,80.120,3.520,357.511,1.002,0.867,1.242,0.461
4FGL J1726.2-3207,48.428,1.800,355.087,1.931,2.501,0.987,0.532
4FGL J1726.7-3930,64.688,-2.239,349.111,0.864,1.423,0.835,0.501
4FGL J1726.8-2659,77.954,4.552,359.401,0.172,1.276,0.736,0.168
4FGL J1727.4+0326,156.454,20.236,26.238,0.623,0.984,0.455,0.238
4FGL J1727.6-2304,160.402,6.556,2.811,0.480,1.970,1.161,0.215
4FGL J1727.6-0849,40.078,14.160,15.050,0.910,0.551,0.313,0.410
4FGL J1727.7-4041,143.667,-3.091,348.157,1.954,0.733,3.128,
4FGL J1728.0-3550,51.977,-0.575,352.138,0.573,1.455,4.377,0.320
4FGL J1729.1-3503,25.340,-0.347,352.973,1.672,1.883,2.622,0.470
4FGL J1729.2-2509,47.488,5.082,1.339,1.747,1.043,1.069,0.654
4FGL J1729.4-2831,166.166,3.190,358.583,1.227,1.031,5.341,0.456
4FGL J1729.4-2646,102.296,4.203,359.867,1.727,1.946,1.906,0.532
4FGL J1729.9-2952,49.345,2.368,357.392,0.875,3.727,0.779,0.566
4FGL J1730.1-4343,88.381,-5.343,345.794,1.704,1.187,0.647,0.530
4FGL J1730.3-2913,61.714,2.706,357.994,1.999,1.850,1.015,
4FGL J1730.4-0359,565.976,15.985,19.746,1.006,1.387,4.496,0.201
4FGL J1730.8-3806,108.372,-2.427,350.610,1.941,1.806,1.717,
4FGL J1732.0-2659,77.803,3.516,0.101,0.390,1.830,0.861,0.235
4FGL J1733.0-2837,88.195,2.483,358.830,0.219,0.100,19.533,0.336
4FGL J1733.2-2915,63.037,2.159,358.300,0.815,2.329,1.175,0.406
4FGL J1733.4+2235,83.679,26.732,45.889,2.000,2.110,0.105,
4FGL J1733.6-2431,67.457,4.676,2.313,0.850,1.596,1.171,0.306
4FGL J1733.9-2220,41.306,5.661,4.251,1.386,0.407,0.741,0.513
4FGL J1734.0-2933,65.534,1.824,358.152,0.504,1.972,1.026,0.393
4FGL J1734.5-2818,133.034,2.339,359.241,1.085,0.467,6.313,0.496
4FGL J1735.2-2153,74.219,5.713,4.764,0.467,0.373,1.797,0.291
4FGL J1735.4-2944,66.403,1.401,358.114,1.654,2.157,1.353,0.970
4FGL J1736.3-2929,176.729,1.433,358.492,0.492,0.278,35.603,0.252
4FGL J1736.6-1954,52.673,6.468,6.588,0.659,0.725,0.485,0.335
4FGL J1737.1-2901,90.253,1.524,359.013,0.716,0.466,6.030,0.403
4FGL J1737.2-2808,67.659,2.045,359.692,0.260,1.662,1.062,0.203
4FGL J1737.3-3332,147.345,-0.909,355.157,0.684,0.629,16.254,0.258
4FGL J1737.5-4306,55.200,-6.097,347.008,0.707,0.100,34.436,0.461
4FGL J1737.6-2350,77.188,4.242,3.317,0.398,0.877,1.228,0.189
