4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,p_pulsar,diffuse
4FGL J0900.1-4402,unid-pulsar,1.359,265.449,8.021,0.092,0.697,6.489,0.969,0.997,1.088
4FGL J0900.5-4434,unid-pulsar,1.058,265.900,7.647,0.099,0.425,9.069,0.642,0.992,1.119
4FGL J0901.1-4456,unid-pulsar,0.892,266.242,11.007,0.079,0.944,3.769,0.558,0.997,1.085
4FGL J0901.3-4848,unid-pulsar,-1.624,269.172,4.629,0.170,0.496,1.592,0.620,0.980,1.137
4FGL J0902.5-4801,bcu-pulsar,-0.953,268.713,7.339,0.224,0.344,10.481,0.748,0.992,1.101
4FGL J0902.8-4633,unid-pulsar,0.049,267.646,4.043,0.117,0.593,0.717,0.612,0.985,0.988
4FGL J0904.7-4908,unk-pulsar,-1.436,269.784,4.848,0.294,0.311,8.527,0.774,0.985,1.183
4FGL J0906.8-2122,unid-pulsar,17.183,248.879,17.810,0.099,0.416,4.542,1.302,0.927,-0.019
4FGL J0908.7-4911,psr,-0.987,270.261,19.427,0.123,0.568,53.810,0.955,0.992,1.268
4FGL J0910.3-4816,unid-pulsar,-0.160,269.766,4.913,0.130,0.356,9.932,1.173,0.961,1.191
4FGL J0912.1-6449,glc,-11.215,282.174,14.070,0.055,0.659,0.482,0.451,0.916,0.168
4FGL J0916.2-5823,unid-pulsar,-6.481,277.743,4.620,0.141,1.123,0.077,0.766,0.723,0.391
4FGL J0917.9-4755,unid-pulsar,0.987,270.392,9.849,0.186,0.361,15.278,0.840,0.984,1.086
4FGL J0918.9-4904,unid-pulsar,0.311,271.325,4.718,0.146,0.291,4.543,0.759,0.965,1.105
4FGL J0919.5-6203,unid-pulsar,-8.727,280.696,10.801,0.072,1.600,0.172,0.725,0.963,0.144
4FGL J0921.7-6317,other-pulsar,-9.401,281.769,10.261,0.140,1.107,0.228,0.657,0.957,0.206
4FGL J0922.3+0644,psr,36.466,225.336,5.731,0.151,0.100,0.342,0.343,0.025,-0.405
4FGL J0926.1-5336,unid-pulsar,-2.127,275.327,9.853,0.095,2.009,0.880,1.003,0.998,0.962
4FGL J0931.2-1906,msp,23.005,251.049,11.246,0.070,1.857,0.164,1.265,0.978,-0.371
4FGL J0933.8-6232,unid-pulsar,-7.907,282.244,52.451,0.021,2.144,18.531,1.139,0.987,0.300
4FGL J0935.3+0901,other-pulsar,40.384,224.718,18.527,0.073,0.504,1.029,0.595,0.550,-0.404
4FGL J0940.3-7610,other-pulsar,-17.449,292.248,26.105,0.044,1.160,2.243,0.760,1.000,0.157
4FGL J0940.5-5253,unid-pulsar,-0.136,276.424,4.393,0.154,1.193,0.253,0.819,0.959,0.853
4FGL J0941.1-5429,psr,-1.284,277.534,26.996,0.036,1.374,18.381,1.013,0.994,1.045
4FGL J0951.8-5944,unid-pulsar,-4.378,282.033,7.193,0.084,1.046,0.528,1.333,0.981,0.614
4FGL J0952.1-0607,msp,35.386,243.667,14.302,0.060,1.560,0.355,1.083,0.997,-0.317
4FGL J0952.5-3902,unid-pulsar,11.756,268.996,4.106,0.158,0.635,0.105,0.841,0.404,0.083
4FGL J0953.6-1509,unid-pulsar,29.603,251.903,34.853,0.035,1.744,4.015,1.179,0.993,-0.269
4FGL J0955.3-3949,msp,11.514,269.933,31.114,0.038,0.589,6.758,0.532,0.989,0.079
4FGL J0955.4-6151,msp,-5.742,283.707,23.694,0.045,0.747,3.141,0.577,0.996,0.372
4FGL J1000.5-5709,unid-pulsar,-1.636,281.340,5.911,0.151,0.907,2.613,0.955,0.995,1.353
4FGL J1003.2-5737,unid-pulsar,-1.782,281.905,6.856,0.129,0.746,3.244,0.649,0.993,1.364
4FGL J1005.5-5708,unid-pulsar,-1.215,281.861,4.724,0.278,0.643,5.073,0.942,0.997,1.362
4FGL J1006.5-5626,unid-pulsar,-0.565,281.572,5.407,0.130,0.519,6.910,1.101,0.985,1.315
4FGL J1008.1-5706,unk-pulsar,-0.976,282.135,7.690,0.285,0.606,5.288,0.510,0.992,1.387
4FGL J1008.7-4659,msp,7.305,276.307,4.997,0.113,0.741,0.072,0.685,0.290,0.060
4FGL J1011.4-5729,unid-pulsar,-1.040,282.720,8.215,0.161,0.509,9.997,0.729,0.995,1.389
4FGL J1012.1-4235,msp,11.230,274.210,20.978,0.039,1.333,0.913,0.544,0.997,0.029
4FGL J1015.1-6353,unid-pulsar,-6.046,286.727,9.100,0.080,1.358,0.195,0.571,0.945,0.382
4FGL J1015.5-6030,psr,-3.218,284.866,16.891,0.080,0.100,57.398,0.306,0.963,0.735
4FGL J1016.3-5857,psr,-1.882,284.085,45.514,0.019,1.214,283.228,0.701,0.990,1.142
4FGL J1018.2+0145,unid-pulsar,45.402,240.995,6.892,0.122,1.190,0.074,0.871,0.820,-0.359
4FGL J1018.9-5856,other-pulsar,-1.685,284.355,92.214,0.012,0.429,7587.287,0.477,0.923,1.180
4FGL J1019.8-5749,psr,-0.687,283.842,19.712,0.047,1.160,30.245,0.606,0.993,1.364
4FGL J1020.4-5508,unid-pulsar,1.600,282.446,5.925,0.069,4.892,0.175,1.440,0.646,0.935
4FGL J1020.4-5314,unid-pulsar,3.198,281.410,11.928,0.114,0.874,1.114,0.822,1.000,0.579
4FGL J1021.4+8021,bcu-pulsar,34.602,130.051,21.021,0.048,0.592,0.284,0.333,0.764,-0.613
4FGL J1023.0-5745,psr,-0.398,284.168,33.029,0.014,0.832,1899.579,0.694,0.991,1.339
4FGL J1024.5-0719,msp,40.492,251.666,20.525,0.050,1.344,0.706,0.723,0.997,-0.415
4FGL J1026.2-5731,unid-pulsar,0.022,284.405,16.772,0.052,1.217,27.464,1.146,0.978,1.295
4FGL J1028.5-5819,psr,-0.492,285.071,146.358,0.010,0.972,6886.285,0.559,0.966,1.217
4FGL J1028.7-6431,bcu-pulsar,-5.784,288.331,6.189,0.229,0.281,1.093,0.667,0.695,0.618
4FGL J1035.4-6720,msp,-7.844,290.372,56.503,0.020,1.406,31.112,0.967,0.980,0.362
4FGL J1036.5-8318,msp,-21.510,298.948,21.241,0.046,1.707,0.938,0.939,0.979,0.027
4FGL J1036.6-4349,msp,12.615,278.708,13.908,0.052,0.940,0.290,0.332,0.798,0.014
4FGL J1037.8-5810,unid-pulsar,0.244,286.061,11.699,0.092,0.468,12.576,0.516,0.991,1.223
4FGL J1038.8-5848,unid-pulsar,-0.243,286.480,10.446,0.103,0.468,11.017,0.534,0.983,1.228
4FGL J1044.4-5737,psr,1.156,286.570,93.985,0.014,0.728,1260.154,0.611,0.976,0.998
4FGL J1045.1-5940,other-pulsar,-0.625,287.601,109.939,0.013,0.607,1985.684,0.233,0.440,0.860
4FGL J1046.7-6010,unid-pulsar,-0.967,288.006,17.479,0.095,0.603,42.070,0.691,0.995,1.199
4FGL J1047.5-6532,unid-pulsar,-5.686,290.569,4.775,0.191,0.404,0.674,0.815,0.855,0.412
4FGL J1048.2-5832,psr,0.574,287.430,139.024,0.011,1.019,3707.665,0.617,0.987,1.022
4FGL J1048.5-5923,unid-pulsar,-0.167,287.855,19.373,0.058,0.754,51.345,0.969,0.980,1.090
4FGL J1048.6+2340,msp,62.134,213.137,21.560,0.054,0.750,0.675,0.396,0.960,-0.523
4FGL J1054.0-5938,unid-pulsar,-0.078,288.588,5.155,0.186,1.197,0.821,0.696,1.000,1.229
4FGL J1055.7-6028,psr,-0.736,289.141,20.313,0.038,1.156,24.200,0.715,0.995,1.397
4FGL J1056.2-6323,unid-pulsar,-3.345,290.446,5.600,0.174,0.161,6.824,0.694,0.812,0.756
4FGL J1056.9-5852,psr,0.768,288.597,21.086,0.050,1.044,24.459,1.621,0.965,1.070
4FGL J1057.9-5227,psr,6.646,285.987,297.348,0.008,1.063,21381.625,1.148,0.964,0.482
4FGL J1058.9-6101,unid-pulsar,-1.071,289.732,9.161,0.139,0.557,4.812,0.360,0.883,1.310
4FGL J1059.5-6021,spp-pulsar,-0.439,289.523,7.414,0.122,0.955,2.419,0.632,1.000,1.262
4FGL J1102.0-6054,bcu-pulsar,-0.809,290.024,21.024,0.046,0.440,114.465,0.532,0.992,1.218
4FGL J1102.4+0246,msp,54.338,251.299,9.099,0.148,1.253,0.159,1.037,0.903,-0.464
4FGL J1104.9-6037,psr,-0.411,290.235,29.135,0.029,1.118,71.050,0.826,0.992,1.216
4FGL J1105.1-2600,unid-pulsar,31.031,274.950,9.271,0.078,1.816,0.080,0.679,0.564,-0.321
4FGL J1105.4-6108,psr,-0.862,290.500,17.207,0.047,0.693,28.435,0.615,0.996,1.135
4FGL J1106.7-1742,unid-pulsar,38.477,270.488,17.937,0.054,1.500,0.500,0.754,0.998,-0.415
4FGL J1111.8-6039,psr,-0.110,291.027,54.174,0.016,2.396,238.752,0.646,0.962,1.166
4FGL J1112.1-6108,psr,-0.538,291.235,13.451,0.059,0.596,34.028,0.427,0.982,1.071
4FGL J1112.2-6055,unid-pulsar,-0.332,291.170,12.465,0.048,0.919,30.676,0.560,0.989,1.184
4FGL J1115.1-6118,unid-pulsar,-0.568,291.633,16.888,0.037,0.100,22.204,0.096,0.797,1.142
4FGL J1118.6-6159,unid-pulsar,-1.059,292.274,4.349,0.075,0.728,0.892,0.545,0.998,1.214
4FGL J1119.1-6127,psr,-0.534,292.133,7.408,0.023,1.098,37.314,0.766,0.991,1.162
4FGL J1120.0-2204,other-pulsar,36.056,276.492,64.333,0.023,1.042,27.375,0.878,0.993,-0.272
4FGL J1120.6+0713,bcu-pulsar,60.673,251.504,27.622,0.039,2.068,1.862,0.990,0.995,-0.332
4FGL J1123.2-5111,unid-pulsar,9.302,289.148,7.240,0.129,1.093,0.092,0.442,0.293,0.216
4FGL J1124.0-3653,msp,22.757,284.106,44.916,0.024,1.690,7.942,0.688,0.995,-0.044
4FGL J1124.7-5915,psr,1.764,292.042,72.290,0.022,0.496,305.183,0.502,0.988,0.709
4FGL J1125.6-5825,msp,2.594,291.881,20.151,0.042,2.525,2.509,0.942,0.964,0.593
4FGL J1126.0-5007,unid-pulsar,10.463,289.203,9.362,0.067,2.586,0.132,1.083,0.953,0.037
4FGL J1126.4-6011,msp,0.962,292.551,8.572,0.123,1.322,0.752,0.749,1.000,0.878
4FGL J1127.9-6158,unid-pulsar,-0.680,293.299,10.750,0.101,0.915,5.680,0.753,0.998,1.304
4FGL J1129.8-4217,bll-pulsar,18.078,287.200,11.471,0.066,1.138,0.226,0.901,0.815,-0.095
4FGL J1133.7-6223,unid-pulsar,-0.865,294.068,6.640,0.089,0.735,5.467,0.885,0.998,1.438
4FGL J1135.2-6055,psr,0.584,293.804,56.481,0.021,0.891,137.594,0.652,0.994,0.882
4FGL J1136.8-7413,bcu-pulsar,-12.103,297.836,22.367,0.047,0.378,2.971,0.309,0.545,0.357
4FGL J1137.6+7527,msp,40.796,128.952,6.462,0.101,2.494,0.014,0.948,0.289,-0.326
4FGL J1139.2-6247,psr,-1.066,294.790,23.435,0.032,1.798,13.129,0.503,0.977,1.374
4FGL J1142.8+0120,msp,59.415,267.539,31.743,0.034,2.211,2.020,0.667,0.984,-0.603
4FGL J1143.7-1014,bcu-pulsar,49.189,276.953,4.804,0.117,1.696,0.022,0.994,0.751,-0.476
4FGL J1147.4-6758,fsrq-pulsar,-5.852,296.974,8.276,0.136,0.565,0.702,0.658,0.986,0.269
4FGL J1147.7-6618,msp,-4.229,296.590,7.053,0.155,0.360,0.881,0.473,0.402,0.669
4FGL J1150.6-4823,bcu-pulsar,13.262,292.630,16.153,0.242,0.383,2.753,1.163,0.921,-0.051
4FGL J1151.4-6248,spp-pulsar,-0.734,296.142,6.449,0.312,0.475,1.816,0.331,0.940,1.242
4FGL J1152.0-6107,psr,0.921,295.829,18.605,0.051,1.158,6.759,0.865,0.997,0.941
4FGL J1152.6-6207,spp-pulsar,-0.027,296.124,5.306,0.232,0.444,2.257,0.673,0.987,0.940
4FGL J1154.5-5952,unid-pulsar,2.219,295.842,8.597,0.132,0.545,1.905,0.955,0.992,0.654
4FGL J1155.2-6259,spp-pulsar,-0.810,296.597,6.481,0.067,0.335,4.659,0.326,0.788,1.138
4FGL J1155.6-6547,bcu-pulsar,-3.540,297.248,7.241,0.206,0.297,2.363,0.612,0.875,0.723
4FGL J1155.6-6245,spp-pulsar,-0.580,296.603,5.192,0.226,0.503,7.252,0.776,0.996,1.117
4FGL J1157.2-6059,unid-pulsar,1.197,296.404,5.055,0.140,0.314,0.898,0.382,0.744,0.730
4FGL J1157.7-6327,unid-pulsar,-1.207,296.978,9.735,0.112,0.476,14.302,0.903,0.995,1.121
4FGL J1158.3-6232,spp-pulsar,-0.294,296.850,9.274,0.065,0.648,2.980,0.409,0.952,1.029
4FGL J1159.3-6122,unk-pulsar,0.861,296.737,5.525,0.194,0.651,0.578,0.431,0.981,0.808
4FGL J1203.4-6145,unid-pulsar,0.591,297.291,8.745,0.188,0.578,4.584,0.744,0.997,0.884
4FGL J1203.5-1748,unid-pulsar,43.592,287.099,11.063,0.078,1.117,0.152,0.503,0.695,-0.254
4FGL J1203.5-5745,unid-pulsar,4.526,296.557,5.618,0.184,0.410,0.460,0.521,0.845,0.436
4FGL J1203.7-6303,unid-pulsar,-0.684,297.560,6.640,0.075,0.795,4.212,0.743,0.998,1.313
4FGL J1203.8-5920,unid-pulsar,2.979,296.889,4.685,0.106,0.954,0.216,0.716,0.907,0.616
4FGL J1203.9-6242,psr,-0.338,297.518,32.414,0.027,1.112,90.412,0.722,0.981,1.258
4FGL J1204.3-6111,unid-pulsar,1.167,297.284,5.414,0.267,0.432,3.321,0.955,0.986,0.865
4FGL J1204.5-5032,unid-pulsar,11.637,295.365,16.636,0.073,1.080,1.235,0.993,0.998,0.065
4FGL J1205.3-6212,unid-pulsar,0.180,297.586,6.633,0.064,0.562,2.316,0.437,0.983,1.245
4FGL J1206.8-6038,unid-pulsar,1.763,297.488,5.712,0.183,0.791,0.532,0.599,0.987,0.783
4FGL J1206.8-5836,unid-pulsar,3.753,297.140,5.550,0.280,0.378,1.193,0.935,0.934,0.517
4FGL J1207.4-5050,msp,11.417,295.867,20.019,0.045,1.647,1.712,1.309,0.987,0.086
4FGL J1207.4-4536,unid-pulsar,16.576,294.937,15.127,0.063,0.860,0.488,0.542,0.997,-0.056
4FGL J1207.9-6443,unid-pulsar,-2.249,298.308,9.500,0.078,1.281,1.482,0.901,0.998,0.856
4FGL J1208.0-6900,unid-pulsar,-6.460,299.044,16.998,0.054,0.705,1.325,0.534,0.997,0.350
4FGL J1208.2-6237,psr,-0.177,297.988,32.131,0.027,1.034,75.607,0.515,0.989,1.172
4FGL J1208.5-5512,unid-pulsar,7.154,296.794,7.282,0.098,0.697,0.184,0.502,0.635,0.290
4FGL J1209.2-6009,unid-pulsar,2.289,297.701,5.403,0.193,0.610,0.689,0.629,0.991,0.700
4FGL J1209.4-6421,unid-pulsar,-1.849,298.412,5.106,0.155,0.358,1.685,0.458,0.921,0.950
4FGL J1210.4-6250,unid-pulsar,-0.335,298.268,7.960,0.076,0.669,21.114,0.911,0.996,1.226
4FGL J1213.6-5954,unid-pulsar,2.619,298.201,5.886,0.092,1.315,0.372,0.955,0.997,0.750
4FGL J1213.6+1306,fsrq-pulsar,73.432,268.826,19.206,0.067,0.256,2.052,0.339,0.547,-0.627
4FGL J1213.9-4416,unid-pulsar,18.080,295.892,16.139,0.046,0.731,0.759,0.404,0.994,-0.020
4FGL J1214.6-1926,bcu-pulsar,42.580,291.131,4.510,0.195,0.712,0.058,1.009,0.633,-0.265
4FGL J1216.2-6121,bcu-pulsar,1.225,298.721,5.037,0.262,0.586,1.007,0.746,0.994,0.904
4FGL J1216.7-5911,unid-pulsar,3.378,298.495,5.700,0.090,0.333,2.250,0.703,0.928,0.681
4FGL J1216.8-5955,unid-pulsar,2.656,298.606,9.682,0.111,0.474,1.928,0.450,0.980,0.439
4FGL J1217.2-2500,unid-pulsar,37.219,293.204,7.365,0.116,1.249,0.078,0.606,0.433,-0.092
4FGL J1218.1-6028,unid-pulsar,2.127,298.835,4.329,0.161,0.376,0.673,0.522,0.833,0.763
4FGL J1221.4-0634,msp,55.518,289.711,24.229,0.044,1.400,1.330,0.756,1.000,-0.318
4FGL J1224.6-6408,psr,-1.418,300.015,4.711,0.088,1.577,0.279,0.832,0.990,1.031
4FGL J1225.9+2951,unid-pulsar,83.773,185.427,38.849,0.027,1.981,3.459,0.752,0.995,-0.689
4FGL J1227.8-7004,unid-pulsar,-7.299,300.911,4.583,0.209,0.480,0.293,1.059,0.582,0.311
4FGL J1228.0-4853,msp,13.807,298.975,52.749,0.022,0.396,28.043,0.319,0.025,0.121
4FGL J1229.5-3048,unid-pulsar,31.827,297.395,4.823,0.152,1.221,0.037,0.825,0.620,-0.109
4FGL J1231.1-1412,msp,48.379,295.534,188.009,0.010,1.657,1389.681,0.863,0.955,-0.161
4FGL J1231.6-5116,psr,11.483,299.774,30.353,0.046,0.552,12.075,1.180,0.984,0.226
4FGL J1231.6-6511,psr,-2.402,300.859,20.141,0.058,0.948,9.229,0.967,0.998,1.011
4FGL J1243.1-6754,unid-pulsar,-5.044,302.152,4.939,0.200,0.417,0.657,1.041,0.782,0.561
4FGL J1244.3-6233,unid-pulsar,0.306,302.112,14.838,0.047,0.810,8.074,0.391,0.948,1.381
4FGL J1245.8+0232,bll-pulsar,65.378,299.610,12.348,0.120,1.187,0.268,0.720,0.850,-0.371
4FGL J1253.3-5816,psr,4.587,303.186,8.465,0.113,0.360,2.169,0.927,0.949,0.474
4FGL J1256.1-5652,unk-pulsar,5.994,303.574,12.006,0.096,0.398,4.122,1.096,0.970,0.499
4FGL J1257.0-6339,unid-pulsar,-0.791,303.554,17.519,0.040,0.970,10.745,0.444,0.968,1.337
4FGL J1259.0-8148,msp,-18.949,303.218,14.978,0.065,0.618,0.837,0.617,0.996,0.156
4FGL J1301.6+0834,msp,71.289,310.822,34.500,0.039,1.107,3.866,0.866,0.996,-0.409
4FGL J1302.4-3258,msp,29.845,305.605,45.477,0.025,2.288,11.981,1.201,0.984,-0.099
4FGL J1303.1-4714,unid-pulsar,15.587,304.996,9.479,0.079,1.886,0.151,0.803,0.953,0.130
4FGL J1304.4+1203,msp,74.627,315.025,11.936,0.081,1.356,0.258,1.248,0.987,-0.433
4FGL J1305.5-6241,other-pulsar,0.133,304.554,22.123,0.032,0.100,110.490,0.048,0.915,1.510
4FGL J1306.3-6043,msp,2.099,304.755,52.584,0.019,2.842,66.307,0.909,0.936,1.032
4FGL J1306.8-4035,msp,22.177,306.089,24.882,0.045,0.321,3.195,0.310,0.432,0.047
4FGL J1309.1-6223,unid-pulsar,0.406,304.980,13.933,0.079,0.852,32.680,1.034,0.991,1.448
4FGL J1311.7-3430,msp,28.174,307.688,121.570,0.013,0.757,230.110,0.413,0.962,-0.087
4FGL J1312.3-6257,unid-pulsar,-0.186,305.309,11.079,0.098,0.157,23.424,0.219,0.791,1.387
4FGL J1312.6-6231,unid-pulsar,0.243,305.372,10.652,0.101,1.828,4.920,0.792,0.994,1.418
4FGL J1312.7+0050,msp,63.220,314.828,48.594,0.024,1.335,17.235,0.995,0.995,-0.451
4FGL J1315.7-6220,unid-pulsar,0.393,305.747,5.661,0.118,0.327,12.628,0.567,0.977,1.330
4FGL J1315.9-6243,unid-pulsar,0.014,305.742,8.989,0.103,0.781,5.279,0.452,0.975,1.376
4FGL J1317.5-0153,unid-pulsar,60.304,316.168,9.115,0.129,1.484,0.106,0.878,0.902,-0.442
4FGL J1317.5-6316,unid-pulsar,-0.555,305.859,21.679,0.046,1.487,28.519,1.168,0.987,1.271
4FGL J1320.3-6410,unid-pulsar,-1.477,306.076,6.611,0.135,0.991,1.695,1.053,0.996,1.081
4FGL J1321.1-6239,unid-pulsar,0.016,306.336,8.323,0.139,0.729,6.142,0.571,0.996,1.402
4FGL J1325.3-5413,unid-pulsar,8.309,307.933,14.422,0.053,0.619,1.624,0.542,0.996,0.458
4FGL J1325.4-4706,unid-pulsar,15.361,308.921,5.111,0.121,0.669,0.267,0.778,0.737,0.117
4FGL J1326.1-6800,bcu-pulsar,-5.349,306.185,6.335,0.237,0.311,1.515,0.931,0.899,0.499
4FGL J1326.6-4729,glc,14.958,309.078,25.885,0.028,1.609,7.282,1.096,0.996,0.140
4FGL J1328.4-6231,unid-pulsar,0.045,307.189,7.452,0.165,0.278,19.863,0.667,0.986,1.356
4FGL J1329.4-0530,bcu-pulsar,56.093,320.086,12.335,0.063,1.188,0.310,0.703,0.994,-0.325
4FGL J1329.9-6108,unid-pulsar,1.384,307.564,27.717,0.034,1.793,12.046,0.742,0.991,1.005
4FGL J1335.0-5656,msp,5.420,308.883,21.784,0.037,1.829,3.037,0.684,0.994,0.693
4FGL J1338.4-5923,unid-pulsar,2.935,308.889,5.444,0.112,0.324,0.979,0.448,0.548,0.822
4FGL J1341.7-6216,psr,0.023,308.744,12.570,0.069,0.292,19.472,0.210,0.929,1.507
4FGL J1343.5-6827,unid-pulsar,-6.071,307.704,7.778,0.189,0.582,0.606,0.912,0.971,0.340
4FGL J1343.8-6208,spp-pulsar,0.109,309.014,7.142,0.125,0.433,6.580,0.290,0.839,1.534
4FGL J1344.2-6517,unid-pulsar,-2.989,308.422,4.346,0.063,0.880,0.145,0.455,0.524,0.749
4FGL J1344.9-6228,spp-pulsar,-0.246,309.074,12.525,0.081,0.968,26.200,0.719,0.996,1.647
4FGL J1345.3-6253,spp-pulsar,-0.653,309.027,7.551,0.088,1.210,4.797,0.866,0.998,1.553
4FGL J1345.9-2612,msp,35.072,317.894,15.369,0.063,1.496,0.577,1.397,0.953,-0.167
4FGL J1346.1-5121,glc,10.591,311.573,4.847,0.075,0.232,0.105,0.207,0.012,0.367
4FGL J1346.3-6026,other-pulsar,1.706,309.659,24.854,0.036,0.679,14.771,0.287,0.921,1.043
4FGL J1347.9-0618,bcu-pulsar,53.880,327.246,4.373,0.089,1.908,0.018,1.070,0.475,-0.358
4FGL J1349.5-6206,spp-pulsar,-0.000,309.675,7.689,0.080,0.198,84.149,0.430,0.991,1.625
4FGL J1350.6-6224,psr,-0.327,309.733,31.749,0.026,2.019,96.190,1.007,0.977,1.537
4FGL J1350.9-2757,unid-pulsar,33.098,318.635,6.882,0.337,1.056,0.098,0.586,0.425,-0.159
4FGL J1351.6-6142,unid-pulsar,0.340,310.001,14.081,0.062,1.390,22.116,0.858,0.993,1.601
4FGL J1353.5-6128,unid-pulsar,0.516,310.275,5.288,0.066,0.963,2.468,0.516,0.997,1.519
4FGL J1355.8-6155,unid-pulsar,-0.001,310.426,4.689,0.156,0.979,3.907,0.841,0.999,1.605
4FGL J1356.0-6747,unid-pulsar,-5.692,309.000,6.794,0.234,0.365,0.933,0.818,0.907,0.443
4FGL J1356.6+0234,msp,60.908,338.158,11.086,0.089,1.177,0.215,1.056,0.969,-0.408
4FGL J1356.9-6432,psr,-2.558,309.900,21.605,0.049,0.397,89.557,0.757,0.995,0.890
4FGL J1357.3-6123,unid-pulsar,0.478,310.735,6.616,0.117,0.672,9.091,0.735,0.998,1.496
4FGL J1357.8-5724,unid-pulsar,4.316,311.814,5.347,0.083,0.820,0.288,0.864,0.895,0.608
4FGL J1358.0-7749,unid-pulsar,-15.419,306.526,8.080,0.173,0.931,0.110,0.520,0.359,0.035
4FGL J1358.2-6210,spp-pulsar,-0.304,310.640,12.768,0.075,0.828,21.916,0.489,0.993,1.651
4FGL J1358.3-6026,psr,1.361,311.102,26.844,0.036,0.904,56.575,0.657,0.991,1.278
4FGL J1400.0-2415,unid-pulsar,36.004,322.353,21.309,0.051,2.266,0.948,1.011,0.996,-0.163
4FGL J1400.4-6050,unid-pulsar,0.905,311.242,8.845,0.102,1.197,6.607,0.880,0.998,1.475
4FGL J1400.5-6147,unid-pulsar,-0.007,310.999,4.186,0.088,0.889,3.121,0.640,0.991,1.653
4FGL J1400.6-1432,msp,45.069,326.982,26.343,0.043,1.215,2.798,1.021,0.998,-0.091
4FGL J1401.2-6116,unid-pulsar,0.474,311.219,5.751,0.110,1.393,3.018,0.658,0.998,1.569
4FGL J1401.9-6130,unid-pulsar,0.228,311.238,4.563,0.071,2.866,1.050,0.702,0.990,1.621
4FGL J1402.7+1306,msp,68.212,356.402,12.132,0.099,1.553,0.221,1.542,0.960,-0.443
4FGL J1403.5-6236,unid-pulsar,-0.883,311.116,15.994,0.043,2.191,13.569,1.289,0.972,1.526
4FGL J1404.4-6159,spp-pulsar,-0.319,311.398,11.228,0.112,0.379,87.296,0.570,0.996,1.702
4FGL J1404.8-5237,unid-pulsar,8.652,314.074,12.766,0.054,0.846,0.895,0.483,0.998,0.560
4FGL J1405.1-6119,other-pulsar,0.284,311.659,26.960,0.026,0.484,858.539,0.567,0.974,1.693
4FGL J1407.7-3017,unid-pulsar,29.759,321.905,11.501,0.168,0.453,0.836,0.914,0.863,-0.190
4FGL J1408.1-6010,unid-pulsar,1.296,312.336,4.642,0.256,1.328,0.372,0.301,0.587,1.238
4FGL J1408.7-3747,unid-pulsar,22.601,319.387,11.818,0.074,0.920,0.335,0.726,0.990,-0.014
4FGL J1411.5-6133,psr,-0.152,312.325,6.626,0.085,0.527,43.704,0.650,0.995,1.728
4FGL J1412.1-6631,unid-pulsar,-4.900,310.858,18.282,0.058,1.748,2.071,0.874,0.998,0.601
4FGL J1413.5-6205,psr,-0.733,312.378,106.742,0.011,1.546,3466.252,0.704,0.974,1.513
4FGL J1415.4-6458,unid-pulsar,-3.546,311.666,10.156,0.059,2.611,0.433,0.716,0.980,0.744
4FGL J1416.5-6145,spp-pulsar,-0.530,312.816,5.161,0.255,2.218,1.421,0.746,0.996,1.535
4FGL J1416.7-5023,unid-pulsar,10.213,316.554,14.721,0.054,0.991,1.005,0.561,1.000,0.351
4FGL J1417.6-4403,msp,16.132,318.886,26.602,0.038,1.105,2.298,0.543,0.997,0.117
4FGL J1418.2-5400,unid-pulsar,6.721,315.577,6.986,0.213,0.271,2.172,0.707,0.899,0.609
4FGL J1418.7-6057,psr,0.131,313.331,44.939,0.011,1.128,10721.915,0.715,0.982,1.596
4FGL J1418.7-6110,unid-pulsar,-0.068,313.263,4.496,0.058,0.684,22.042,0.554,0.995,1.635
4FGL J1420.0-6048,psr,0.231,313.529,12.917,0.020,0.783,1859.218,0.679,0.985,1.622
4FGL J1420.9-2431,unid-pulsar,34.013,327.635,12.522,0.059,1.529,0.193,0.436,0.811,-0.091
4FGL J1422.5-6137,psr,-0.648,313.530,54.326,0.015,3.215,337.242,1.061,0.964,1.526
4FGL J1423.3-5655,spp-pulsar,3.734,315.256,4.665,0.206,0.250,3.464,0.975,0.852,0.758
4FGL J1424.2-6111,unid-pulsar,-0.314,313.875,5.015,0.146,0.741,11.323,0.951,0.996,1.637
4FGL J1424.8-8012,unid-pulsar,-18.083,306.999,7.111,0.118,2.194,0.080,1.262,0.933,0.002
4FGL J1427.8-6051,unid-pulsar,-0.148,314.401,17.858,0.038,0.233,85.028,0.237,0.990,1.617
4FGL J1428.0-6026,unid-pulsar,0.228,314.584,7.242,0.074,0.642,20.443,0.865,0.994,1.543
4FGL J1429.8-0739,unid-pulsar,47.847,340.852,8.834,0.160,1.377,0.128,1.020,0.960,-0.195
4FGL J1429.9-5911,psr,1.304,315.262,82.080,0.016,0.681,1136.866,0.614,0.988,1.177
4FGL J1431.4-4711,msp,12.327,320.035,11.353,0.105,0.369,1.153,0.549,0.928,0.224
4FGL J1431.5-6627,unid-pulsar,-5.509,312.706,6.574,0.150,0.324,0.498,0.397,0.617,0.486
4FGL J1433.5-5457,unk-pulsar,5.031,317.316,9.974,0.119,0.427,1.678,0.514,0.978,0.588
4FGL J1433.8-6357,unid-pulsar,-3.290,313.883,6.471,0.109,1.695,0.342,1.125,0.995,0.704
