4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,p_pulsar,diffuse
4FGL J0330.7+5845,unid-pulsar,2.022,142.349,7.691,0.245,0.326,5.002,0.785,0.981,0.881
4FGL J0336.0+7502,other-pulsar,15.528,133.083,38.189,0.025,1.764,3.465,0.751,0.997,0.153
4FGL J0340.3+4130,msp,-11.024,153.787,61.996,0.017,2.499,27.950,0.842,0.970,0.205
4FGL J0340.4+5302,unid-pulsar,-1.822,146.792,32.113,0.064,0.202,694.404,1.318,0.809,0.830
4FGL J0341.9+3153,unid-pulsar,-18.364,160.219,7.148,0.123,0.811,0.757,0.468,0.997,0.955
4FGL J0343.4+3621,fsrq-pulsar,-14.701,157.541,13.703,0.053,0.336,1.018,0.256,0.609,0.314
4FGL J0344.2+3203,bcu-pulsar,-17.923,160.515,8.601,0.230,0.411,4.270,0.737,0.990,1.023
4FGL J0347.0-6400,unid-pulsar,-43.704,278.070,7.310,0.088,1.606,0.031,0.882,0.501,-0.362
4FGL J0349.6+4026,unid-pulsar,-10.776,155.854,7.418,0.082,0.802,0.267,0.632,0.952,0.406
4FGL J0357.8+3204,psr,-16.016,162.760,81.252,0.015,0.797,618.699,1.321,0.964,0.098
4FGL J0359.3+3626,unid-pulsar,-12.574,159.985,8.359,0.174,0.431,0.971,0.990,0.929,0.217
4FGL J0359.4+5414,psr,0.885,148.234,35.084,0.032,1.165,30.664,0.887,0.969,0.922
4FGL J0359.6+3213,fsrq-pulsar,-15.646,162.956,4.852,0.140,0.302,1.534,0.575,0.639,0.065
4FGL J0409.7+4006,unid-pulsar,-8.489,158.995,7.205,0.186,0.311,1.723,0.591,0.843,0.768
4FGL J0412.5+6519,unid-pulsar,10.194,141.966,4.719,0.147,0.243,1.429,0.855,0.594,0.663
4FGL J0413.4-8609,unid-pulsar,-29.533,299.521,8.172,0.123,1.041,0.073,0.565,0.328,-0.112
4FGL J0414.7-4300,unid-pulsar,-46.221,247.902,18.973,0.073,0.929,0.566,1.432,0.978,-0.694
4FGL J0418.9+6636,msp,11.550,141.525,35.004,0.024,1.457,4.659,0.609,0.996,0.433
4FGL J0423.0-0943,unid-pulsar,-37.317,204.188,10.860,0.072,1.233,0.141,0.568,0.580,-0.207
4FGL J0426.5+5434,unid-pulsar,3.820,150.880,30.461,0.046,0.390,83.925,0.909,0.992,0.696
4FGL J0426.5+2007,bcu-pulsar,-19.682,176.491,4.013,0.467,0.402,0.341,0.790,0.548,0.366
4FGL J0427.9+3632,unid-pulsar,-8.491,164.100,5.957,0.234,0.243,2.445,0.629,0.575,0.837
4FGL J0431.0+3529,unid-pulsar,-8.733,165.306,4.259,0.126,0.478,0.724,1.012,0.929,0.656
4FGL J0432.0+1732,bcu-pulsar,-20.336,179.492,7.164,0.127,0.668,0.235,0.420,0.613,0.269
4FGL J0433.0+1327,unid-pulsar,-22.663,183.109,5.679,0.082,2.063,0.112,1.061,0.943,0.343
4FGL J0435.5+3232,unid-pulsar,-10.021,168.149,9.486,0.047,3.117,0.207,0.734,0.931,0.431
4FGL J0436.9+2915,unid-pulsar,-11.946,170.889,14.072,0.046,1.646,0.804,0.619,0.997,0.369
4FGL J0437.2-4715,msp,-41.965,253.397,76.909,0.026,0.618,30.257,0.959,0.994,-0.747
4FGL J0440.4+1440,bcu-pulsar,-20.493,183.228,9.807,0.054,0.425,0.861,0.323,0.866,0.430
4FGL J0441.8+2600,unid-pulsar,-13.202,174.148,6.723,0.113,0.402,2.462,0.940,0.979,0.603
4FGL J0447.2+2446,unid-pulsar,-13.053,175.915,9.332,0.106,0.967,0.997,0.888,0.998,0.707
4FGL J0452.9+5117,spp-pulsar,4.630,155.992,6.141,0.127,0.313,1.559,0.695,0.717,0.647
4FGL J0458.4+5140,spp-pulsar,5.539,156.223,4.893,0.135,0.332,0.531,0.503,0.506,0.718
4FGL J0506.1+5028,msp,5.768,157.917,11.775,0.058,3.694,0.357,1.207,0.967,0.417
4FGL J0507.9+4647,bcu-pulsar,3.808,161.052,9.945,0.124,0.340,2.401,0.627,0.541,0.467
4FGL J0512.8+5821,unid-pulsar,11.152,152.012,6.233,0.155,0.544,0.369,1.018,0.781,0.303
4FGL J0513.9-4005,glc,-35.067,244.568,7.107,0.141,0.674,0.044,0.471,0.071,-0.439
4FGL J0514.6-4408,psr,-35.409,249.500,28.566,0.062,0.542,2.934,1.292,0.964,-0.591
4FGL J0521.8+0843,unid-pulsar,-15.426,194.380,4.889,0.316,0.214,2.190,0.738,0.780,0.508
4FGL J0523.3-2527,other-pulsar,-29.829,228.185,55.852,0.024,1.638,10.024,0.781,0.934,-0.597
4FGL J0524.4-2413,glc,-29.203,226.919,6.837,0.502,0.100,2.783,-0.026,0.008,-0.475
4FGL J0526.7+4254,other-pulsar,4.309,166.159,12.757,0.132,0.345,2.946,0.510,0.949,0.509
4FGL J0527.1+1152,unid-pulsar,-12.678,192.308,5.000,0.147,0.316,0.544,0.473,0.573,0.433
4FGL J0529.9-0224,unid-pulsar,-19.198,205.551,6.798,0.076,0.340,1.038,0.871,0.793,0.209
4FGL J0531.4-0058,unid-pulsar,-18.189,204.401,4.439,0.143,0.952,0.120,0.854,0.819,0.077
4FGL J0531.7+1241,unid-pulsar,-11.279,192.209,6.466,0.153,0.290,1.673,0.561,0.848,0.724
4FGL J0533.6+5945,unid-pulsar,14.168,152.258,17.642,0.057,0.817,1.557,1.012,0.997,0.304
4FGL J0533.8+6800,msp,18.187,144.766,42.892,0.021,1.928,4.276,0.735,0.995,0.109
4FGL J0534.5+2200,psr,-5.781,184.559,25.186,0.007,0.865,173884.677,0.408,0.763,0.402
4FGL J0535.2-6736,other-pulsar,-32.160,277.752,20.205,0.073,0.246,6.236,0.518,0.902,-0.281
4FGL J0538.9+3549,unid-pulsar,2.434,173.398,5.729,0.163,0.682,1.205,0.690,0.998,0.944
4FGL J0539.7-0521,bcu-pulsar,-18.372,209.512,4.705,0.389,0.317,1.907,0.791,0.913,0.652
4FGL J0540.0+3501,unid-pulsar,2.195,174.202,5.781,0.132,0.413,1.107,0.547,0.953,0.780
4FGL J0540.3-6920,psr,-31.500,279.723,28.461,0.029,0.195,56.319,0.290,0.989,-0.237
4FGL J0540.7+3611,unid-pulsar,2.937,173.275,5.925,0.131,0.515,1.995,0.723,0.993,0.929
4FGL J0541.4-0754,unid-pulsar,-19.132,212.130,5.197,0.086,0.420,1.604,0.621,0.963,1.223
4FGL J0541.6-0541,fsrq-pulsar,-18.105,210.057,7.581,0.134,0.235,2.680,0.478,0.506,0.369
4FGL J0542.4+3547,bcu-pulsar,3.011,173.809,6.141,0.209,0.307,2.097,0.443,0.772,0.973
4FGL J0544.4+2238,unid-pulsar,-3.508,185.236,6.319,0.161,0.100,347.388,-0.100,0.629,0.619
4FGL J0545.0+0613,bcu-pulsar,-11.723,199.589,7.619,0.337,0.325,2.233,0.843,0.827,0.668
4FGL J0545.7+6016,unid-pulsar,15.737,152.550,30.876,0.025,2.554,1.654,0.533,0.971,0.120
4FGL J0546.5-1100,unid-pulsar,-19.335,215.666,6.388,0.302,0.278,1.517,0.827,0.859,0.372
4FGL J0549.0-0233,unid-pulsar,-15.025,208.016,4.338,0.125,0.468,0.418,0.781,0.575,0.458
4FGL J0550.9+2552,bcu-pulsar,-0.563,183.240,5.862,0.161,0.505,0.971,0.528,0.989,0.914
