name,glon,glat,ts,r95,curvature,Fp,Ep,source type
4FGL J1401.9-6130,311.201,0.252,70.309,0.066,1.002,2.269,2.905,UNID-PSR
4FGL J1402.7+1306,356.455,68.207,145.839,0.061,1.423,0.187,1.533,MSP
4FGL J1403.5-6236,311.113,-0.881,215.960,0.042,1.471,8.742,2.452,UNID-PSR
4FGL J1404.8-5237,314.075,8.661,128.651,0.043,1.269,0.554,2.016,UNID-PSR
4FGL J1408.7-3747,319.400,22.584,183.019,0.060,0.776,0.525,0.667,UNID-PSR
4FGL J1412.1-6631,310.855,-4.890,316.324,0.050,0.890,1.884,1.505,UNID-PSR
4FGL J1413.5-6205,312.373,-0.731,18935.667,0.010,0.447,2821.449,1.388,young
4FGL J1415.3-6110,312.846,0.151,163.553,0.064,0.307,35.808,0.259,UNID-PSR
4FGL J1415.4-6458,311.662,-3.552,105.891,0.054,0.980,0.416,3.054,UNID-PSR
4FGL J1416.7-5023,316.555,10.216,237.989,0.038,0.985,0.943,1.628,UNID-PSR
4FGL J1417.6-4403,318.878,16.149,894.402,0.027,0.492,3.450,0.793,MSP
4FGL J1418.7-6110,313.259,-0.045,106.542,0.069,0.558,15.488,0.935,UNID-PSR
4FGL J1420.0-6048,313.494,0.216,3821.175,0.018,0.985,2430.551,0.387,young
4FGL J1420.7-6701,311.487,-5.597,52.657,0.126,0.878,0.228,1.044,UNID-PSR
4FGL J1420.9-2431,327.653,34.022,127.493,0.047,0.915,0.139,2.709,UNID-PSR
4FGL J1422.3-6059,313.685,-0.035,51.122,0.128,1.002,2.534,2.156,UNID-PSR
4FGL J1422.5-6137,313.527,-0.643,3889.036,0.013,0.938,308.500,3.586,young
4FGL J1424.2-6111,314.023,-0.291,26.489,0.247,1.365,1.542,1.598,UNID-PSR
4FGL J1424.8-6536,312.280,-4.523,84.772,0.144,0.949,1.184,0.492,UNID-PSR
4FGL J1424.8-8012,306.973,-18.060,58.900,0.099,2.000,0.091,2.334,UNID-PSR
4FGL J1428.0-6026,314.618,0.207,163.318,0.082,1.073,18.335,0.900,UNID-PSR
4FGL J1429.8-0739,340.886,47.884,88.288,0.075,1.270,0.113,1.626,UNID-PSR
4FGL J1429.9-5911,315.266,1.307,8918.684,0.014,0.438,889.983,0.527,young
4FGL J1433.8-6357,313.858,-3.303,54.078,0.114,2.000,0.404,1.916,UNID-PSR
4FGL J1445.1-5958,316.767,-0.067,121.628,0.115,0.731,16.829,0.589,UNID-PSR
4FGL J1445.9-5907,317.163,0.548,36.441,0.182,1.863,1.838,1.225,UNID-PSR
4FGL J1446.6-4701,322.503,11.437,662.840,0.028,0.795,2.741,1.556,MSP
4FGL J1449.8-5923,317.582,0.141,42.989,0.159,0.917,1.316,1.777,UNID-PSR
4FGL J1450.8-1424,341.517,39.358,122.535,0.060,1.071,0.237,1.387,UNID-PSR
4FGL J1455.9-3331,330.756,22.553,47.285,0.098,1.366,0.074,1.596,MSP
4FGL J1458.8-2120,338.592,32.584,294.394,0.038,0.827,0.622,1.645,UNID-PSR
4FGL J1500.1-5846,318.935,-0.161,45.550,0.116,0.827,1.504,1.471,UNID-PSR
4FGL J1502.2-5933,318.813,-0.773,52.853,0.078,1.961,1.547,2.554,UNID-PSR
4FGL J1505.1-5145,323.050,5.886,79.708,0.104,1.535,0.663,1.101,UNID-PSR
4FGL J1506.5-5708,320.476,1.054,42.655,0.069,1.324,0.498,2.785,UNID-PSR
4FGL J1507.4-6450,316.701,-5.630,42.758,0.101,0.704,0.219,0.896,UNID-PSR
4FGL J1507.7-5403,322.139,3.623,42.131,0.196,0.843,0.853,0.494,UNID-PSR
4FGL J1509.4-5850,319.973,-0.621,8651.260,0.013,0.564,964.186,1.304,young
4FGL J1510.1-5750,320.550,0.150,131.076,0.051,0.932,4.097,2.460,UNID-PSR
4FGL J1513.4-2549,338.842,26.974,624.140,0.030,0.743,2.293,1.168,MSP
4FGL J1514.3-4946,325.247,6.808,8288.173,0.011,0.541,130.977,2.477,MSP
4FGL J1516.4-2640,338.859,25.895,43.428,0.093,2.000,0.097,2.067,UNID-PSR
4FGL J1517.9-5233,324.262,4.140,716.872,0.032,1.243,7.001,1.855,UNID-PSR
4FGL J1521.9-5735,322.033,-0.408,4590.607,0.017,0.695,563.448,0.759,young
4FGL J1526.6-3810,333.646,15.274,153.903,0.051,1.344,0.435,1.819,UNID-PSR
4FGL J1527.8+1013,15.960,49.532,138.172,0.075,2.000,0.276,1.380,UNID-PSR
4FGL J1528.2-2448,342.483,25.771,63.513,0.091,1.126,0.115,2.162,UNID-PSR
4FGL J1528.4-5838,322.165,-1.754,1052.912,0.028,1.000,28.272,1.653,young
4FGL J1530.0-1522,349.881,32.672,126.708,0.064,1.099,0.372,1.027,UNID-PSR
4FGL J1531.5-5612,323.939,0.009,269.083,0.054,0.772,23.622,0.854,young
4FGL J1532.9-0313,1.422,40.649,37.682,0.083,1.888,0.084,1.929,UNID-PSR
4FGL J1534.0-5232,326.300,2.801,237.610,0.043,0.536,1.828,1.407,UNID-PSR
4FGL J1534.3-3312,338.027,18.363,82.728,0.050,1.430,0.161,3.492,UNID-PSR
4FGL J1534.7-5842,322.763,-2.285,119.424,0.062,1.947,1.157,2.799,UNID-PSR
4FGL J1536.4-4948,328.198,4.791,16056.980,0.012,0.357,388.524,1.977,MSP
4FGL J1537.3-6110,321.625,-4.477,54.996,0.151,1.664,0.365,1.543,UNID-PSR
4FGL J1538.0-4638,330.333,7.156,236.055,0.060,0.936,3.743,0.531,UNID-PSR
4FGL J1539.4-3323,338.786,17.536,1540.156,0.018,1.390,15.629,2.650,UNID-PSR
4FGL J1541.2-5201,327.508,2.586,79.029,0.108,0.992,0.975,1.586,UNID-PSR
4FGL J1543.4-5925,323.291,-3.434,64.693,0.120,1.423,0.465,1.747,UNID-PSR
4FGL J1543.6-0244,4.067,38.862,274.571,0.044,0.709,1.097,0.858,UNID-PSR
4FGL J1543.6-5148,327.918,2.496,521.402,0.045,0.697,15.654,0.800,MSP
4FGL J1544.0+4939,79.136,50.151,291.141,0.044,0.600,0.162,1.874,MSP
4FGL J1544.2-2554,344.768,22.602,383.384,0.036,0.887,1.812,1.204,UNID-PSR
4FGL J1545.2-4553,331.763,7.050,136.804,0.083,0.642,1.706,0.513,UNID-PSR
4FGL J1547.4-4802,330.713,5.132,264.592,0.049,0.444,6.834,0.352,UNID-PSR
4FGL J1547.6-6106,322.651,-5.177,37.434,0.113,0.744,0.209,0.722,UNID-PSR
4FGL J1548.1-4416,333.197,7.975,164.147,0.064,1.028,1.512,0.727,UNID-PSR
4FGL J1548.3-2411,346.707,23.251,67.861,0.078,0.897,0.207,1.122,UNID-PSR
4FGL J1551.3-4920,330.463,3.655,71.032,0.118,0.706,1.132,0.738,UNID-PSR
4FGL J1551.7-4257,334.527,8.590,61.273,0.077,0.584,0.392,0.589,UNID-PSR
4FGL J1553.1+5438,85.584,47.168,434.121,0.038,0.556,0.236,1.628,MSP
4FGL J1555.7-2908,344.477,18.482,183.391,0.049,0.419,0.475,0.566,MSP
4FGL J1556.8-5242,328.875,0.545,47.543,0.070,1.049,1.878,3.112,UNID-PSR
4FGL J1557.5-5306,328.758,0.161,33.754,0.105,0.868,1.510,2.660,UNID-PSR
4FGL J1559.7-4518,334.107,5.867,33.493,0.068,0.763,0.152,1.619,UNID-PSR
4FGL J1600.9-3054,344.080,16.446,1117.220,0.021,0.781,5.098,2.698,MSP
4FGL J1602.2+2305,38.551,46.876,314.119,0.036,1.450,0.494,2.480,UNID-PSR
4FGL J1603.3-6010,324.720,-5.707,422.650,0.026,0.688,1.385,2.565,UNID-PSR
4FGL J1604.4-4927,331.957,2.175,112.531,0.075,1.489,3.845,1.476,UNID-PSR
4FGL J1611.6-6013,325.457,-6.371,91.846,0.054,1.359,0.278,1.735,UNID-PSR
4FGL J1611.9-5125,331.512,-0.011,176.752,0.067,0.387,74.198,0.304,UNID-PSR
4FGL J1612.1+1407,27.861,41.627,420.442,0.038,0.991,0.719,1.779,UNID-PSR
4FGL J1613.0-5102,331.932,0.123,377.727,0.045,0.733,80.072,0.950,UNID-PSR
4FGL J1614.5-2230,352.636,20.202,5407.187,0.014,0.848,72.405,2.175,MSP
4FGL J1615.3-5136,331.763,-0.533,1681.386,0.019,1.015,210.235,2.697,young
4FGL J1615.3-1512,358.701,24.887,49.672,0.066,0.845,0.087,2.472,UNID-PSR
4FGL J1615.5-5434,329.691,-2.679,45.400,0.091,0.858,0.245,2.224,UNID-PSR
4FGL J1616.0-4501,336.430,4.133,40.894,0.163,1.542,0.706,1.190,UNID-PSR
4FGL J1616.6-5341,330.485,-2.165,690.644,0.036,1.658,18.632,1.577,UNID-PSR
4FGL J1616.6-5009,332.965,0.388,83.972,0.142,1.030,18.368,0.794,UNID-PSR
4FGL J1617.4-5812,327.410,-5.507,65.925,0.077,0.453,0.296,0.609,UNID-PSR
4FGL J1617.8-4418,337.003,4.432,48.590,0.353,1.216,1.736,0.620,UNID-PSR
4FGL J1618.3-4537,336.419,3.422,67.177,0.163,1.231,2.141,0.764,UNID-PSR
4FGL J1618.7-4633,335.714,2.768,32.988,0.096,0.968,0.283,2.277,MSP
4FGL J1619.3-5047,332.870,-0.158,131.981,0.103,1.550,31.424,1.218,UNID-PSR
4FGL J1620.5-5729,328.210,-5.249,55.149,0.064,1.249,0.188,1.933,UNID-PSR
4FGL J1620.7-4927,333.887,0.405,9199.355,0.011,0.734,1755.874,2.693,young
4FGL J1621.0-2625,350.520,16.460,94.243,0.105,0.707,1.186,0.530,UNID-PSR
4FGL J1621.4-4511,336.982,3.328,54.248,0.113,1.752,0.674,1.943,UNID-PSR
4FGL J1622.2-7202,317.658,-15.530,249.140,0.041,0.611,0.303,1.627,UNID-PSR
4FGL J1622.2-1930,356.283,20.860,56.621,0.100,1.023,0.365,1.048,UNID-PSR
4FGL J1622.5-4726,335.528,1.603,34.391,0.092,0.849,0.496,2.273,UNID-PSR
4FGL J1622.7-4934,334.042,0.102,157.318,0.063,0.742,26.466,1.153,UNID-PSR
4FGL J1622.8-4454,337.359,3.358,54.600,0.084,0.551,0.482,1.173,UNID-PSR
4FGL J1623.0-5004,333.712,-0.296,1901.105,0.016,0.690,235.389,3.367,young
4FGL J1623.0-4624,336.274,2.223,71.555,0.116,0.393,2.278,0.452,UNID-PSR
4FGL J1623.9-6936,319.629,-13.978,293.682,0.034,0.336,0.398,2.202,MSP
4FGL J1624.1-4042,340.544,6.145,2067.430,0.018,0.659,46.811,1.223,young
4FGL J1624.1-4941,334.109,-0.155,50.731,0.112,0.669,4.244,1.623,UNID-PSR
4FGL J1624.1-4417,337.980,3.642,113.118,0.063,0.654,1.422,1.006,UNID-PSR
4FGL J1624.3-3952,341.186,6.715,257.487,0.032,0.667,2.122,1.508,MSP
4FGL J1624.9-4538,337.241,2.575,102.606,0.112,0.738,3.137,0.736,UNID-PSR
4FGL J1625.1-0020,13.889,31.834,4793.326,0.016,0.799,38.581,2.028,MSP
4FGL J1626.5-4858,334.900,0.062,32.892,0.072,0.710,1.280,2.063,UNID-PSR
4FGL J1626.6-4251,339.399,4.313,77.433,0.125,0.966,1.150,1.055,UNID-PSR
4FGL J1627.7-5749,328.645,-6.210,95.064,0.064,0.628,0.443,0.823,UNID-PSR
4FGL J1627.7+3219,52.982,43.218,813.834,0.030,0.851,1.064,1.915,MSP
4FGL J1628.0-4920,334.859,-0.377,32.764,0.091,1.259,2.002,2.215,UNID-PSR
4FGL J1628.1-3204,347.432,11.489,770.327,0.032,0.706,7.637,0.946,MSP
4FGL J1629.3-4822,335.603,0.077,83.211,0.127,0.910,19.886,0.663,UNID-PSR
4FGL J1630.1-1049,4.942,24.826,232.920,0.043,1.218,1.215,1.459,UNID-PSR
4FGL J1630.6+3734,60.259,43.190,1244.768,0.027,0.935,2.984,1.664,MSP
4FGL J1631.7-4826,335.867,-0.156,28.220,0.083,0.577,0.667,5.201,UNID-PSR
4FGL J1633.1-3924,342.687,5.777,44.620,0.114,1.046,0.522,0.946,UNID-PSR
4FGL J1634.0-4742,336.630,-0.008,225.683,0.062,1.224,40.258,1.881,UNID-PSR
4FGL J1634.1-4011,342.019,5.036,26.637,0.120,1.141,0.264,1.357,UNID-PSR
4FGL J1634.7+0235,18.267,31.374,100.093,0.067,2.000,0.189,1.848,MSP
4FGL J1635.0-3039,349.612,11.333,26.855,0.153,2.000,0.105,1.674,UNID-PSR
4FGL J1635.3-4159,340.936,3.746,29.955,0.155,0.962,0.498,0.878,UNID-PSR
4FGL J1635.4-3249,347.917,9.851,86.077,0.062,0.780,0.349,1.290,UNID-PSR
4FGL J1635.4-3453,346.360,8.456,44.511,0.107,0.895,0.283,0.906,UNID-PSR
4FGL J1636.9-4710,337.464,0.120,459.514,0.050,0.786,170.689,0.707,UNID-PSR
4FGL J1638.1-4641,337.917,0.246,76.049,0.089,1.493,9.339,1.927,UNID-PSR
4FGL J1638.4-4715,337.518,-0.208,131.304,0.066,0.983,17.755,1.734,UNID-PSR
4FGL J1639.0-2727,352.611,12.818,55.450,0.079,1.128,0.192,2.258,UNID-PSR
4FGL J1639.3-5146,334.250,-3.331,2324.288,0.018,0.612,38.307,1.858,UNID-PSR
4FGL J1640.1+2222,41.048,38.274,197.013,0.050,0.794,0.193,2.490,MSP
4FGL J1640.3-4917,336.224,-1.811,141.917,0.061,0.610,4.071,1.001,UNID-PSR
4FGL J1641.2+8049,113.845,31.770,253.227,0.042,0.868,0.159,1.432,MSP
4FGL J1641.2-5317,333.306,-4.559,819.163,0.038,0.603,10.922,0.864,young
4FGL J1641.3-2908,351.604,11.313,188.643,0.074,0.697,3.707,0.332,UNID-PSR
4FGL J1641.4-4803,337.257,-1.073,60.941,0.180,0.927,12.873,0.336,UNID-PSR
4FGL J1643.3-3148,349.820,9.228,108.979,0.045,0.841,0.332,2.149,UNID-PSR
4FGL J1644.1-5009,335.958,-2.805,85.267,0.138,0.439,3.485,0.372,UNID-PSR
4FGL J1645.1-4123,342.707,2.745,92.841,0.076,0.584,1.351,1.014,UNID-PSR
4FGL J1646.5-4406,340.820,0.821,57.787,0.052,0.366,2.329,0.766,UNID-PSR
4FGL J1646.7-2154,358.148,14.916,82.913,0.082,1.214,0.815,0.928,UNID-PSR
4FGL J1648.4-4611,339.439,-0.805,1459.466,0.019,1.004,169.267,2.759,young
4FGL J1649.1-1359,5.155,19.191,68.529,0.178,1.320,2.334,0.346,UNID-PSR
4FGL J1649.3-4441,340.674,0.027,167.884,0.045,1.159,16.288,2.265,UNID-PSR
4FGL J1649.8-3010,351.985,9.200,552.556,0.031,0.509,3.604,1.245,MSP
4FGL J1650.3-4600,339.787,-0.965,1576.043,0.022,0.715,236.710,1.141,young
4FGL J1651.1-5848,329.953,-9.196,62.176,0.108,0.968,0.306,0.684,UNID-PSR
4FGL J1651.4-4442,340.912,-0.265,56.551,0.065,0.915,3.931,2.012,UNID-PSR
4FGL J1651.7-4359,341.511,0.165,308.563,0.047,1.084,50.995,1.264,UNID-PSR
4FGL J1652.2-4516,340.613,-0.702,171.164,0.077,0.695,37.612,0.586,UNID-PSR
4FGL J1653.2-4349,341.827,0.039,583.563,0.038,0.616,208.846,0.507,UNID-PSR
4FGL J1653.6-0158,16.619,24.945,5224.781,0.016,0.413,61.926,0.730,MSP
4FGL J1654.2-3136,351.463,7.578,46.933,0.118,0.816,0.322,0.831,UNID-PSR
4FGL J1654.7-3639,347.556,4.342,40.402,0.136,0.999,0.460,0.991,UNID-PSR
4FGL J1655.7-2411,357.531,11.835,41.809,0.143,0.521,0.391,0.376,UNID-PSR
4FGL J1655.9-3940,345.341,2.281,122.660,0.053,0.848,2.039,1.692,UNID-PSR
4FGL J1655.9-3101,352.125,7.658,48.386,0.068,0.508,0.162,1.226,UNID-PSR
4FGL J1656.1-4706,339.614,-2.384,35.442,0.101,0.671,0.366,2.991,UNID-PSR
4FGL J1656.4-0410,14.960,23.174,146.167,0.052,1.091,0.554,1.600,UNID-PSR
4FGL J1656.5-2733,354.979,9.684,220.634,0.050,1.338,1.520,1.284,UNID-PSR
4FGL J1657.4-3917,345.860,2.306,95.866,0.081,0.884,1.825,1.492,UNID-PSR
4FGL J1657.7-4656,339.858,-2.597,84.976,0.067,0.410,0.870,2.223,UNID-PSR
4FGL J1657.7-4520,341.089,-1.484,61.142,0.402,0.464,1.447,1.164,UNID-PSR
4FGL J1658.3-4637,340.133,-2.404,48.914,0.067,0.641,0.396,4.305,UNID-PSR
4FGL J1658.6-5323,334.866,-6.612,1790.860,0.023,0.776,30.748,0.665,MSP
4FGL J1659.0-0140,17.673,23.926,337.365,0.033,0.688,1.230,1.841,UNID-PSR
4FGL J1659.2-1443,5.996,16.767,64.341,0.063,2.000,0.314,2.930,UNID-PSR
4FGL J1700.0-0122,18.165,23.837,58.305,0.113,1.334,0.340,0.975,UNID-PSR
4FGL J1700.3-4557,340.996,-2.230,73.175,0.119,0.585,2.525,0.760,UNID-PSR
4FGL J1700.8-5218,335.955,-6.283,43.059,0.079,1.944,0.198,2.141,UNID-PSR
4FGL J1701.3-4924,338.294,-4.525,123.702,0.084,0.638,1.388,0.917,UNID-PSR
4FGL J1701.8-2226,359.890,11.776,62.453,0.105,0.437,0.481,0.473,UNID-PSR
4FGL J1701.9-4625,340.666,-2.954,39.854,0.219,1.012,1.001,1.179,UNID-PSR
4FGL J1702.0-3721,347.904,2.779,59.617,0.111,0.608,0.631,1.218,UNID-PSR
4FGL J1702.3-2525,357.506,9.975,151.487,0.049,0.283,0.595,0.726,UNID-PSR
4FGL J1702.9-4131,344.749,0.120,224.025,0.051,1.051,28.699,1.264,young
4FGL J1703.6-2850,354.928,7.678,400.514,0.039,0.769,3.735,0.874,UNID-PSR
4FGL J1704.0-4226,344.099,-0.630,73.487,0.075,1.987,4.729,2.328,UNID-PSR
4FGL J1704.8-4030,345.741,0.413,403.958,0.033,0.575,37.986,1.193,UNID-PSR
4FGL J1704.9-4303,343.713,-1.122,47.758,0.070,1.842,1.525,2.635,UNID-PSR
4FGL J1705.2-3850,347.122,1.391,124.187,0.079,1.173,3.953,1.814,UNID-PSR
4FGL J1705.4-4850,339.207,-4.666,91.162,0.131,0.898,1.446,0.790,UNID-PSR
4FGL J1705.6-1909,3.155,13.006,210.914,0.067,1.334,2.171,0.722,young
4FGL J1706.2-4950,338.420,-5.403,101.545,0.094,0.960,1.220,0.857,UNID-PSR
4FGL J1706.2-4113,345.135,-0.235,64.090,0.131,0.469,5.119,0.842,UNID-PSR
4FGL J1706.5-4023,346.013,0.185,106.487,0.093,0.492,14.643,0.645,UNID-PSR
4FGL J1708.8-0923,11.981,17.829,51.627,0.102,0.736,0.303,0.910,UNID-PSR
4FGL J1709.4-4339,343.719,-2.271,49.419,0.174,0.773,1.699,1.387,UNID-PSR
4FGL J1709.4-0328,17.432,20.724,192.751,0.050,0.433,0.995,0.765,UNID-PSR
4FGL J1709.7-4429,343.099,-2.684,478465.572,0.008,0.446,254029.985,1.290,young
4FGL J1709.9-0900,12.530,17.764,86.178,0.089,1.195,0.744,0.990,UNID-PSR
4FGL J1710.3-3039,354.324,5.463,81.666,0.058,1.119,0.638,1.977,UNID-PSR
4FGL J1711.0-3002,354.919,5.634,238.863,0.051,1.421,3.688,1.351,UNID-PSR
4FGL J1711.4-2526,358.765,8.280,95.365,0.082,0.905,1.099,0.817,UNID-PSR
4FGL J1711.9-1922,3.860,11.656,236.543,0.035,0.630,0.854,1.588,UNID-PSR
4FGL J1713.8+0747,28.756,25.219,868.069,0.026,0.610,3.401,1.742,MSP
4FGL J1714.8-3849,348.261,-0.134,419.743,0.041,0.406,84.028,0.472,UNID-PSR
4FGL J1714.9-3324,352.684,3.019,156.991,0.062,1.358,2.449,2.440,UNID-PSR
4FGL J1716.1-4342,344.451,-3.181,76.250,0.104,0.865,1.537,1.105,UNID-PSR
4FGL J1716.3+3434,58.085,33.601,48.398,0.116,1.999,0.043,1.266,MSP
4FGL J1717.0-3218,353.804,3.133,46.067,0.101,0.538,0.400,1.396,UNID-PSR
4FGL J1717.5-5804,332.601,-11.510,261.601,0.039,1.977,1.095,2.485,UNID-PSR
4FGL J1717.5-4022,347.281,-1.481,43.701,0.087,2.000,0.801,3.280,UNID-PSR
4FGL J1717.6-4404,344.243,-3.628,110.119,0.086,0.904,2.169,1.159,UNID-PSR
4FGL J1717.8-3906,348.352,-0.766,66.669,0.088,0.645,2.935,1.077,UNID-PSR
4FGL J1718.2-3825,348.938,-0.426,3311.030,0.019,0.704,732.674,0.542,young
4FGL J1718.5-4122,346.568,-2.186,43.036,0.106,0.351,0.564,0.808,UNID-PSR
4FGL J1719.0-4221,345.807,-2.790,94.032,0.099,1.060,1.608,1.306,UNID-PSR
4FGL J1719.3-3424,352.366,1.674,45.514,0.112,1.905,1.251,2.498,UNID-PSR
4FGL J1719.4-2916,356.557,4.564,94.235,0.140,0.899,1.589,0.921,UNID-PSR
4FGL J1719.4-4242,345.574,-3.120,75.026,0.108,0.369,0.958,0.742,UNID-PSR
4FGL J1719.6-4320,345.075,-3.480,79.835,0.133,0.697,1.592,0.658,UNID-PSR
4FGL J1720.1-4358,344.553,-3.906,81.549,0.079,0.329,1.014,0.640,UNID-PSR
4FGL J1720.6-2442,0.539,6.979,72.106,0.053,0.632,0.360,2.053,UNID-PSR
4FGL J1720.6+0708,28.975,23.418,399.234,0.039,0.715,1.617,0.915,UNID-PSR
4FGL J1721.3-5257,337.258,-9.137,138.138,0.073,1.431,0.911,1.046,UNID-PSR
4FGL J1721.7-3917,348.633,-1.499,120.020,0.058,0.669,3.558,1.181,UNID-PSR
4FGL J1722.1-4007,348.066,-2.112,63.509,0.161,1.584,1.051,2.062,UNID-PSR
4FGL J1722.1-3205,354.590,2.567,117.404,0.055,0.747,1.670,1.854,UNID-PSR
4FGL J1722.6-3135,355.128,2.697,95.543,0.103,1.886,2.435,1.975,UNID-PSR
4FGL J1722.7-3258,353.944,1.928,52.812,0.203,1.172,2.467,0.924,UNID-PSR
4FGL J1723.1-2859,357.192,4.092,80.143,0.166,0.447,3.108,0.310,UNID-PSR
4FGL J1723.5-3342,353.457,1.373,118.121,0.076,0.547,11.718,0.484,UNID-PSR
4FGL J1724.5-3008,356.518,3.365,63.768,0.150,1.954,1.520,1.343,UNID-PSR
4FGL J1724.7-3737,350.308,-1.043,54.864,0.088,0.670,2.440,0.974,UNID-PSR
4FGL J1725.1-1924,5.571,9.036,150.759,0.047,0.237,1.708,0.282,UNID-PSR
4FGL J1726.2-2903,357.511,3.520,80.120,0.102,0.667,1.242,0.867,UNID-PSR
4FGL J1726.2-3207,355.087,1.800,48.428,0.089,1.286,0.987,2.501,UNID-PSR
4FGL J1726.7-3930,349.111,-2.239,64.688,0.191,1.428,0.835,1.423,UNID-PSR
4FGL J1726.8-2659,359.401,4.552,77.954,0.068,0.427,0.736,1.276,UNID-PSR
4FGL J1727.4+0326,26.238,20.236,156.454,0.050,0.666,0.455,0.984,UNID-PSR
4FGL J1727.6-2304,2.811,6.556,160.402,0.039,0.603,1.161,1.970,UNID-PSR
4FGL J1727.6-0849,15.050,14.160,40.078,0.113,0.422,0.313,0.551,UNID-PSR
4FGL J1727.7-4041,348.157,-3.091,143.667,0.130,0.791,3.128,0.733,UNID-PSR
4FGL J1728.0-3550,352.138,-0.575,51.977,0.136,1.276,4.377,1.455,UNID-PSR
4FGL J1728.1-1610,8.751,10.191,111.401,0.062,0.943,0.759,1.170,MSP
4FGL J1729.1-3503,352.973,-0.347,25.340,0.071,0.996,2.622,1.883,UNID-PSR
4FGL J1729.2-2509,1.339,5.082,47.488,0.135,1.398,1.069,1.043,UNID-PSR
4FGL J1729.4-2831,358.583,3.190,166.166,0.099,1.210,5.341,1.031,UNID-PSR
4FGL J1729.4-2646,359.867,4.203,102.296,0.084,1.465,1.906,1.946,UNID-PSR
4FGL J1729.9-2952,357.392,2.368,49.345,0.094,1.935,0.779,3.727,UNID-PSR
4FGL J1730.1-4343,345.794,-5.343,88.381,0.083,0.991,0.647,1.187,UNID-PSR
4FGL J1730.3-2913,357.994,2.706,61.714,0.114,1.184,1.015,1.850,UNID-PSR
4FGL J1730.4-0359,19.746,15.985,565.976,0.028,0.921,4.496,1.387,UNID-PSR
4FGL J1730.5-3543,352.560,-0.949,82.109,0.113,1.028,6.868,1.042,UNID-PSR
4FGL J1730.8-3806,350.610,-2.427,108.372,0.094,1.100,1.717,1.806,UNID-PSR
4FGL J1731.9-2800,359.178,3.033,90.441,0.110,1.757,1.792,2.232,UNID-PSR
4FGL J1732.0-2659,0.101,3.516,77.803,0.081,0.529,0.861,1.830,UNID-PSR
4FGL J1732.5-3131,356.312,1.008,20202.492,0.010,0.910,5944.106,1.936,young
4FGL J1733.2-2915,358.300,2.159,63.037,0.111,1.097,1.175,2.329,UNID-PSR
4FGL J1733.4+2235,45.889,26.732,83.679,0.060,2.000,0.105,2.110,UNID-PSR
4FGL J1733.6-2431,2.313,4.676,67.457,0.099,1.425,1.171,1.596,UNID-PSR
4FGL J1733.9-2220,4.251,5.661,41.306,0.105,0.476,0.741,0.407,UNID-PSR
4FGL J1734.0-2933,358.152,1.824,65.534,0.072,0.571,1.026,1.972,UNID-PSR
4FGL J1734.5-2818,359.241,2.339,133.034,0.072,0.430,6.313,0.467,UNID-PSR
4FGL J1735.1-3708,351.886,-2.494,52.214,0.093,1.250,0.654,1.871,UNID-PSR
4FGL J1735.2-2153,4.764,5.713,74.219,0.073,0.522,1.797,0.373,UNID-PSR
4FGL J1735.4-2944,358.114,1.401,66.403,0.095,0.733,1.353,2.157,UNID-PSR
4FGL J1736.1-3422,354.307,-1.173,340.018,0.038,0.741,12.143,1.504,young
4FGL J1736.3-2929,358.492,1.433,176.729,0.082,0.485,35.603,0.278,UNID-PSR
4FGL J1736.6-1954,6.588,6.468,52.673,0.087,0.620,0.485,0.725,UNID-PSR
4FGL J1737.1-2901,359.013,1.524,90.253,0.090,0.437,6.030,0.466,UNID-PSR
4FGL J1737.2-2808,359.692,2.045,67.659,0.147,0.518,1.062,1.662,UNID-PSR
4FGL J1737.3-3332,355.157,-0.909,147.345,0.073,0.780,16.254,0.629,UNID-PSR
4FGL J1737.6-2350,3.317,4.242,77.188,0.107,0.668,1.228,0.877,UNID-PSR
4FGL J1738.2-2510,2.313,3.350,82.826,0.078,1.901,1.603,2.881,UNID-PSR
4FGL J1738.6-3627,352.837,-2.740,48.414,0.140,1.402,0.704,1.692,UNID-PSR
4FGL J1738.8-3241,356.007,-0.729,101.135,0.090,1.497,9.546,1.176,UNID-PSR
4FGL J1739.1-1059,14.653,10.586,89.199,0.073,1.331,1.207,0.884,UNID-PSR
4FGL J1739.1-3446,354.321,-1.909,58.283,0.133,0.999,1.309,1.264,UNID-PSR
4FGL J1739.2-2717,0.641,2.091,44.883,0.075,0.950,0.546,2.834,UNID-PSR
4FGL J1739.2-2732,0.467,1.906,125.556,0.069,0.329,4.429,0.543,UNID-PSR
4FGL J1739.3-2531,2.149,2.996,234.039,0.046,0.512,7.229,0.741,UNID-PSR
4FGL J1739.4-3015,358.141,0.417,248.755,0.069,1.300,53.291,0.895,young
4FGL J1739.5-2929,358.716,0.929,81.462,0.141,0.942,5.429,1.243,UNID-PSR
4FGL J1739.7-2836,359.583,1.301,98.100,0.080,1.141,3.416,2.303,UNID-PSR
4FGL J1740.1-1928,7.359,5.980,92.048,0.064,0.314,0.871,0.671,UNID-PSR
4FGL J1740.4-2850,359.468,0.985,139.310,0.050,0.547,10.819,0.867,UNID-PSR
4FGL J1740.5-2554,1.942,2.490,132.404,0.108,0.951,5.167,0.902,UNID-PSR
4FGL J1740.6-3430,354.802,-2.009,151.677,0.085,0.445,4.180,0.656,UNID-PSR
