name,glon,glat,ts,r95,curvature,Fp,Ep,source type
4FGL J0531.7+1241,192.236,-11.293,87.468,0.093,0.774,0.807,0.509,UNID-PSR
4FGL J0532.6+3358,174.344,0.263,51.856,0.166,1.071,0.722,0.632,UNID-PSR
4FGL J0533.2+3024,177.294,-1.492,39.997,0.142,1.514,0.269,1.682,UNID-PSR
4FGL J0533.6+5945,152.280,14.170,389.757,0.042,1.006,1.844,0.776,UNID-PSR
4FGL J0533.8+6800,144.778,18.190,1817.731,0.018,0.537,3.686,2.243,MSP
4FGL J0535.0+3615,172.570,1.952,43.931,0.132,1.038,0.284,1.446,UNID-PSR
4FGL J0538.9+3549,173.599,2.435,88.838,0.088,1.269,1.152,1.304,UNID-PSR
4FGL J0540.0+3501,174.202,2.195,35.232,0.124,0.898,0.241,1.188,UNID-PSR
4FGL J0540.7+3611,173.290,2.864,112.003,0.125,0.882,2.341,0.662,UNID-PSR
4FGL J0541.4-0754,212.106,-19.103,39.683,0.109,1.986,0.712,1.316,UNID-PSR
4FGL J0543.9-0418,208.941,-17.179,58.782,0.111,1.127,0.384,0.963,UNID-PSR
4FGL J0545.7+6016,152.555,15.740,965.689,0.020,0.567,1.529,2.554,UNID-PSR
4FGL J0549.0-0233,208.017,-15.025,52.445,0.113,1.036,0.315,1.004,UNID-PSR
4FGL J0551.7+0446,201.753,-10.958,121.741,0.109,1.035,3.870,0.323,UNID-PSR
4FGL J0553.6+0100,205.306,-12.337,50.573,0.165,1.954,0.766,0.725,UNID-PSR
4FGL J0554.0-0839,214.255,-16.665,54.474,0.065,0.549,0.126,0.976,UNID-PSR
4FGL J0554.1+3107,179.069,2.703,2512.039,0.026,0.934,36.365,1.142,young
4FGL J0555.1+0150,204.745,-11.680,87.720,0.083,0.961,1.024,0.751,UNID-PSR
4FGL J0558.2+0132,205.412,-11.122,29.180,0.198,1.600,0.240,0.959,UNID-PSR
4FGL J0600.8+0509,202.457,-8.810,37.549,0.096,0.836,0.216,0.906,UNID-PSR
4FGL J0601.0-1016,216.386,-15.826,52.043,0.107,1.343,0.333,1.021,UNID-PSR
4FGL J0604.9-1042,217.387,-15.129,31.305,0.110,0.959,0.099,1.232,UNID-PSR
4FGL J0605.1+3757,174.205,8.038,723.289,0.029,0.968,3.429,1.594,MSP
4FGL J0609.0+2136,189.046,0.935,76.244,0.121,1.265,1.527,1.070,UNID-PSR
4FGL J0609.0+2006,190.267,0.063,87.067,0.171,1.638,4.543,0.601,UNID-PSR
4FGL J0610.2-2100,227.740,-18.180,928.801,0.031,0.637,2.413,1.098,MSP
4FGL J0610.9+2040,189.923,0.777,46.563,0.267,1.557,1.717,0.690,UNID-PSR
4FGL J0613.7-0201,210.420,-9.307,6348.445,0.015,0.445,85.743,1.071,MSP
4FGL J0614.1-3329,240.500,-21.832,70398.762,0.009,0.336,1188.192,2.784,MSP
4FGL J0614.1+1628,194.070,-0.499,26.622,0.322,0.544,0.511,0.474,UNID-PSR
4FGL J0620.1+2246,189.240,3.693,132.971,0.061,0.223,0.910,3.394,UNID-PSR
4FGL J0621.2+2512,187.133,5.066,260.965,0.037,0.980,1.265,2.280,MSP
4FGL J0622.2+3749,175.874,10.974,3061.589,0.024,1.265,39.850,0.636,young
4FGL J0622.5+3120,181.714,8.173,171.949,0.065,0.578,0.887,0.576,UNID-PSR
4FGL J0622.7+2248,189.439,4.254,85.304,0.123,0.572,0.944,0.704,UNID-PSR
4FGL J0631.8+0645,204.684,-1.246,1091.201,0.026,0.922,21.753,2.611,young
4FGL J0633.9+1746,195.134,4.277,2589330.011,0.008,0.534,4976825.820,1.628,young
4FGL J0636.2-1057,221.070,-8.304,29.656,0.106,1.434,0.152,1.132,UNID-PSR
4FGL J0646.4-5455,264.438,-22.619,357.782,0.038,1.539,0.613,1.630,MSP
4FGL J0652.9+4707,169.236,19.780,184.038,0.059,1.413,0.315,1.160,MSP
4FGL J0657.4-4658,256.928,-18.511,226.943,0.043,0.706,0.236,1.838,MSP
4FGL J0700.6+3558,180.816,17.288,154.242,0.057,0.825,0.175,1.319,UNID-PSR
4FGL J0704.6-1055,224.123,-1.990,39.689,0.178,0.621,0.322,0.941,UNID-PSR
4FGL J0705.8-0004,214.605,3.167,74.257,0.122,1.147,0.479,0.970,UNID-PSR
4FGL J0712.0-6431,275.425,-22.193,155.640,0.048,1.255,0.161,1.916,UNID-PSR
4FGL J0715.7-1128,225.943,0.158,42.396,0.218,0.739,0.706,0.377,UNID-PSR
4FGL J0716.0-0826,223.309,1.539,26.595,0.169,1.143,0.182,0.909,UNID-PSR
4FGL J0718.8-5004,261.302,-16.403,118.676,0.063,1.524,0.194,1.740,UNID-PSR
4FGL J0722.4-2650,240.245,-5.672,184.171,0.041,0.489,0.655,0.795,UNID-PSR
4FGL J0722.7-2309,237.144,-3.884,35.476,0.310,1.072,0.489,0.721,UNID-PSR
4FGL J0725.3-2550,239.719,-4.687,89.841,0.186,0.777,2.865,0.293,UNID-PSR
4FGL J0731.5-1910,234.520,-0.158,54.205,0.201,0.959,1.089,0.690,UNID-PSR
4FGL J0734.7-1559,232.058,2.012,4837.564,0.020,0.438,104.971,0.669,young
4FGL J0736.9-3231,246.789,-5.577,306.040,0.053,0.644,6.492,0.339,UNID-PSR
4FGL J0737.9-3041,245.266,-4.509,30.526,0.123,0.315,0.065,0.880,MSP
4FGL J0739.6-4530,258.574,-11.267,45.396,0.064,1.259,0.065,1.838,UNID-PSR
4FGL J0741.0+6618,149.744,29.633,447.576,0.035,0.515,0.261,1.998,MSP
4FGL J0742.8-2822,243.781,-2.458,902.805,0.035,0.547,9.765,1.046,young
4FGL J0744.0-2525,241.349,-0.732,1290.753,0.029,0.774,16.006,1.458,young
4FGL J0744.9-4028,254.583,-8.001,223.647,0.039,0.865,0.724,1.972,UNID-PSR
4FGL J0749.8-4420,258.453,-9.111,70.918,0.072,0.795,0.125,1.320,UNID-PSR
4FGL J0751.2+1808,202.723,21.108,2037.916,0.020,0.875,7.446,2.226,MSP
4FGL J0752.0-2931,245.760,-1.291,153.179,0.094,1.389,1.813,1.006,UNID-PSR
4FGL J0754.9-3953,254.998,-6.066,214.898,0.035,1.501,1.026,2.199,UNID-PSR
4FGL J0758.8-1450,233.948,7.620,848.315,0.028,0.987,3.029,1.566,UNID-PSR
4FGL J0800.5+3715,183.369,29.111,56.744,0.081,1.905,0.055,1.468,UNID-PSR
4FGL J0821.5-1436,236.703,12.409,63.827,0.103,2.000,0.142,0.922,UNID-PSR
4FGL J0826.1-5053,267.330,-7.384,188.072,0.038,1.188,0.806,2.386,UNID-PSR
4FGL J0828.4-4444,262.568,-3.516,133.868,0.083,1.131,4.082,2.464,UNID-PSR
4FGL J0830.1-5454,270.966,-9.082,35.167,0.114,1.662,0.115,1.302,UNID-PSR
4FGL J0835.3-4510,263.553,-2.788,7689321.249,0.008,0.552,24603069.731,1.158,young
4FGL J0837.8-4048,260.392,0.177,36.148,0.150,1.112,0.594,1.446,UNID-PSR
4FGL J0838.4-3952,259.689,0.935,56.552,0.198,0.869,2.129,0.355,UNID-PSR
4FGL J0840.5-4122,261.042,0.270,45.742,0.203,1.360,1.977,0.732,UNID-PSR
4FGL J0840.6-3130,253.246,6.342,47.588,0.126,2.000,0.117,1.634,UNID-PSR
4FGL J0843.3+6712,147.784,35.598,741.030,0.024,0.758,0.569,2.663,MSP
4FGL J0843.9-4224,262.248,-0.039,31.506,0.239,0.874,1.089,0.606,UNID-PSR
4FGL J0844.1-4330,263.154,-0.442,90.279,0.215,1.692,4.212,1.001,UNID-PSR
4FGL J0847.8-4138,262.116,1.239,52.704,0.116,0.916,1.022,0.685,UNID-PSR
